#BLTrackFile VirtualDetector/-9
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
15.5861 -10.393 27500 -6.75924 39.3873 232.631 103.768 -13 2 1 0 0.6315
-50.8668 -36.7584 27500 -14.1113 -29.9518 221.758 103.734 -13 23 1 0 0.6315
-12.2155 11.1621 27500 8.89218 41.5065 240.583 103.611 -13 33 1 0 0.6315
7.53294 0.830962 27500 -11.5986 20.9551 190.442 103.806 -13 36 1 0 0.6315
15.9133 37.7606 27500 16.5385 27.0934 193.223 103.421 -13 40 1 0 0.6315
-23.4208 -40.2491 27500 3.70734 21.4823 219.261 103.333 -13 48 1 0 0.6315
39.1173 -21.202 27500 8.49071 4.66925 186.313 103.487 -13 53 1 0 0.6315
27.2778 -7.31969 27500 11.4572 -8.40271 188.029 103.467 -13 55 1 0 0.6315
-1.5524 14.5617 27500 -10.3276 25.7884 225.049 103.493 -13 63 1 0 0.6315
-39.7291 -13.1398 27500 -13.0501 5.71596 203.803 103.408 -13 82 1 0 0.6315
-1.8862 -1.33629 27500 -5.51551 24.3081 225.417 103.596 -13 86 1 0 0.6315
-0.0910508 -16.6513 27500 1.40851 12.2993 240.614 103.501 -13 122 1 0 0.6315
-8.14654 -14.8923 27500 -19.606 39.225 227.727 103.589 -13 123 1 0 0.6315
-17.3324 52.1479 27500 -45.6057 21.8907 181.876 103.804 -13 125 1 0 0.6315
-18.4151 -8.21201 27500 -7.13952 1.08203 211.411 103.26 -13 127 1 0 0.6315
-18.0527 38.3523 27500 -42.0184 26.7898 192.341 103.476 -13 134 1 0 0.6315
16.4435 -11.0024 27500 15.5037 35.8546 219.385 103.666 -13 149 1 0 0.6315
-21.8272 14.8787 27500 -19.0732 27.9977 222.63 103.772 -13 154 1 0 0.6315
-26.8046 1.55704 27500 -17.7629 -0.863731 207.058 103.284 -13 156 1 0 0.6315
-23.4114 -7.52549 27500 10.0722 -0.910876 219.201 103.835 -13 160 1 0 0.6315
39.8574 12.5837 27500 15.3389 58.7539 208.099 103.512 -13 169 1 0 0.6315
19.2521 10.2437 27500 -6.95183 3.98735 201.554 103.802 -13 172 1 0 0.6315
44.232 28.3417 27500 14.9288 43.6015 208.365 103.752 -13 195 1 0 0.6315
50.6647 19.7299 27500 29.068 32.5815 214.854 103.827 -13 198 1 0 0.6315
51.4959 -39.9039 27500 14.4148 -2.65945 198.557 103.273 -13 211 1 0 0.6315
-15.639 1.83838 27500 -16.6644 -5.39212 201.466 103.363 -13 216 1 0 0.6315
-15.1927 -5.57887 27500 14.9111 37.6205 224.184 103.764 -13 218 1 0 0.6315
36.0982 0.346603 27500 10.6154 34.7306 190.91 103.568 -13 221 1 0 0.6315
-42.5425 -4.70928 27500 -49.7209 -13.0169 228.529 103.66 -13 223 1 0 0.6315
-29.3411 -43.3572 27500 -15.2804 -38.8267 226.827 103.514 -13 230 1 0 0.6315
-16.5797 25.3132 27500 -13.2466 7.56624 206.08 103.678 -13 236 1 0 0.6315
13.5062 -40.1081 27500 32.998 6.31692 211.875 103.433 -13 243 1 0 0.6315
4.81842 -19.8349 27500 9.60481 -7.54698 225.762 103.642 -13 261 1 0 0.6315
45.0344 -23.847 27500 7.25918 0.961106 199.03 103.149 -13 274 1 0 0.6315
36.3664 -11.9857 27500 -2.79987 10.5327 205.226 103.011 -13 282 1 0 0.6315
-28.5101 -44.9842 27500 -15.8921 -16.6255 203.114 103.377 -13 286 1 0 0.6315
9.9352 32.2877 27500 -1.97555 63.3032 218.658 103.814 -13 307 1 0 0.6315
-16.2241 -29.3435 27500 19.3609 -16.4126 234.111 103.388 -13 312 1 0 0.6315
-25.108 -21.8046 27500 -47.6015 -3.88227 242.162 103.754 -13 313 1 0 0.6315
2.28764 -17.5222 27500 31.3482 44.9237 236.962 103.731 -13 323 1 0 0.6315
9.12323 44.5727 27500 -6.70586 47.5381 188.61 103.583 -13 328 1 0 0.6315
18.1285 -5.02208 27500 6.79525 6.26702 200.02 103.476 -13 334 1 0 0.6315
91.1221 8.32038 27500 27.0264 38.9612 196.511 103.278 -13 340 1 0 0.6315
40.3815 24.0328 27500 -26.9668 16.9641 206.845 103.434 -13 353 1 0 0.6315
-1.36771 -18.0542 27500 -4.9039 -2.84297 172.198 103.472 -13 366 1 0 0.6315
-17.1609 -10.6766 27500 0.235674 -9.22241 198.164 103.674 -13 375 1 0 0.6315
-13.823 -31.5558 27500 22.0814 -13.7005 224.273 103.423 -13 382 1 0 0.6315
-13.2771 12.3472 27500 13.2571 -1.56288 214.528 103.797 -13 389 1 0 0.6315
59.9918 -38.4402 27500 70.318 28.7517 224.641 103.58 -13 400 1 0 0.6315
12.445 -23.0669 27500 19.1541 0.386864 217.549 103.618 -13 410 1 0 0.6315
-20.151 25.4706 27500 4.58531 15.6474 210.829 103.389 -13 415 1 0 0.6315
-22.4404 48.1405 27500 -6.83294 40.3941 198.067 103.489 -13 444 1 0 0.6315
11.1139 52.9414 27500 -13.7581 50.9937 214.022 103.396 -13 450 1 0 0.6315
-25.1261 19.8522 27500 -29.5274 59.5127 233.192 103.762 -13 462 1 0 0.6315
-6.58506 -32.3425 27500 13.1329 -0.916358 218.895 103.819 -13 471 1 0 0.6315
2.38707 -37.1947 27500 -2.22393 -11.254 226.847 103.44 -13 479 1 0 0.6315
-4.30591 13.9817 27500 19.1629 28.5808 220.577 103.351 -13 480 1 0 0.6315
-17.6518 -29.9383 27500 -28.4397 -2.12928 201.995 103.607 -13 482 1 0 0.6315
19.6972 48.0522 27500 -21.5919 38.8866 209.804 103.367 -13 486 1 0 0.6315
-13.7888 0.656183 27500 -19.292 -5.2349 205.372 103.642 -13 499 1 0 0.6315
10.4513 -13.5182 27500 12.3695 -6.23509 224.861 103.461 -13 507 1 0 0.6315
-23.1052 -13.0527 27500 -8.60604 -0.966303 196.836 103.654 -13 516 1 0 0.6315
51.0346 -16.0351 27500 26.8876 -7.39499 195.828 103.724 -13 523 1 0 0.6315
0.65287 -2.63119 27500 -29.6229 2.84942 207.85 103.322 -13 524 1 0 0.6315
-31.4453 16.4717 27500 -42.5165 16.8622 189.115 103.801 -13 538 1 0 0.6315
42.0824 -32.0983 27500 21.0351 16.7105 226.828 103.773 -13 542 1 0 0.6315
48.1224 37.5588 27500 12.4359 41.7512 204.181 103.504 -13 547 1 0 0.6315
-3.84418 15.5825 27500 -0.0751925 -16.3473 218.968 103.342 -13 553 1 0 0.6315
-43.5695 -11.0628 27500 -21.4889 -6.3001 203.569 103.648 -13 573 1 0 0.6315
17.3299 -9.46583 27500 -17.7758 26.0694 221.832 103.473 -13 577 1 0 0.6315
-53.5632 21.639 27500 -19.8422 1.7332 193.321 103.368 -13 582 1 0 0.6315
44.0951 -20.1606 27500 6.71043 31.2127 196.28 103.988 -13 583 1 0 0.6315
26.7124 -34.2175 27500 30.8086 10.0425 220.66 103.458 -13 599 1 0 0.6315
24.1245 13.8066 27500 -10.4227 17.3863 178.954 103.537 -13 617 1 0 0.6315
-4.24953 46.7335 27500 -12.3299 38.1949 220.273 103.635 -13 632 1 0 0.6315
-4.12042 35.0086 27500 -7.05399 35.2897 212.733 103.635 -13 633 1 0 0.6315
-3.44816 -26.0941 27500 5.66728 26.9152 212.572 103.489 -13 649 1 0 0.6315
-11.9329 5.94307 27500 -24.713 1.5309 196.731 103.455 -13 653 1 0 0.6315
-43.2211 6.6269 27500 -36.9673 -20.2222 192.532 103.38 -13 655 1 0 0.6315
37.5985 2.46265 27500 3.48106 37.3194 214.041 103.514 -13 657 1 0 0.6315
-11.8884 30.6168 27500 -18.108 23.755 217.788 103.574 -13 678 1 0 0.6315
19.5899 14.0455 27500 6.57684 25.217 224.805 103.528 -13 693 1 0 0.6315
43.0136 -27.8681 27500 92.8095 14.2038 230.818 103.447 -13 703 1 0 0.6315
19.0803 -18.6972 27500 -1.51418 1.18135 213.674 103.702 -13 723 1 0 0.6315
34.3097 -7.95464 27500 0.740546 59.8217 231.961 103.837 -13 738 1 0 0.6315
-2.15006 6.9642 27500 -31.8134 9.31566 213.43 103.204 -13 746 1 0 0.6315
30.7445 -11.1742 27500 3.44452 19.9972 208.904 103.626 -13 753 1 0 0.6315
-11.7404 4.55898 27500 -29.8252 -7.2133 212.12 103.437 -13 761 1 0 0.6315
-15.7301 -3.51687 27500 4.9128 10.749 196.565 103.237 -13 777 1 0 0.6315
-1.08065 47.7055 27500 -22.2731 25.4128 195.258 103.863 -13 779 1 0 0.6315
0.0238097 38.5543 27500 -32.9883 26.0481 214.479 103.642 -13 840 1 0 0.6315
5.32685 34.1966 27500 -4.49857 29.4296 206.675 103.601 -13 844 1 0 0.6315
26.8097 13.0287 27500 11.773 36.1289 216.877 103.544 -13 860 1 0 0.6315
-33.292 21.0441 27500 -20.5529 13.7166 186.574 103.617 -13 866 1 0 0.6315
13.651 8.53922 27500 24.9942 17.9189 217.542 103.828 -13 871 1 0 0.6315
-10.7455 30.9442 27500 -6.23954 56.3973 225.585 103.614 -13 876 1 0 0.6315
-41.6941 -5.65342 27500 -28.8251 -2.76857 202.608 103.363 -13 877 1 0 0.6315
20.8658 58.9873 27500 -22.3462 51.5436 186.141 103.59 -13 878 1 0 0.6315
