# Ev2Trk1
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event 2 Track 1
14.5569 -53.5321 0 18.6238 -14.4536 227.102 0.282856 -13 2 1 0 0.6315 -0.0489165 0.218061 3.30343e-17 0 0 0 
14.7187 -53.6582 1.9794 18.2863 -14.5577 227.076 0.29017 -13 2 1 0 0.6315 -0.0494609 0.218487 0.0132441 0 0 0 
21.1516 -60.5102 101.53 9.28283 -16.8627 224.536 0.657727 -13 2 1 0 0.6315 -0.0689976 0.237025 0.680404 0 0 0 
21.5488 -61.2757 111.633 8.32061 -17.3053 224.263 0.69508 -13 2 1 0 0.6315 -0.0698583 0.238587 0.746399 0 0 0 
23.1155 -69.5702 211.267 -1.63067 -19.8359 224.202 1.06357 -13 2 1 0 0.6315 -0.0675943 0.247598 1.36695 0 0 0 
19.8282 -78.5349 310.799 -13.3667 -19.9022 223.803 1.43205 -13 2 1 0 0.6315 -0.0477761 0.238748 1.9067 0 0 0 
11.2299 -86.5642 410.091 -25.11 -15.3647 223.15 1.80054 -13 2 1 0 0.6315 -0.01924 0.20256 2.32476 0 0 0 
-2.03071 -91.4196 509.075 -33.7993 -5.73273 222.457 2.16903 -13 2 1 0 0.6315 0.00181972 0.138575 2.59072 0 0 0 
-17.9121 -91.1887 607.791 -36.5481 7.00426 221.986 2.53752 -13 2 1 0 0.6315 0.000807765 0.0597138 2.6856 0 0 0 
-20.6562 -90.5782 624.5 -36.3223 9.21111 221.942 2.59995 -13 2 1 0 0.6315 -0.00197143 0.0464189 2.68527 0 0 0 
-20.8198 -90.5361 625.5 -36.3023 9.34261 221.941 2.60369 -13 2 1 0 0.6315 0.0157227 0.0415246 2.68493 0 0 4.65568 
-21.1421 -90.4519 627.472 -36.2586 9.61121 221.947 2.61106 -13 2 1 0 0.6315 0.0152503 0.0399383 2.68426 0 0 4.90357 
-21.4641 -90.3653 629.444 -36.2121 9.87913 221.954 2.61843 -13 2 1 0 0.6315 0.0147632 0.0383561 2.68359 0 0 5.15038 
-21.7856 -90.2763 631.416 -36.1628 10.1463 221.961 2.6258 -13 2 1 0 0.6315 0.0142614 0.0367785 2.68292 0 0 5.39604 
-22.1066 -90.185 633.388 -36.1106 10.4128 221.97 2.63317 -13 2 1 0 0.6315 0.013745 0.0352053 2.68225 0 0 5.6405 
-22.4272 -90.0913 635.36 -36.0556 10.6785 221.979 2.64054 -13 2 1 0 0.6315 0.013214 0.0336367 2.68158 0 0 5.88372 
-22.7472 -89.9953 637.332 -35.9978 10.9434 221.989 2.64791 -13 2 1 0 0.6315 0.0126685 0.0320728 2.68091 0 0 6.12563 
-23.0667 -89.8969 639.304 -35.9373 11.2075 221.999 2.65528 -13 2 1 0 0.6315 0.0121095 0.0305175 2.68019 0 0 6.36619 
-23.3856 -89.7962 641.276 -35.874 11.4707 222.01 2.66264 -13 2 1 0 0.6315 0.0115376 0.0289721 2.67941 0 0 6.60534 
-23.7039 -89.6932 643.247 -35.8079 11.733 222.022 2.67001 -13 2 1 0 0.6315 0.0109515 0.027432 2.67863 0 0 6.84303 
-24.0216 -89.5878 645.219 -35.739 11.9944 222.034 2.67738 -13 2 1 0 0.6315 0.0103523 0.0258999 2.67775 0 0 7.0792 
-24.3387 -89.4801 647.191 -35.6675 12.2548 222.048 2.68475 -13 2 1 0 0.6315 0.00974663 0.0243932 2.67635 0 0 7.31381 
-24.6551 -89.3702 649.163 -35.5933 12.5141 222.061 2.69212 -13 2 1 0 0.6315 0.00912723 0.0228921 2.67494 0 0 7.54681 
-24.9708 -89.2579 651.134 -35.5163 12.7724 222.076 2.69949 -13 2 1 0 0.6315 0.00849419 0.0213968 2.67354 0 0 7.77814 
-25.2857 -89.1434 653.106 -35.4368 13.0296 222.091 2.70686 -13 2 1 0 0.6315 0.00784773 0.0199075 2.67214 0 0 8.00774 
