 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:  2
    pzmin/pzmax:   0./  100.
    transverse cuts:   0.  0.
    longitudinal cut:   0.
    RF frequency (MHz):   704.
    sigma cut:   4.
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.1905E-03  0.1713E-02  0.6230E-10  0.1920E+00  0.1945E+00  0.3465E-01  0.3628E-01  0.5643E+00  0.2121E-01  0.1853E+04  0.1853E+04  0.1853E+04  0.2672E-03  0.7032E-02  0.8700E-10  0.2152E+01 -0.9858E-09  0.6941E-02 -0.1007E-02 -0.1649E-02 -0.7361E-02 -0.1833E-02  0.7526E-02  0.3773E-02
     2  0.7800E+00  0.0000E+00  0.1858E-03  0.1709E-02  0.5834E-10  0.1858E+00  0.1946E+00  0.2769E-01  0.4958E-01  0.5492E+00  0.5973E-01  0.1814E+04  0.1814E+04  0.1814E+04  0.2844E-03  0.7085E-02  0.8568E-10  0.1572E+01 -0.2651E-08  0.7041E-02 -0.1232E-02 -0.1573E-02 -0.8864E-02  0.8598E-03  0.6118E-02  0.3962E-02
     3  0.1560E+01  0.0000E+00  0.1792E-03  0.1692E-02  0.5402E-10  0.1839E+00  0.1951E+00  0.3060E-01 -0.2000E-01  0.5319E+00  0.6713E-01  0.1771E+04  0.1771E+04  0.1771E+04  0.1953E-03  0.7171E-02  0.8376E-10  0.1536E+01 -0.2466E-09  0.7136E-02 -0.1287E-02 -0.1594E-02 -0.6012E-02 -0.1408E-02  0.4689E-02  0.4070E-02
     4  0.2340E+01  0.0000E+00  0.1750E-03  0.1670E-02  0.5079E-10  0.1831E+00  0.1954E+00  0.3073E-01  0.5691E-01  0.5137E+00  0.5159E-01  0.1743E+04  0.1743E+04  0.1743E+04  0.1881E-03  0.7238E-02  0.8166E-10  0.1277E+01  0.1288E-08  0.7215E-02 -0.1112E-02 -0.1607E-02 -0.6115E-02  0.1649E-02  0.3867E-02  0.3641E-02
     5  0.3120E+01  0.0000E+00  0.1724E-03  0.1671E-02  0.4878E-10  0.1733E+00  0.1957E+00  0.2872E-01  0.1145E-01  0.5031E+00  0.1539E-01  0.1722E+04  0.1722E+04  0.1722E+04  0.2318E-03  0.7302E-02  0.8076E-10  0.8710E+00  0.3146E-08  0.7292E-02 -0.1166E-02 -0.1654E-02 -0.8141E-02  0.7273E-03  0.4029E-02  0.3844E-02
     6  0.3900E+01  0.0000E+00  0.1714E-03  0.1663E-02  0.4786E-10  0.1733E+00  0.1960E+00  0.3172E-01  0.1585E-01  0.5079E+00 -0.2049E-01  0.1716E+04  0.1716E+04  0.1716E+04  0.2172E-03  0.7261E-02  0.8091E-10  0.9550E+00  0.7381E-08  0.7250E-02 -0.1270E-02 -0.1589E-02 -0.9779E-02 -0.2107E-02  0.6101E-02  0.3950E-02
     7  0.4680E+01  0.0000E+00  0.1684E-03  0.1661E-02  0.4692E-10  0.1855E+00  0.1960E+00  0.2984E-01  0.1309E-01  0.5205E+00 -0.4407E-01  0.1705E+04  0.1705E+04  0.1705E+04  0.1994E-03  0.7170E-02  0.8187E-10  0.7359E+00  0.7960E-08  0.7163E-02 -0.1146E-02 -0.1528E-02 -0.4983E-02 -0.2437E-03  0.3726E-02  0.3560E-02
     8  0.5460E+01  0.0000E+00  0.1688E-03  0.1654E-02  0.4679E-10  0.1875E+00  0.1960E+00  0.3020E-01  0.1793E-01  0.5389E+00 -0.4496E-01  0.1695E+04  0.1695E+04  0.1695E+04  0.2300E-03  0.7037E-02  0.8326E-10  0.1012E+01  0.1287E-07  0.7024E-02 -0.1219E-02 -0.1639E-02 -0.6338E-02 -0.1102E-03  0.3428E-02  0.4223E-02
     9  0.6240E+01  0.0000E+00  0.1692E-03  0.1640E-02  0.4627E-10  0.1842E+00  0.1958E+00  0.3059E-01  0.9152E-02  0.5536E+00 -0.1747E-01  0.1685E+04  0.1685E+04  0.1685E+04  0.2103E-03  0.6918E-02  0.8404E-10  0.1456E+01  0.1081E-07  0.6890E-02 -0.1283E-02 -0.1661E-02 -0.1016E-01  0.7487E-03  0.5934E-02  0.4615E-02
    10  0.7020E+01  0.0000E+00  0.1659E-03  0.1640E-02  0.4490E-10  0.1817E+00  0.1954E+00  0.3010E-01  0.2611E-01  0.5552E+00  0.1169E-01  0.1675E+04  0.1675E+04  0.1675E+04  0.1974E-03  0.6904E-02  0.8428E-10  0.1626E+01  0.1082E-07  0.6869E-02 -0.1109E-02 -0.1551E-02 -0.6453E-02 -0.1155E-02  0.5226E-02  0.3813E-02
