#BLTrackFile solenoid_cooling_channel
#x y z Px Py Pz t PDGid EvNum TrkId Parent weight
-1.011640 -1.638660 0 0.000000 0.000000 193.000000 1933.190000 -13 1 1 0 1.000000
-1.767370 -2.614130 0 -0.891508 5.757990 192.472000 1933.200000 -13 2 1 0 1.000000
1.256490 -0.265962 0 -4.962370 12.505200 190.934000 1933.200000 -13 3 1 0 1.000000
-0.842072 -2.068350 0 0.000508 -2.872220 189.178000 1933.110000 -13 4 1 0 1.000000
0.540123 -2.335000 0 -7.479590 -5.089030 195.342000 1933.170000 -13 5 1 0 1.000000
-2.206390 -1.863580 0 -5.355320 10.150800 185.294000 1933.180000 -13 6 1 0 1.000000
-2.688040 0.741369 0 -8.730950 -5.714280 194.313000 1933.140000 -13 7 1 0 1.000000
-1.137280 -0.556367 0 0.925762 -7.870870 191.826000 1933.120000 -13 8 1 0 1.000000
-1.797150 -2.883060 0 0.349861 6.580350 192.705000 1933.150000 -13 9 1 0 1.000000
-0.740801 -2.148760 0 -7.603440 3.607080 195.516000 1933.280000 -13 10 1 0 1.000000
-2.727830 0.672786 0 -5.490030 -5.343960 191.847000 1933.110000 -13 11 1 0 1.000000
-0.641946 -3.311390 0 -24.501100 15.162100 204.154000 1933.150000 -13 12 1 0 1.000000
-0.591152 -1.711450 0 -2.443140 -2.626500 194.362000 1933.090000 -13 13 1 0 1.000000
-0.231734 -4.292660 0 9.121310 4.013630 201.156000 1933.230000 -13 14 1 0 1.000000
-1.366220 -1.791690 0 1.688990 14.732500 201.633000 1933.330000 -13 15 1 0 1.000000
0.188166 1.213190 0 -19.754300 10.743500 191.032000 1933.310000 -13 16 1 0 1.000000
-1.688670 -1.692110 0 -8.088310 -2.814610 197.999000 1933.200000 -13 17 1 0 1.000000
-1.812260 -0.478928 0 7.320720 -21.238500 190.810000 1933.190000 -13 18 1 0 1.000000
-1.157960 -2.764070 0 -1.418500 20.451900 201.732000 1933.160000 -13 19 1 0 1.000000
0.267621 -1.691260 0 -1.120520 -11.049800 203.813000 1933.200000 -13 20 1 0 1.000000
-1.480610 -2.669830 0 9.806430 0.566275 187.612000 1933.180000 -13 21 1 0 1.000000
1.169370 0.864529 0 -3.301760 -1.924880 198.282000 1933.180000 -13 22 1 0 1.000000
-0.218793 -1.418420 0 -3.730830 0.762284 173.594000 1933.280000 -13 23 1 0 1.000000
-2.562280 -0.998503 0 15.793400 11.204300 178.789000 1933.170000 -13 24 1 0 1.000000
0.070820 1.578830 0 4.008090 1.514150 205.407000 1933.240000 -13 25 1 0 1.000000
-3.896400 -2.925510 0 7.272580 -10.372000 193.893000 1933.180000 -13 26 1 0 1.000000
