#BLTrackFile solenoid_cooling_channel
#x y z Px Py Pz t PDGid EvNum TrkId Parent weight
-5.455090 -7.138310 0 0.000000 0.000000 203.000000 1037.230000 -13 1 1 0 1.000000
-4.856610 -3.055370 0 -20.783500 -18.859500 201.415000 1037.250000 -13 2 1 0 1.000000
4.654840 -27.125000 0 -14.398800 -0.269069 197.895000 1037.220000 -13 3 1 0 1.000000
-23.282800 -14.348300 0 14.376900 -12.541600 219.869000 1037.260000 -13 4 1 0 1.000000
3.894310 -5.916740 0 19.165700 -23.868600 199.463000 1037.320000 -13 5 1 0 1.000000
14.145400 -12.148500 0 -1.600130 -5.354650 246.934000 1037.180000 -13 6 1 0 1.000000
-6.010870 -16.939300 0 -1.504120 -2.373260 214.467000 1037.050000 -13 7 1 0 1.000000
-3.629910 -8.233960 0 -1.924390 -3.563510 203.654000 1037.260000 -13 8 1 0 1.000000
-2.315830 -19.840100 0 -16.518800 3.670110 193.774000 1037.230000 -13 9 1 0 1.000000
-5.720670 -13.117000 0 -1.122570 16.579600 210.922000 1037.370000 -13 10 1 0 1.000000
-7.213930 -6.219100 0 -1.691400 3.535280 213.580000 1037.150000 -13 11 1 0 1.000000
0.906320 -11.291700 0 -4.843060 -8.073360 202.081000 1037.180000 -13 12 1 0 1.000000
-5.845000 -10.559900 0 -7.342280 4.544600 216.533000 1036.900000 -13 13 1 0 1.000000
-19.650400 5.779780 0 -6.972790 40.049500 217.384000 1037.000000 -13 14 1 0 1.000000
-3.140400 0.098846 0 24.867500 8.408650 205.440000 1037.140000 -13 15 1 0 1.000000
-17.979600 -5.668590 0 -2.063980 -5.163390 213.969000 1037.320000 -13 16 1 0 1.000000
-4.766950 -10.531400 0 -0.520506 -7.173250 212.772000 1037.240000 -13 17 1 0 1.000000
-14.266100 -24.258800 0 4.976890 -13.914600 199.863000 1037.430000 -13 18 1 0 1.000000
-2.294690 -6.374580 0 2.208050 -1.752570 212.189000 1037.520000 -13 19 1 0 1.000000
1.139840 1.331280 0 -14.519100 -2.553840 197.599000 1037.280000 -13 20 1 0 1.000000
-11.923900 -6.233780 0 -7.716370 8.057540 209.775000 1037.500000 -13 21 1 0 1.000000
2.101270 -5.495790 0 6.676690 8.044560 225.652000 1037.430000 -13 22 1 0 1.000000
-8.689020 8.335620 0 1.753520 3.403500 220.871000 1037.270000 -13 23 1 0 1.000000
11.867700 -7.243470 0 -23.125900 -21.806700 230.470000 1037.210000 -13 24 1 0 1.000000
-7.380240 5.354600 0 -11.751700 11.221800 220.151000 1037.200000 -13 25 1 0 1.000000
0.009242 -3.806440 0 -11.253100 3.324010 208.383000 1037.200000 -13 26 1 0 1.000000
-12.546200 -10.445700 0 -0.270820 -13.390000 219.495000 1037.430000 -13 27 1 0 1.000000
-15.682100 -12.334400 0 18.728300 14.639600 207.302000 1037.460000 -13 28 1 0 1.000000
-12.546900 19.654600 0 10.594800 -6.646550 202.885000 1037.040000 -13 29 1 0 1.000000
8.564440 -10.827300 0 -0.460433 -22.874400 219.157000 1037.430000 -13 30 1 0 1.000000
-13.779400 -16.563400 0 4.668260 11.041000 205.456000 1037.190000 -13 31 1 0 1.000000
-2.455960 3.461080 0 -26.116000 -21.218100 205.145000 1037.200000 -13 32 1 0 1.000000
-14.600500 -16.607000 0 -3.634140 5.838070 221.626000 1037.250000 -13 33 1 0 1.000000
-6.889590 -2.340960 0 10.229900 -11.424900 205.408000 1037.280000 -13 34 1 0 1.000000
3.679410 -10.031000 0 1.150040 -29.621200 215.137000 1037.280000 -13 35 1 0 1.000000
-1.670450 -16.696700 0 -19.638700 5.208980 200.856000 1037.280000 -13 36 1 0 1.000000
-19.534800 -16.914200 0 3.636270 9.502480 200.009000 1037.060000 -13 37 1 0 1.000000
-14.435300 0.832223 0 5.444410 2.820970 209.027000 1037.230000 -13 38 1 0 1.000000
-21.594900 -3.729200 0 -16.692000 -6.199570 211.857000 1037.090000 -13 39 1 0 1.000000
-16.586100 4.027460 0 1.922920 3.434210 211.752000 1037.290000 -13 40 1 0 1.000000
-0.124042 -8.609130 0 -40.366700 -3.184690 225.006000 1037.540000 -13 41 1 0 1.000000
