# ReferenceParticle
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -1 Track 1
0 0 0 0 0 203 0 -13 -1 1 0 1 -1.54565e-18 0.0383725 1.43996e-16 0 0 0 
-0.000112207 9.13637e-10 1.99 -0.0228926 3.72846e-07 203 0.00748322 -13 -1 1 0 1 3.76744e-07 0.0383732 0.0132916 0 0 0 
-0.296635 0.00634467 101.989 -1.18774 0.0505319 202.997 0.383525 -13 -1 1 0 1 0.000965515 0.0398648 0.681048 0 0 0 
-0.722473 0.0500832 150.208 -1.76899 0.160807 202.992 0.564853 -13 -1 1 0 1 0.0022645 0.0414109 0.989472 0 0 0 
-1.89572 0.248773 250.2 -2.99171 0.734034 202.977 0.940894 -13 -1 1 0 1 0.0051814 0.0456833 1.5792 0 0 0 
-3.64789 0.872059 350.183 -4.07414 1.90154 202.95 1.31694 -13 -1 1 0 1 0.00778973 0.0496997 2.06893 0 0 0 
-5.83271 2.21602 450.15 -4.6892 3.62912 202.913 1.69298 -13 -1 1 0 1 0.00803669 0.0523141 2.42209 0 0 0 
-8.14287 4.48507 550.097 -4.55419 5.57842 202.872 2.06902 -13 -1 1 0 1 0.00433968 0.0538888 2.61405 0 0 0 
-9.67174 6.85072 624.5 -3.95906 6.86312 202.845 2.34901 -13 -1 1 0 1 -0.000920633 0.0552765 2.64658 0 0 0 
-9.69121 6.88463 625.5 -3.94871 6.87827 202.845 2.35277 -13 -1 1 0 1 -0.00244477 0.0532669 2.64627 0 0 0 
-9.73 6.95254 627.498 -3.92677 6.90752 202.844 2.36029 -13 -1 1 0 1 -0.002627 0.0532964 2.64564 0 0 0 
-9.76858 7.02074 629.497 -3.90462 6.93649 202.844 2.36781 -13 -1 1 0 1 -0.00281023 0.053328 2.64502 0 0 0 
-9.80694 7.08922 631.495 -3.88229 6.96516 202.843 2.37533 -13 -1 1 0 1 -0.00299449 0.0533617 2.64439 0 0 0 
-9.84508 7.15798 633.494 -3.85976 6.99354 202.843 2.38285 -13 -1 1 0 1 -0.00317975 0.0533977 2.64377 0 0 0 
-9.883 7.22702 635.492 -3.83705 7.02163 202.842 2.39037 -13 -1 1 0 1 -0.003366 0.0534358 2.64315 0 0 0 
-9.92069 7.29634 637.491 -3.81416 7.04942 202.842 2.3979 -13 -1 1 0 1 -0.0035532 0.0534763 2.64253 0 0 0 
-9.95815 7.36592 639.489 -3.79109 7.07691 202.841 2.40542 -13 -1 1 0 1 -0.00374138 0.0535189 2.64191 0 0 0 
-9.99539 7.43578 641.488 -3.76784 7.1041 202.841 2.41294 -13 -1 1 0 1 -0.00392969 0.0535631 2.64121 0 0 0 
-10.0324 7.50591 643.486 -3.74443 7.13099 202.84 2.42046 -13 -1 1 0 1 -0.00411843 0.0536088 2.64045 0 0 0 
-10.0692 7.57629 645.484 -3.72085 7.15757 202.84 2.42798 -13 -1 1 0 1 -0.00430419 0.0536462 2.63917 0 0 0 
-10.1057 7.64694 647.483 -3.69712 7.18384 202.839 2.4355 -13 -1 1 0 1 -0.00449112 0.0536858 2.63784 0 0 0 
-10.142 7.71785 649.481 -3.67324 7.2098 202.839 2.44302 -13 -1 1 0 1 -0.00467904 0.0537277 2.6365 0 0 0 
-10.1781 7.789 651.48 -3.64921 7.23544 202.838 2.45054 -13 -1 1 0 1 -0.00486767 0.0537718 2.63517 0 0 0 
-10.2139 7.86041 653.478 -3.62504 7.26077 202.838 2.45806 -13 -1 1 0 1 -0.00505704 0.0538183 2.63383 0 0 0 
-10.2495 7.93207 655.477 -3.60073 7.28578 202.837 2.46558 -13 -1 1 0 1 -0.00524713 0.0538671 2.6325 0 0 0 
-10.2849 8.00398 657.475 -3.57629 7.31048 202.837 2.4731 -13 -1 1 0 1 -0.0054379 0.0539184 2.63116 0 0 0 
-10.32 8.07612 659.473 -3.55171 7.33485 202.836 2.48062 -13 -1 1 0 1 -0.00562935 0.053972 2.62983 0 0 0 
-10.3549 8.1485 661.472 -3.52701 7.35891 202.836 2.48815 -13 -1 1 0 1 -0.00582149 0.054028 2.6285 0 0 0 
