# TuneParticle
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
0 0 -3437.5 0 0 203 0 -13 -2 1 0 1 -3.02525e-20 -0.000336186 0.0220772 0 0 0 
0.00253408 -2.88909e-06 -3337.5 0.0103953 -1.80011e-05 203 0.376041 -13 -2 1 0 1 -2.60514e-08 -0.000357605 0.0240272 0 0 0 
0.0103516 -2.47943e-05 -3237.5 0.0214602 -7.90792e-05 203 0.752083 -13 -2 1 0 1 -1.18563e-07 -0.000380875 0.0261988 0 0 0 
0.0237961 -8.99315e-05 -3137.5 0.0332501 -0.000195879 203 1.12812 -13 -2 1 0 1 -3.04338e-07 -0.000406059 0.0286196 0 0 0 
0.0432397 -0.000229522 -3037.5 0.0458276 -0.000384335 203 1.50417 -13 -2 1 0 1 -6.1907e-07 -0.00043347 0.0313276 0 0 0 
0.0690867 -0.000483619 -2937.5 0.0592593 -0.000664515 203 1.88021 -13 -2 1 0 1 -1.11004e-06 -0.00046321 0.0343616 0 0 0 
0.101776 -0.000903408 -2837.5 0.0736208 -0.00106178 203 2.25625 -13 -2 1 0 1 -1.84017e-06 -0.000495622 0.0377724 0 0 0 
0.141785 -0.00155415 -2737.5 0.0889916 -0.00160815 203 2.63229 -13 -2 1 0 1 -2.89268e-06 -0.000530867 0.041615 0 0 0 
0.189633 -0.00251889 -2637.5 0.105462 -0.00234424 203 3.00833 -13 -2 1 0 1 -4.37838e-06 -0.000569307 0.0459581 0 0 0 
0.245885 -0.00390326 -2537.5 0.123127 -0.0033215 203 3.38437 -13 -2 1 0 1 -6.44426e-06 -0.000611171 0.0508806 0 0 0 
0.311154 -0.00584158 -2437.5 0.142093 -0.00460555 203 3.76041 -13 -2 1 0 1 -9.28606e-06 -0.000656815 0.0564768 0 0 0 
0.38611 -0.0085047 -2337.5 0.16247 -0.00627989 203 4.13646 -13 -2 1 0 1 -1.31653e-05 -0.000706541 0.0628614 0 0 0 
