#BLTrackFile VirtualDetector/beamout
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
24.4817 -4.10192 27500 -8.13147 48.1657 234.483 103.714 -13 2 1 0 0.6315
-61.789 -15.4707 27500 -26.4963 -34.3763 221.35 103.73 -13 23 1 0 0.6315
-7.17243 3.66843 27500 0.775292 42.0627 236.911 103.461 -13 33 1 0 0.6315
1.44411 4.50357 27500 -12.4928 26.8434 195.446 103.883 -13 36 1 0 0.6315
48.6667 20.8118 27500 17.986 31.9583 188.416 103.662 -13 40 1 0 0.6315
3.28404 -1.50721 27500 9.6609 46.0814 203.809 103.59 -13 48 1 0 0.6315
43.1019 -19.7237 27500 13.2568 -0.673038 186.076 103.411 -13 53 1 0 0.6315
30.6791 -12.4314 27500 21.5186 3.58222 191.065 103.548 -13 55 1 0 0.6315
9.19393 17.5269 27500 -11.1333 28.91 231.813 103.511 -13 63 1 0 0.6315
-28.0944 -30.3989 27500 -11.7483 4.53049 211.697 103.273 -13 82 1 0 0.6315
-2.00799 -7.52826 27500 2.55052 22.0093 228.357 103.648 -13 86 1 0 0.6315
20.4954 6.78479 27500 -0.147756 27.5324 231.894 103.482 -13 122 1 0 0.6315
-30.1976 -2.78688 27500 -24.0704 28.1827 228.562 103.634 -13 123 1 0 0.6315
-16.5459 30.1017 27500 -38.2235 16.1022 177.089 103.711 -13 125 1 0 0.6315
-19.3197 -20.5495 27500 -16.603 -5.84326 219.448 103.267 -13 127 1 0 0.6315
-44.8899 28.6359 27500 -49.0133 7.50577 189.179 103.569 -13 134 1 0 0.6315
33.0607 1.042 27500 24.6976 40.3519 213.308 103.708 -13 149 1 0 0.6315
-11.8118 9.67134 27500 -19.4252 25.6373 225.936 103.709 -13 154 1 0 0.6315
-33.0811 -10.5086 27500 -18.0461 -8.32295 206.114 103.262 -13 156 1 0 0.6315
-18.2642 -19.1053 27500 12.6727 -11.3031 215.559 103.77 -13 160 1 0 0.6315
21.8321 0.222991 27500 15.1518 38.2986 204.207 103.44 -13 169 1 0 0.6315
4.44761 16.1598 27500 -21.9999 6.62092 201.311 103.911 -13 172 1 0 0.6315
-16.8231 8.1872 27500 -6.85608 11.6614 210.416 103.659 -13 195 1 0 0.6315
31.5173 -0.393259 27500 19.8477 8.15134 207.962 103.728 -13 198 1 0 0.6315
50.0014 -51.122 27500 10.0514 -6.59962 205.009 103.359 -13 211 1 0 0.6315
-19.4596 1.18371 27500 -29.3189 -4.44437 203.97 103.3 -13 216 1 0 0.6315
-5.9957 2.73435 27500 30.2957 46.647 224.615 103.862 -13 218 1 0 0.6315
26.9589 -27.5055 27500 6.6977 13.5943 192.749 103.4 -13 221 1 0 0.6315
-4.17499 8.58891 27500 -67.0456 -1.00163 235.345 103.648 -13 223 1 0 0.6315
-31.0487 -38.9364 27500 -17.7638 -33.7072 220.208 103.47 -13 230 1 0 0.6315
-13.2794 48.3575 27500 -24.4669 17.4841 204.019 103.753 -13 236 1 0 0.6315
12.8205 -39.6152 27500 32.3368 6.06778 211.831 103.43 -13 243 1 0 0.6315
-3.69629 -16.898 27500 10.6754 -6.14857 227.368 103.609 -13 261 1 0 0.6315
38.8947 -6.48397 27500 -1.64142 4.3328 193.225 103.141 -13 274 1 0 0.6315
31.0984 -18.4978 27500 18.4799 5.79037 247.124 103.121 -13 282 1 0 0.6315
12.0533 -33.3966 27500 -14.7431 -9.8874 199.367 103.266 -13 286 1 0 0.6315
4.67507 31.3947 27500 10.4102 64.8 222.795 103.789 -13 307 1 0 0.6315
-17.3874 -32.9546 27500 23.7213 -14.6153 230.341 103.443 -13 312 1 0 0.6315
-23.5805 5.71348 27500 -44.3275 17.8492 240.023 103.831 -13 313 1 0 0.6315
20.6407 13.0442 27500 27.0589 55.2689 226.859 103.761 -13 323 1 0 0.6315
-0.57679 62.7964 27500 -10.5368 49.1949 192.195 103.595 -13 328 1 0 0.6315
6.10145 0.823829 27500 2.26423 3.03588 194.824 103.437 -13 334 1 0 0.6315
73.6791 11.7261 27500 18.9601 27.6903 197.615 103.266 -13 340 1 0 0.6315
40.3815 24.0328 27500 -26.9668 16.9641 206.845 103.434 -13 353 1 0 0.6315
-17.8423 -7.62611 27500 -21.2035 -2.31017 173.73 103.575 -13 366 1 0 0.6315
7.10256 7.23609 27500 -0.84498 11.9391 191.015 103.6 -13 375 1 0 0.6315
-28.4092 -35.5538 27500 21.1448 -17.1599 223.783 103.427 -13 382 1 0 0.6315
-16.0731 12.0399 27500 14.87 4.87642 214.237 103.794 -13 389 1 0 0.6315
57.9406 -41.0202 27500 46.0608 29.1061 229.483 103.512 -13 400 1 0 0.6315
22.732 -30.9805 27500 20.4874 -1.99612 215.872 103.664 -13 410 1 0 0.6315
-23.194 24.1541 27500 3.70213 11.3582 214.055 103.419 -13 415 1 0 0.6315
2.01348 33.6038 27500 17.0462 19.0131 198.976 103.534 -13 444 1 0 0.6315
12.8357 47.0212 27500 -3.11864 57.4104 218.466 103.363 -13 450 1 0 0.6315
-21.4622 12.6382 27500 -5.18758 61.1282 238.623 103.797 -13 462 1 0 0.6315
-0.704203 -21.4559 27500 4.35039 22.7424 218.114 103.871 -13 471 1 0 0.6315
