# NTuple/Z-27500                                                                 
# output from Ecalc9f version   2.09
#  settings: 
#    particle type:  2
#    pzmin/pzmax:   0.1/  0.35
#    transverse cuts:   0.00975  0.015
#    longitudinal cut:   0.035
#    RF frequency (MHz):   325.
#    sigma cut:   4.
#    subtract out amplitude correlation
#    wrnew9 =  F

# regn   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1 -0.2750E+02  0.2164E+01  0.5108E-02  0.1037E-01  0.2703E-06  0.5816E+00  0.2087E+00  0.3797E+00  0.6806E-02  0.7931E+00  0.2365E+00  0.1190E+04  0.1648E+03  0.3530E+03  0.3141E-01  0.1557E-01  0.2415E-09  0.4109E-01 -0.1056E-08  0.1557E-01 -0.4714E-02 -0.3036E-01 -0.3140E-02 -0.3667E-02 -0.7598E-02  0.2148E+00
     2 -0.2475E+02  0.4635E-01  0.6439E-02  0.1096E-01  0.4670E-06  0.4293E+00  0.2113E+00  0.5591E+00  0.6270E+00  0.7284E+00 -0.1806E+00  0.1172E+04  0.1547E+03  0.3195E+03  0.1910E-01  0.1675E-01  0.2596E-09 -0.7814E-01  0.5018E-08  0.1666E-01 -0.1379E-01 -0.8158E-02  0.1052E+00  0.1051E+00  0.1047E+00  0.6585E-01
     3 -0.2200E+02  0.5249E-02  0.6885E-02  0.1175E-01  0.5608E-06  0.4210E+00  0.2137E+00  0.4136E+00  0.3082E+00  0.1323E+01 -0.5103E+00  0.1147E+04  0.1351E+03  0.2659E+03  0.2490E-01  0.1432E-01  0.3590E-09  0.7140E-01  0.7506E-08  0.1425E-01  0.6531E-02 -0.1689E-01 -0.2164E+00 -0.1253E+00  0.1435E+00  0.1112E+00
     4 -0.1925E+02  0.7623E-17  0.6866E-02  0.1221E-01  0.5882E-06  0.4247E+00  0.2151E+00  0.4361E+00  0.6002E-01  0.1609E+01 -0.3365E+00  0.1123E+04  0.1276E+03  0.2621E+03  0.2360E-01  0.1288E-01  0.4020E-09  0.1752E+00  0.8841E-08  0.1244E-01 -0.3229E-01 -0.2288E-01 -0.1183E+00  0.1651E+00  0.6990E-02  0.5524E+00
     5 -0.1650E+02  0.7369E-16  0.6690E-02  0.1084E-01  0.5081E-06  0.3998E+00  0.2152E+00  0.4692E+00  0.5428E-01  0.1312E+01  0.1928E+00  0.1079E+04  0.1339E+03  0.2595E+03  0.1735E-01  0.1371E-01  0.3331E-09  0.2957E+00  0.6414E-08  0.1253E-01  0.6410E-02 -0.1116E-01  0.1392E+00 -0.4858E-01  0.1418E+00  0.6716E-01
     6 -0.1375E+02 -0.9317E-16  0.6813E-02  0.1145E-01  0.5358E-06  0.3963E+00  0.2138E+00  0.5180E+00  0.5882E-01  0.1016E+01  0.2008E+00  0.1061E+04  0.1130E+03  0.2431E+03  0.2347E-01  0.1638E-01  0.2962E-09  0.3920E+00  0.4737E-08  0.1458E-01 -0.2225E-01 -0.2277E-01 -0.1983E+00  0.1641E-01  0.1868E+00  0.2432E+00
     7 -0.1100E+02  0.1271E-15  0.6354E-02  0.1091E-01  0.4941E-06  0.4040E+00  0.2133E+00  0.5333E+00  0.2634E+00  0.7900E+00 -0.3112E-01  0.1048E+04  0.1377E+03  0.2798E+03  0.1421E-01  0.1780E-01  0.2512E-09  0.4336E+00  0.3327E-08  0.1582E-01 -0.1085E-01 -0.1404E-01  0.3514E-01  0.5239E-01  0.1110E+00  0.7052E-01
     8 -0.8250E+01 -0.1152E-15  0.6265E-02  0.1054E-01  0.4507E-06  0.3779E+00  0.2123E+00  0.4359E+00  0.2486E+00  0.1018E+01 -0.1566E+00  0.1039E+04  0.1364E+03  0.2747E+03  0.1969E-01  0.1586E-01  0.2724E-09  0.4061E+00  0.3617E-09  0.1382E-01 -0.1433E-03 -0.2072E-01 -0.1223E+00 -0.4377E-01  0.1791E+00  0.1197E+00
     9 -0.5500E+01  0.5082E-16  0.6166E-02  0.1007E-01  0.4271E-06  0.3805E+00  0.2116E+00  0.4316E+00  0.2559E-01  0.1160E+01 -0.3852E-01  0.1031E+04  0.1339E+03  0.2835E+03  0.1768E-01  0.1448E-01  0.2848E-09  0.3959E+00  0.2055E-09  0.1247E-01 -0.2667E-01 -0.1486E-01 -0.5167E-01  0.6295E-01  0.1263E+00  0.2679E+00
    10 -0.2750E+01  0.9487E-16  0.6093E-02  0.9437E-02  0.3807E-06  0.3634E+00  0.2114E+00  0.5100E+00  0.8352E-01  0.1080E+01  0.1254E+00  0.1025E+04  0.1585E+03  0.3113E+03  0.1228E-01  0.1394E-01  0.2661E-09  0.2998E+00 -0.9701E-10  0.1260E-01  0.2567E-02 -0.1870E-01  0.2260E-02  0.4179E-02  0.8734E-01  0.1142E+00
