#BLTrackFile VirtualDetector/beamDet
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-15.7857 -19.2507 76260 -11.5744 -24.3564 221.854 1065.41 -13 2 1 0 1
9.30563 -5.07166 76260 1.69395 -6.62978 226.042 1065.35 -13 3 1 0 1
-28.0891 16.2209 76260 -47.083 -8.9058 204.819 1065.66 -13 5 1 0 1
2.62821 -15.1543 76260 2.81483 -9.14511 231.977 1065.46 -13 6 1 0 1
-11.71 27.9976 76260 -49.8798 21.5124 219.026 1065.34 -13 7 1 0 1
-8.91744 6.72137 76260 -14.7504 -2.57855 216.771 1065.38 -13 8 1 0 1
11.4688 -5.85753 76260 -3.46291 11.3107 206.261 1065.37 -13 9 1 0 1
-12.4464 4.0605 76260 -24.7511 1.738 219.97 1065.61 -13 10 1 0 1
-27.2502 23.2803 76260 -36.087 -9.89044 190.625 1065.72 -13 11 1 0 1
-10.0436 -6.92897 76260 -7.53805 -22.0878 206.356 1065.51 -13 12 1 0 1
-0.973394 10.177 76260 -11.5266 12.9817 209.596 1065.62 -13 15 1 0 1
22.4094 8.61676 76260 5.54505 33.4449 212.623 1065.69 -13 16 1 0 1
13.4205 -18.2364 76260 41.6101 -13.0636 220.527 1065.5 -13 17 1 0 1
-13.6842 22.3004 76260 -43.3673 9.43425 215.377 1065.55 -13 18 1 0 1
-15.7016 8.15873 76260 -19.6408 -6.99173 201.01 1065.55 -13 19 1 0 1
-3.55491 22.6426 76260 -29.1627 15.9678 209.719 1065.57 -13 20 1 0 1
-3.05371 9.90655 76260 -28.2461 5.47513 211.48 1065.22 -13 21 1 0 1
5.88319 26.4829 76260 -21.1914 28.8147 213.694 1065.61 -13 22 1 0 1
-3.66094 -1.99609 76260 -6.71946 -4.46187 199.626 1065.47 -13 23 1 0 1
-15.3924 7.767 76260 -35.1939 10.4494 215.293 1065.44 -13 24 1 0 1
-4.57 -7.28426 76260 -0.778782 -12.3016 218.511 1065.46 -13 25 1 0 1
-6.41044 38.9253 76260 -46.9862 46.8463 216.226 1065.65 -13 26 1 0 1
-20.2568 -10.5664 76260 -24.7492 -26.3012 217.92 1065.76 -13 27 1 0 1
4.9651 22.7174 76260 -21.7689 40.3422 205.772 1065.59 -13 28 1 0 1
-6.90123 10.3635 76260 -17.9652 12.3684 217.524 1065.55 -13 29 1 0 1
5.35412 -4.45837 76260 11.6883 2.92384 223.078 1065.42 -13 31 1 0 1
-8.13636 20.5308 76260 -28.1373 8.40944 201.101 1065.6 -13 32 1 0 1
-12.8605 10.3213 76260 -27.0492 3.96508 205.249 1065.59 -13 33 1 0 1
22.1561 -1.79443 76260 8.6147 12.7213 219.45 1065.72 -13 34 1 0 1
25.4501 20.2848 76260 5.78084 30.5171 200.52 1065.57 -13 35 1 0 1
-23.2402 14.6258 76260 -30.345 -7.00889 207.882 1065.4 -13 37 1 0 1
-5.69609 15.7477 76260 -29.8 8.60219 204.263 1065.61 -13 38 1 0 1
-13.5515 15.1677 76260 -30.4879 8.4594 205.538 1065.26 -13 39 1 0 1
-5.23495 12.4202 76260 -17.6251 6.1181 224.786 1065.65 -13 41 1 0 1
-20.4827 34.7073 76260 -53.5434 8.42962 197.88 1065.44 -13 42 1 0 1
0.808648 3.01327 76260 -1.16476 11.1235 201.868 1065.46 -13 44 1 0 1
1.13953 14.3417 76260 -11.8642 8.32813 201.051 1065.69 -13 45 1 0 1
0.336309 8.81557 76260 -4.03705 8.37099 210.223 1065.59 -13 46 1 0 1
-8.41599 17.2108 76260 -42.4297 8.71538 208.054 1065.51 -13 47 1 0 1
-5.46944 2.57719 76260 -9.75788 10.4529 207.282 1065.54 -13 48 1 0 1
-25.5357 8.34623 76260 -30.2762 -14.7528 210.652 1065.51 -13 49 1 0 1
2.21717 8.17129 76260 3.98853 4.56646 211.964 1065.59 -13 50 1 0 1
-11.9932 6.23221 76260 -17.9094 -7.48729 198.413 1065.47 -13 51 1 0 1
14.8331 42.2356 76260 -34.403 54.0785 207.96 1065.53 -13 52 1 0 1
11.6031 -9.3797 76260 19.6427 -18.0659 202.217 1065.76 -13 53 1 0 1
-2.24562 53.7503 76260 -53.4 39.9815 209.095 1065.36 -13 54 1 0 1
7.76502 13.5021 76260 -13.9607 15.8185 215.323 1065.47 -13 55 1 0 1
-1.3933 26.7599 76260 -38.7883 10.1052 197.806 1065.6 -13 56 1 0 1
13.801 22.4911 76260 -1.27063 35.5806 227.078 1065.72 -13 57 1 0 1
-16.3512 2.66915 76260 -29.676 -3.61059 222.202 1065.33 -13 59 1 0 1
-25.78 26.1079 76260 -51.4006 9.07787 210.297 1065.42 -13 60 1 0 1
-29.3425 28.3967 76260 -72.8568 14.0833 220.777 1065.5 -13 61 1 0 1
-10.221 22.0226 76260 -31.3644 17.2002 207.676 1065.53 -13 62 1 0 1
-22.0713 -1.74734 76260 -21.7777 -11.39 198.553 1065.47 -13 63 1 0 1
6.78931 9.81812 76260 -12.9963 14.7077 205.968 1065.35 -13 64 1 0 1
6.98521 -28.2028 76260 19.5943 -29.3954 208.81 1065.57 -13 65 1 0 1
-19.035 5.98302 76260 -26.2501 -16.5474 197.592 1065.54 -13 66 1 0 1
-17.5463 34.3788 76260 -55.1195 13.1156 199.691 1065.49 -13 67 1 0 1
1.82921 -1.58747 76260 7.16397 -4.47019 200.317 1065.72 -13 68 1 0 1
-11.1373 24.8525 76260 -41.3358 5.61747 201.999 1065.51 -13 69 1 0 1
3.2701 27.8002 76260 -31.1774 14.141 202.908 1065.54 -13 70 1 0 1
