#BLTrackFile solenoid_cooling_channel
#x y z Px Py Pz t PDGid EvNum TrkId Parent weight
-2.945990 -3.615020 0 0.000000 0.000000 203.000000 1209.830000 -13 1 1 0 1.000000
-4.531870 1.376380 0 5.115510 -5.736420 209.437000 1209.890000 -13 2 1 0 1.000000
-3.056300 -2.537990 0 11.782300 6.514630 202.528000 1209.870000 -13 3 1 0 1.000000
-4.556090 -5.144190 0 -11.161700 -7.319100 210.571000 1209.950000 -13 4 1 0 1.000000
-1.143340 -0.336162 0 -3.243970 -0.592649 200.774000 1209.870000 -13 5 1 0 1.000000
-6.781760 -17.207000 0 2.636270 -9.028380 189.466000 1209.870000 -13 6 1 0 1.000000
13.908100 -2.515440 0 -26.282300 1.621360 198.269000 1209.850000 -13 7 1 0 1.000000
-0.390070 -9.825520 0 5.223000 3.791740 204.449000 1209.780000 -13 8 1 0 1.000000
4.343610 -1.431820 0 -7.855740 -6.656330 199.339000 1209.740000 -13 9 1 0 1.000000
-11.951100 -0.077825 0 18.858200 19.257800 222.165000 1209.820000 -13 10 1 0 1.000000
-1.509890 -4.969780 0 -10.683500 -11.343900 189.212000 1209.920000 -13 11 1 0 1.000000
-0.057238 -6.748070 0 -26.768600 -1.019060 218.430000 1209.990000 -13 12 1 0 1.000000
-2.351940 -2.345570 0 -25.184700 -6.765580 210.551000 1209.810000 -13 13 1 0 1.000000
-5.184100 0.683222 0 2.969080 5.764100 204.391000 1209.870000 -13 14 1 0 1.000000
-7.176120 0.387505 0 -5.594830 1.809130 204.740000 1209.690000 -13 15 1 0 1.000000
-1.357760 -1.239860 0 -14.885200 6.109580 202.635000 1209.880000 -13 16 1 0 1.000000
-7.195180 3.231080 0 -22.617000 -13.655300 230.011000 1209.770000 -13 17 1 0 1.000000
-4.277550 4.013380 0 5.030180 -17.745300 191.170000 1209.780000 -13 18 1 0 1.000000
-9.220200 -6.275610 0 -6.553980 1.146140 208.895000 1209.860000 -13 19 1 0 1.000000
-3.545770 -4.837140 0 -4.780820 -2.289900 201.421000 1209.770000 -13 20 1 0 1.000000
-4.914100 -5.166720 0 2.724310 19.255900 218.599000 1209.810000 -13 21 1 0 1.000000
-4.862780 12.387700 0 8.326300 -12.737000 214.381000 1209.840000 -13 22 1 0 1.000000
5.253370 -17.688100 0 22.428000 5.922380 200.362000 1210.030000 -13 23 1 0 1.000000
-0.857999 -13.512300 0 -1.803620 6.690430 203.016000 1209.930000 -13 24 1 0 1.000000
-4.078820 6.565370 0 -9.303550 -0.877710 192.009000 1209.780000 -13 25 1 0 1.000000
-8.913410 -12.222900 0 -11.962000 12.639600 192.135000 1209.780000 -13 26 1 0 1.000000
-1.578160 -0.064700 0 -6.219360 -22.072500 216.169000 1209.630000 -13 27 1 0 1.000000
-16.509900 -1.782480 0 0.861217 -0.662895 218.044000 1209.810000 -13 28 1 0 1.000000
12.547200 -4.268600 0 -25.827700 1.296470 189.052000 1209.910000 -13 29 1 0 1.000000
-5.898130 -8.207140 0 9.821760 2.508700 218.064000 1209.920000 -13 30 1 0 1.000000
-8.260510 -4.175220 0 20.386800 0.247594 194.475000 1209.930000 -13 31 1 0 1.000000
8.895980 10.194600 0 -1.105630 -31.098300 211.134000 1209.740000 -13 32 1 0 1.000000
-6.941850 -12.204700 0 -9.379500 32.704200 222.537000 1209.970000 -13 33 1 0 1.000000
11.530900 -3.921770 0 23.802200 -20.578200 215.479000 1209.840000 -13 34 1 0 1.000000
-0.808606 3.786560 0 3.492390 0.341852 210.952000 1209.880000 -13 35 1 0 1.000000
2.293130 -3.830360 0 9.063480 2.767640 188.095000 1210.050000 -13 36 1 0 1.000000
7.793180 -10.080900 0 16.672600 9.158460 219.647000 1209.750000 -13 37 1 0 1.000000
2.568600 -2.853290 0 -13.656700 2.052480 199.218000 1209.810000 -13 38 1 0 1.000000
-3.138370 -8.447450 0 -10.683400 9.051950 197.200000 1209.830000 -13 39 1 0 1.000000
1.644120 -2.178410 0 21.749300 13.138700 217.735000 1209.760000 -13 40 1 0 1.000000
-3.874190 2.926150 0 4.910470 -7.363360 193.613000 1209.870000 -13 41 1 0 1.000000
-4.801970 -7.055420 0 -10.367300 15.673800 205.444000 1209.810000 -13 42 1 0 1.000000
2.544280 -6.291880 0 18.829900 -7.969580 195.346000 1209.740000 -13 43 1 0 1.000000
-12.279000 8.784010 0 -0.901160 9.721500 221.237000 1209.940000 -13 44 1 0 1.000000
-3.540760 2.100520 0 -6.332960 9.188580 188.899000 1209.980000 -13 45 1 0 1.000000
-6.369180 1.897560 0 -14.278000 20.511100 217.807000 1209.850000 -13 46 1 0 1.000000
-10.672100 -11.310500 0 -9.918520 -25.607500 198.576000 1209.920000 -13 47 1 0 1.000000
3.972920 -1.160080 0 7.257020 -8.283000 193.842000 1209.870000 -13 48 1 0 1.000000
-5.372980 5.967990 0 27.176400 2.951290 197.479000 1209.820000 -13 49 1 0 1.000000
3.809360 -4.269810 0 -5.338700 12.005000 198.209000 1209.860000 -13 50 1 0 1.000000
-3.357470 3.948340 0 6.983660 8.906440 202.668000 1209.730000 -13 51 1 0 1.000000
-8.322720 -7.578630 0 -12.312900 -10.285300 204.495000 1209.710000 -13 52 1 0 1.000000
-2.902420 -5.075870 0 16.569500 6.309990 206.556000 1209.730000 -13 53 1 0 1.000000
-0.110367 -5.733590 0 32.118200 -5.587700 216.697000 1209.840000 -13 54 1 0 1.000000
-3.951240 2.205780 0 4.141690 7.505690 200.658000 1209.780000 -13 55 1 0 1.000000
-7.859630 -7.075050 0 -6.689790 -23.894900 205.764000 1209.850000 -13 56 1 0 1.000000
0.032095 -10.029400 0 20.950100 -0.044116 207.860000 1209.900000 -13 57 1 0 1.000000
-1.736700 5.772770 0 6.156050 9.404970 206.541000 1209.710000 -13 58 1 0 1.000000
-2.758680 -2.397530 0 3.622340 -15.420000 202.148000 1209.760000 -13 59 1 0 1.000000
8.214430 -8.329550 0 13.701200 -18.920300 207.751000 1210.180000 -13 60 1 0 1.000000
-6.473270 -7.645290 0 6.736290 -2.457190 194.095000 1209.820000 -13 61 1 0 1.000000
-2.205490 1.105400 0 -15.928700 -29.979000 196.326000 1209.770000 -13 62 1 0 1.000000
-13.444700 -0.596819 0 7.523430 7.524170 215.275000 1209.910000 -13 63 1 0 1.000000
-3.125620 3.222160 0 6.617800 18.096300 199.295000 1209.940000 -13 64 1 0 1.000000
4.316130 0.013518 0 -16.638600 -16.261900 211.208000 1209.780000 -13 65 1 0 1.000000
-1.494290 -8.825890 0 -6.805870 6.046090 199.364000 1209.800000 -13 66 1 0 1.000000
2.097910 -5.842890 0 -8.831230 17.776300 213.817000 1209.730000 -13 67 1 0 1.000000
-3.406650 2.726890 0 11.231400 -18.746100 202.323000 1209.840000 -13 68 1 0 1.000000
-10.878900 -6.159090 0 10.685300 11.793700 212.464000 1209.770000 -13 69 1 0 1.000000
7.266790 7.826060 0 -19.556700 11.878400 199.944000 1209.860000 -13 70 1 0 1.000000
-0.121195 -9.724870 0 26.433700 9.024850 199.902000 1209.850000 -13 71 1 0 1.000000
-0.511886 -10.757700 0 1.713100 -2.140170 209.517000 1209.660000 -13 72 1 0 1.000000
-4.650470 -10.054900 0 -4.642030 11.553300 210.084000 1209.980000 -13 73 1 0 1.000000
-0.459235 0.126248 0 -11.784800 11.960300 211.700000 1209.830000 -13 74 1 0 1.000000
0.820035 -5.126430 0 -5.180630 9.127910 207.803000 1209.890000 -13 75 1 0 1.000000
-3.766150 6.822430 0 -12.066700 8.354620 235.463000 1209.900000 -13 76 1 0 1.000000
-13.902100 -4.983880 0 21.867500 39.257000 221.573000 1209.950000 -13 77 1 0 1.000000
-1.249430 -4.328530 0 3.174540 -0.071699 197.193000 1209.840000 -13 78 1 0 1.000000
6.204140 -9.965850 0 1.916560 -0.158492 202.818000 1209.840000 -13 79 1 0 1.000000
-14.415000 -5.282190 0 17.509500 15.962300 214.651000 1209.810000 -13 80 1 0 1.000000
-3.206890 -8.942930 0 -0.410453 -25.085800 204.490000 1209.890000 -13 81 1 0 1.000000
-0.096620 -5.677250 0 26.381900 -0.147446 199.362000 1209.930000 -13 82 1 0 1.000000
