 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:  2
    pzmin/pzmax:   0./  100.
    transverse cuts:   0.  0.
    longitudinal cut:   0.
    RF frequency (MHz):   704.
    sigma cut:   4.
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.1726E-03  0.1680E-02  0.4993E-10  0.1827E+00  0.1943E+00  0.3459E-01  0.9530E-02  0.5494E+00  0.3147E-01  0.5640E+03  0.5640E+03  0.5640E+03  0.1882E-03  0.6999E-02  0.8516E-10  0.1519E+01  0.8728E-08  0.6963E-02 -0.1095E-02 -0.1621E-02 -0.5652E-02  0.1452E-02  0.4076E-02  0.3861E-02
     2  0.7800E+00  0.0000E+00  0.1691E-03  0.1675E-02  0.4725E-10  0.1740E+00  0.1946E+00  0.2751E-01  0.6715E-01  0.5392E+00  0.5684E-01  0.5560E+03  0.5560E+03  0.5560E+03  0.2279E-03  0.7080E-02  0.8410E-10  0.1757E+01  0.6433E-08  0.7035E-02 -0.1116E-02 -0.1663E-02 -0.8080E-02  0.5781E-05  0.5082E-02  0.3977E-02
     3  0.1560E+01  0.0000E+00  0.1657E-03  0.1684E-02  0.4540E-10  0.1942E+00  0.1952E+00  0.3112E-01 -0.2404E-01  0.5269E+00  0.5412E-01  0.5510E+03  0.5510E+03  0.5510E+03  0.2475E-03  0.7192E-02  0.8324E-10  0.1758E+01  0.1026E-07  0.7150E-02 -0.1256E-02 -0.1534E-02 -0.9009E-02 -0.3403E-03  0.4764E-02  0.3792E-02
     4  0.2340E+01  0.0000E+00  0.1658E-03  0.1687E-02  0.4549E-10  0.2030E+00  0.1956E+00  0.3202E-01  0.7455E-02  0.5078E+00  0.3129E-01  0.5480E+03  0.5480E+03  0.5480E+03  0.1800E-03  0.7337E-02  0.8159E-10  0.1772E+01  0.6518E-08  0.7295E-02 -0.1165E-02 -0.1548E-02 -0.9208E-02  0.1045E-02  0.7710E-02  0.3512E-02
     5  0.3120E+01  0.0000E+00  0.1633E-03  0.1663E-02  0.4410E-10  0.2096E+00  0.1959E+00  0.2954E-01  0.8880E-01  0.5007E+00 -0.5981E-02  0.5450E+03  0.5450E+03  0.5450E+03  0.2526E-03  0.7329E-02  0.8051E-10  0.1561E+01  0.1242E-07  0.7297E-02 -0.1111E-02 -0.1732E-02 -0.5638E-02 -0.8329E-03  0.4590E-02  0.3952E-02
     6  0.3900E+01  0.0000E+00  0.1616E-03  0.1649E-02  0.4289E-10  0.2092E+00  0.1961E+00  0.3046E-01 -0.2062E-01  0.5218E+00 -0.3802E-01  0.5390E+03  0.5390E+03  0.5390E+03  0.2980E-03  0.7196E-02  0.8173E-10  0.2324E+01  0.1092E-07  0.7129E-02 -0.1309E-02 -0.1587E-02 -0.7253E-02  0.9529E-03  0.2526E-02  0.4090E-02
     7  0.4680E+01  0.0000E+00  0.1605E-03  0.1624E-02  0.4137E-10  0.2009E+00  0.1961E+00  0.3075E-01  0.1969E-02  0.5381E+00 -0.3525E-01  0.5350E+03  0.5350E+03  0.5350E+03  0.1568E-03  0.7002E-02  0.8229E-10  0.1698E+01  0.8571E-08  0.6965E-02 -0.1261E-02 -0.1503E-02 -0.6856E-02  0.3330E-02  0.4107E-02  0.3949E-02
     8  0.5460E+01  0.0000E+00  0.1588E-03  0.1622E-02  0.4037E-10  0.2158E+00  0.1960E+00  0.3089E-01  0.2910E-01  0.5495E+00 -0.1066E-01  0.5320E+03  0.5320E+03  0.5320E+03  0.2292E-03  0.6915E-02  0.8311E-10  0.1588E+01  0.7747E-08  0.6883E-02 -0.1094E-02 -0.1749E-02 -0.5877E-02 -0.5896E-02  0.7825E-02  0.4484E-02
     9  0.6240E+01  0.0000E+00  0.1572E-03  0.1607E-02  0.3922E-10  0.2259E+00  0.1958E+00  0.3070E-01 -0.5035E-02  0.5564E+00  0.3481E-01  0.5280E+03  0.5280E+03  0.5280E+03  0.2998E-03  0.6856E-02  0.8330E-10  0.2063E+01  0.6105E-08  0.6805E-02 -0.1244E-02 -0.1540E-02 -0.8303E-02  0.1175E-02  0.5217E-02  0.4183E-02
    10  0.7020E+01  0.0000E+00  0.1559E-03  0.1609E-02  0.3872E-10  0.2187E+00  0.1953E+00  0.3122E-01  0.2983E-01  0.5461E+00  0.6152E-01  0.5260E+03  0.5260E+03  0.5260E+03  0.1816E-03  0.6909E-02  0.8274E-10  0.1784E+01  0.6293E-08  0.6872E-02 -0.1283E-02 -0.1509E-02 -0.5431E-02  0.1253E-02  0.3090E-02  0.4093E-02
