#BLTrackFile solenoid_cooling_channel
#x y z Px Py Pz t PDGid EvNum TrkId Parent weight
-1.241960 -1.714080 0 0.000000 0.000000 199.000000 1639.900000 -13 1 1 0 1.000000
-0.051168 -0.450674 0 -7.272810 -4.624960 202.220000 1639.920000 -13 2 1 0 1.000000
1.423220 -2.092970 0 -2.279840 10.951200 194.705000 1639.980000 -13 3 1 0 1.000000
-4.764550 1.128730 0 -7.877920 -31.660200 202.736000 1640.040000 -13 4 1 0 1.000000
-1.972970 -3.600950 0 1.219860 1.248820 201.626000 1639.900000 -13 5 1 0 1.000000
-4.525310 -3.736310 0 10.731900 9.653890 201.124000 1640.070000 -13 6 1 0 1.000000
0.586233 1.612540 0 -4.332130 -8.035590 207.807000 1639.940000 -13 7 1 0 1.000000
-2.931220 -2.263580 0 -4.092720 2.759720 194.005000 1639.990000 -13 8 1 0 1.000000
-4.174420 -3.119470 0 16.501000 6.803000 193.127000 1639.830000 -13 9 1 0 1.000000
-0.206532 0.887163 0 7.669350 11.770200 204.772000 1640.020000 -13 10 1 0 1.000000
-0.810730 -6.802580 0 -0.591414 -24.682800 210.577000 1639.710000 -13 11 1 0 1.000000
-5.201430 -3.070740 0 11.660900 5.404350 189.704000 1640.000000 -13 12 1 0 1.000000
-5.397590 -1.990600 0 6.529990 -1.605540 206.449000 1639.950000 -13 13 1 0 1.000000
-0.148779 3.473080 0 -21.640000 26.572500 209.184000 1640.030000 -13 14 1 0 1.000000
-2.134280 -0.688668 0 2.964150 4.848200 190.263000 1639.780000 -13 15 1 0 1.000000
0.609646 -3.051050 0 -3.028810 -13.258600 199.587000 1639.980000 -13 16 1 0 1.000000
-1.134510 -0.922242 0 -14.865500 -10.216300 192.766000 1639.930000 -13 17 1 0 1.000000
-6.762350 -2.072830 0 -25.014800 -2.469920 215.641000 1639.910000 -13 18 1 0 1.000000
-2.490600 0.329293 0 3.589340 24.366900 189.548000 1639.970000 -13 19 1 0 1.000000
5.344910 -3.004310 0 4.063250 12.845900 198.405000 1639.980000 -13 20 1 0 1.000000
0.485655 -0.806427 0 -20.317100 -16.955800 186.968000 1640.010000 -13 21 1 0 1.000000
-2.990940 -1.593590 0 11.128200 -18.587300 184.391000 1639.770000 -13 22 1 0 1.000000
4.348510 -0.668710 0 9.899170 -0.746342 195.193000 1639.910000 -13 23 1 0 1.000000
-1.400830 -2.511010 0 11.988000 15.113300 201.925000 1639.930000 -13 24 1 0 1.000000
-2.182120 -0.616885 0 38.426700 2.534050 194.111000 1639.830000 -13 25 1 0 1.000000
-1.282960 -3.316220 0 14.110400 13.685100 192.780000 1640.020000 -13 26 1 0 1.000000
1.257850 1.608600 0 0.764918 -9.429030 190.992000 1639.960000 -13 27 1 0 1.000000
-1.312660 0.411589 0 -17.550400 -0.435949 201.790000 1639.880000 -13 28 1 0 1.000000
-2.067440 -1.321050 0 24.480300 -11.640800 191.782000 1639.910000 -13 29 1 0 1.000000
-0.273471 0.944952 0 2.930940 1.643650 194.217000 1639.700000 -13 30 1 0 1.000000
-3.215020 -0.175174 0 17.938900 15.277900 206.263000 1639.870000 -13 31 1 0 1.000000
1.460340 -2.694300 0 -12.254700 -19.726400 184.403000 1639.980000 -13 32 1 0 1.000000
0.684174 -1.838590 0 -9.945690 -16.155900 194.202000 1639.990000 -13 33 1 0 1.000000
-0.996914 -6.166540 0 22.732200 -2.067120 201.669000 1639.920000 -13 34 1 0 1.000000
1.858110 -5.260120 0 22.283600 -5.664280 194.429000 1639.900000 -13 35 1 0 1.000000
-1.854340 2.866280 0 -10.394800 -7.034220 199.376000 1639.870000 -13 36 1 0 1.000000
-2.115800 -4.180170 0 4.479390 1.837480 189.787000 1639.970000 -13 37 1 0 1.000000
-4.692450 -5.765920 0 -9.075530 -16.399800 207.767000 1639.880000 -13 38 1 0 1.000000
-0.975938 -2.043720 0 -0.182580 -4.671320 194.640000 1639.780000 -13 39 1 0 1.000000
