 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:  2
    pzmin/pzmax:   0./  100.
    transverse cuts:   0.  0.
    longitudinal cut:   0.
    RF frequency (MHz):   704.
    sigma cut:   4.
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.1790E-03  0.1737E-02  0.5565E-10  0.1620E+00  0.1943E+00  0.3477E-01  0.2293E-01  0.5721E+00  0.1563E-01  0.1941E+04  0.1941E+04  0.1941E+04  0.1761E-03  0.6992E-02  0.8834E-10  0.1784E+01  0.6856E-08  0.6937E-02 -0.1051E-02 -0.1578E-02 -0.6587E-02 -0.1260E-03  0.5820E-02  0.3654E-02
     2  0.7800E+00  0.0000E+00  0.1761E-03  0.1733E-02  0.5338E-10  0.1601E+00  0.1945E+00  0.2740E-01  0.7154E-01  0.5613E+00  0.6344E-01  0.1917E+04  0.1917E+04  0.1917E+04  0.2285E-03  0.7066E-02  0.8733E-10  0.1800E+01  0.6326E-08  0.7013E-02 -0.1123E-02 -0.1613E-02 -0.7598E-02 -0.1652E-02  0.6440E-02  0.3853E-02
     3  0.1560E+01  0.0000E+00  0.1721E-03  0.1718E-02  0.5053E-10  0.1673E+00  0.1950E+00  0.3046E-01 -0.3230E-01  0.5431E+00  0.8228E-01  0.1888E+04  0.1888E+04  0.1888E+04  0.2089E-03  0.7170E-02  0.8542E-10  0.1790E+01  0.9058E-08  0.7122E-02 -0.1301E-02 -0.1559E-02 -0.7798E-02 -0.1616E-03  0.5228E-02  0.3997E-02
     4  0.2340E+01  0.0000E+00  0.1695E-03  0.1714E-02  0.4905E-10  0.1649E+00  0.1954E+00  0.3156E-01  0.4576E-01  0.5169E+00  0.8098E-01  0.1870E+04  0.1870E+04  0.1870E+04  0.1326E-03  0.7358E-02  0.8304E-10  0.2006E+01  0.5463E-08  0.7302E-02 -0.1186E-02 -0.1591E-02 -0.7388E-02  0.9111E-03  0.6278E-02  0.3648E-02
     5  0.3120E+01  0.0000E+00  0.1677E-03  0.1705E-02  0.4759E-10  0.1655E+00  0.1956E+00  0.2853E-01  0.5781E-01  0.4938E+00  0.4476E-01  0.1857E+04  0.1857E+04  0.1857E+04  0.1944E-03  0.7490E-02  0.8094E-10  0.1937E+01  0.8149E-08  0.7440E-02 -0.1084E-02 -0.1673E-02 -0.7540E-02 -0.8401E-03  0.5012E-02  0.3549E-02
     6  0.3900E+01  0.0000E+00  0.1670E-03  0.1695E-02  0.4671E-10  0.1659E+00  0.1959E+00  0.3086E-01 -0.1839E-01  0.4933E+00 -0.9314E-02  0.1842E+04  0.1842E+04  0.1842E+04  0.2318E-03  0.7481E-02  0.8053E-10  0.2142E+01  0.4754E-08  0.7422E-02 -0.1243E-02 -0.1570E-02 -0.9237E-02  0.1574E-02  0.4205E-02  0.3593E-02
     7  0.4680E+01  0.0000E+00  0.1649E-03  0.1686E-02  0.4537E-10  0.1627E+00  0.1960E+00  0.2972E-01  0.2800E-01  0.5072E+00 -0.4986E-01  0.1832E+04  0.1832E+04  0.1832E+04  0.1549E-03  0.7359E-02  0.8137E-10  0.1925E+01  0.6817E-09  0.7311E-02 -0.1254E-02 -0.1578E-02 -0.6652E-02  0.1029E-02  0.5095E-02  0.3771E-02
     8  0.5460E+01  0.0000E+00  0.1624E-03  0.1683E-02  0.4418E-10  0.1703E+00  0.1959E+00  0.3025E-01  0.6737E-02  0.5320E+00 -0.6760E-01  0.1819E+04  0.1819E+04  0.1819E+04  0.1879E-03  0.7175E-02  0.8328E-10  0.1646E+01  0.7430E-10  0.7140E-02 -0.1173E-02 -0.1673E-02 -0.5196E-02 -0.2154E-02  0.5270E-02  0.4072E-02
     9  0.6240E+01  0.0000E+00  0.1622E-03  0.1683E-02  0.4372E-10  0.1696E+00  0.1958E+00  0.3035E-01  0.1657E-01  0.5571E+00 -0.4895E-01  0.1808E+04  0.1808E+04  0.1808E+04  0.2055E-03  0.7004E-02  0.8529E-10  0.1751E+01 -0.1580E-08  0.6965E-02 -0.1205E-02 -0.1564E-02 -0.8555E-02  0.9068E-03  0.5485E-02  0.3988E-02
    10  0.7020E+01  0.0000E+00  0.1599E-03  0.1687E-02  0.4258E-10  0.1688E+00  0.1954E+00  0.3052E-01  0.1336E-01  0.5719E+00 -0.7888E-02  0.1798E+04  0.1798E+04  0.1798E+04  0.1661E-03  0.6903E-02  0.8660E-10  0.1767E+01 -0.1425E-08  0.6864E-02 -0.1208E-02 -0.1579E-02 -0.7433E-02 -0.6352E-03  0.5012E-02  0.4145E-02
    11  0.7800E+01  0.0000E+00  0.1603E-03  0.1682E-02  0.4265E-10  0.1681E+00  0.1950E+00  0.3026E-01  0.1487E-02  0.5651E+00  0.3827E-01  0.1790E+04  0.1790E+04  0.1790E+04  0.1758E-03  0.6924E-02  0.8612E-10  0.1630E+01 -0.1921E-08  0.6891E-02 -0.1173E-02 -0.1641E-02 -0.8691E-02 -0.9859E-03  0.6463E-02  0.4234E-02
    12  0.8580E+01  0.0000E+00  0.1588E-03  0.1680E-02  0.4208E-10  0.1719E+00  0.1945E+00  0.2995E-01  0.1379E-01  0.5428E+00  0.7132E-01  0.1785E+04  0.1785E+04  0.1785E+04  0.1964E-03  0.7053E-02  0.8448E-10  0.1447E+01  0.4968E-09  0.7027E-02 -0.1139E-02 -0.1586E-02 -0.5951E-02  0.1443E-02  0.2940E-02  0.3795E-02
    13  0.9360E+01  0.0000E+00  0.1582E-03  0.1680E-02  0.4155E-10  0.1705E+00  0.1941E+00  0.3004E-01  0.8859E-03  0.5172E+00  0.7088E-01  0.1779E+04  0.1779E+04  0.1779E+04  0.1880E-03  0.7213E-02  0.8261E-10  0.1480E+01  0.1215E-08  0.7187E-02 -0.1191E-02 -0.1613E-02 -0.6113E-02 -0.5657E-03  0.4582E-02  0.3821E-02
    14  0.1014E+02  0.0000E+00  0.1580E-03  0.1685E-02  0.4135E-10  0.1728E+00  0.1937E+00  0.2953E-01  0.1049E-01  0.4985E+00  0.3991E-01  0.1775E+04  0.1775E+04  0.1775E+04  0.1690E-03  0.7327E-02  0.8135E-10  0.1296E+01  0.5131E-08  0.7308E-02 -0.1189E-02 -0.1605E-02 -0.7556E-02 -0.8509E-03  0.5492E-02  0.3670E-02
    15  0.1092E+02  0.0000E+00  0.1580E-03  0.1673E-02  0.4101E-10  0.1699E+00  0.1935E+00  0.3013E-01  0.1614E-01  0.4922E+00 -0.4463E-04  0.1769E+04  0.1769E+04  0.1769E+04  0.1567E-03  0.7339E-02  0.8064E-10  0.1336E+01  0.6248E-08  0.7318E-02 -0.1072E-02 -0.1582E-02 -0.9430E-02  0.1356E-02  0.4589E-02  0.3341E-02
    16  0.1170E+02  0.0000E+00  0.1560E-03  0.1675E-02  0.4026E-10  0.1679E+00  0.1934E+00  0.2892E-01  0.1721E-01  0.5018E+00 -0.3559E-01  0.1766E+04  0.1766E+04  0.1766E+04  0.1992E-03  0.7273E-02  0.8146E-10  0.1339E+01  0.4967E-08  0.7252E-02 -0.1061E-02 -0.1622E-02 -0.6923E-02 -0.5308E-03  0.4739E-02  0.3493E-02
    17  0.1248E+02  0.0000E+00  0.1556E-03  0.1666E-02  0.4000E-10  0.1719E+00  0.1935E+00  0.3103E-01  0.2459E-02  0.5220E+00 -0.5108E-01  0.1763E+04  0.1763E+04  0.1763E+04  0.2167E-03  0.7132E-02  0.8286E-10  0.1625E+01  0.7200E-08  0.7100E-02 -0.1232E-02 -0.1600E-02 -0.6781E-02  0.4249E-03  0.5155E-02  0.3946E-02
    18  0.1326E+02  0.0000E+00  0.1546E-03  0.1660E-02  0.3936E-10  0.1692E+00  0.1937E+00  0.2902E-01  0.5476E-01  0.5392E+00 -0.3868E-01  0.1760E+04  0.1760E+04  0.1760E+04  0.1402E-03  0.7018E-02  0.8400E-10  0.1917E+01  0.6148E-08  0.6973E-02 -0.1198E-02 -0.1572E-02 -0.7551E-02  0.2945E-03  0.4391E-02  0.3911E-02
    19  0.1404E+02  0.0000E+00  0.1538E-03  0.1646E-02  0.3887E-10  0.1690E+00  0.1941E+00  0.3042E-01 -0.3422E-01  0.5515E+00 -0.8950E-02  0.1751E+04  0.1751E+04  0.1751E+04  0.1616E-03  0.6914E-02  0.8445E-10  0.1888E+01  0.4895E-08  0.6870E-02 -0.1053E-02 -0.1631E-02 -0.5724E-02 -0.1272E-02  0.5072E-02  0.3901E-02
    20  0.1482E+02  0.0000E+00  0.1540E-03  0.1635E-02  0.3844E-10  0.1708E+00  0.1944E+00  0.3060E-01  0.8000E-01  0.5513E+00  0.2601E-01  0.1743E+04  0.1743E+04  0.1743E+04  0.2224E-03  0.6925E-02  0.8404E-10  0.2297E+01  0.5030E-08  0.6860E-02 -0.1167E-02 -0.1606E-02 -0.8739E-02 -0.8701E-03  0.6767E-02  0.4086E-02
    21  0.1560E+02  0.0000E+00  0.1524E-03  0.1633E-02  0.3778E-10  0.1690E+00  0.1948E+00  0.2913E-01 -0.9029E-02  0.5405E+00  0.5368E-01  0.1740E+04  0.1740E+04  0.1740E+04  0.1643E-03  0.7005E-02  0.8304E-10  0.2287E+01  0.3543E-08  0.6943E-02 -0.1263E-02 -0.1559E-02 -0.6661E-02  0.1300E-02  0.3769E-02  0.4068E-02
