#BLTrackFile solenoid_cooling_channel
#x y z Px Py Pz t PDGid EvNum TrkId Parent weight
-5.844740 -8.474280 0 0.000000 0.000000 203.000000 778.698000 -13 1 1 0 1.000000
-2.059020 5.972790 0 -10.054600 27.200100 226.748000 778.948000 -13 2 1 0 1.000000
5.068560 -2.681890 0 -16.086900 -18.547300 193.273000 778.870000 -13 3 1 0 1.000000
-11.914800 -13.744500 0 2.070620 0.742256 217.595000 778.738000 -13 4 1 0 1.000000
-2.838890 -13.668700 0 -0.316042 11.436100 192.084000 778.947000 -13 5 1 0 1.000000
10.020600 -2.815790 0 -5.725580 5.693830 188.505000 778.473000 -13 6 1 0 1.000000
-18.633100 -7.331080 0 3.203680 4.547060 199.023000 778.952000 -13 7 1 0 1.000000
-16.126500 1.632200 0 7.337880 -13.996500 210.908000 778.984000 -13 8 1 0 1.000000
-28.548300 -7.607510 0 -13.931400 -1.930490 205.592000 778.892000 -13 9 1 0 1.000000
3.385190 -1.497870 0 -11.367900 22.809200 205.642000 778.871000 -13 10 1 0 1.000000
14.039800 -1.109150 0 -1.965230 3.920250 214.694000 778.651000 -13 11 1 0 1.000000
-9.563660 3.387520 0 1.561090 1.279460 215.550000 778.593000 -13 12 1 0 1.000000
-8.956820 -5.228930 0 -4.600530 -0.119199 209.873000 778.687000 -13 13 1 0 1.000000
-27.046400 -2.076550 0 10.835900 2.876770 215.666000 778.784000 -13 14 1 0 1.000000
-7.567940 -6.828090 0 -8.418600 4.927880 203.776000 778.842000 -13 15 1 0 1.000000
-29.733300 -5.146820 0 14.740000 -15.107700 216.822000 778.797000 -13 16 1 0 1.000000
-4.441870 -6.932920 0 -14.610900 3.544380 225.588000 778.832000 -13 17 1 0 1.000000
-21.724100 1.372000 0 10.546900 -20.662700 206.903000 778.830000 -13 18 1 0 1.000000
3.214310 -8.054810 0 3.466170 7.153360 186.754000 778.827000 -13 19 1 0 1.000000
-16.264100 6.785420 0 -0.900392 -4.796800 225.135000 778.810000 -13 20 1 0 1.000000
6.327530 -0.998301 0 -9.637140 3.005260 223.780000 778.667000 -13 21 1 0 1.000000
6.506630 -7.416040 0 0.862251 -2.751080 224.090000 778.769000 -13 22 1 0 1.000000
-0.711730 5.020960 0 -19.096200 -7.326940 222.994000 778.774000 -13 23 1 0 1.000000
0.691081 -26.978900 0 -2.386230 8.732390 222.973000 778.695000 -13 24 1 0 1.000000
