 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:  2
    pzmin/pzmax:   0./  100.
    transverse cuts:   0.  0.
    longitudinal cut:   0.
    RF frequency (MHz):   704.
    sigma cut:   4.
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.1795E-03  0.1711E-02  0.5504E-10  0.1534E+00  0.1943E+00  0.3420E-01  0.2742E-01  0.5700E+00  0.1368E-01  0.1422E+04  0.1422E+04  0.1422E+04  0.1609E-03  0.6958E-02  0.8746E-10  0.1858E+01  0.3584E-08  0.6896E-02 -0.1087E-02 -0.1587E-02 -0.7206E-02  0.6860E-03  0.5767E-02  0.3796E-02
     2  0.7800E+00  0.0000E+00  0.1753E-03  0.1705E-02  0.5203E-10  0.1558E+00  0.1944E+00  0.2745E-01  0.5783E-01  0.5599E+00  0.6317E-01  0.1404E+04  0.1404E+04  0.1404E+04  0.2131E-03  0.7005E-02  0.8646E-10  0.1591E+01  0.2003E-08  0.6964E-02 -0.1113E-02 -0.1647E-02 -0.7174E-02 -0.9942E-03  0.5476E-02  0.4003E-02
     3  0.1560E+01  0.0000E+00  0.1713E-03  0.1687E-02  0.4898E-10  0.1648E+00  0.1949E+00  0.3074E-01 -0.2503E-01  0.5456E+00  0.7885E-01  0.1383E+04  0.1383E+04  0.1383E+04  0.2205E-03  0.7072E-02  0.8479E-10  0.1517E+01  0.7006E-08  0.7037E-02 -0.1272E-02 -0.1550E-02 -0.8297E-02 -0.5372E-03  0.5567E-02  0.4007E-02
     4  0.2340E+01  0.0000E+00  0.1689E-03  0.1685E-02  0.4769E-10  0.1604E+00  0.1954E+00  0.3164E-01  0.4336E-01  0.5199E+00  0.7703E-01  0.1369E+04  0.1369E+04  0.1369E+04  0.1350E-03  0.7262E-02  0.8257E-10  0.1787E+01  0.4286E-08  0.7217E-02 -0.1192E-02 -0.1554E-02 -0.7991E-02  0.8927E-03  0.6466E-02  0.3646E-02
     5  0.3120E+01  0.0000E+00  0.1661E-03  0.1674E-02  0.4597E-10  0.1622E+00  0.1956E+00  0.2847E-01  0.5483E-01  0.4967E+00  0.4698E-01  0.1359E+04  0.1359E+04  0.1359E+04  0.1831E-03  0.7391E-02  0.8046E-10  0.1699E+01  0.8729E-08  0.7352E-02 -0.1102E-02 -0.1686E-02 -0.6802E-02 -0.1203E-02  0.5004E-02  0.3720E-02
     6  0.3900E+01  0.0000E+00  0.1647E-03  0.1661E-02  0.4456E-10  0.1682E+00  0.1958E+00  0.3095E-01 -0.1828E-01  0.4968E+00 -0.1086E-02  0.1347E+04  0.1347E+04  0.1347E+04  0.2333E-03  0.7368E-02  0.8003E-10  0.1899E+01  0.5748E-08  0.7321E-02 -0.1246E-02 -0.1596E-02 -0.8880E-02  0.1739E-02  0.3969E-02  0.3783E-02
     7  0.4680E+01  0.0000E+00  0.1624E-03  0.1648E-02  0.4295E-10  0.1620E+00  0.1959E+00  0.2996E-01  0.2869E-01  0.5074E+00 -0.3770E-01  0.1338E+04  0.1338E+04  0.1338E+04  0.1523E-03  0.7255E-02  0.8049E-10  0.1620E+01  0.2304E-08  0.7222E-02 -0.1242E-02 -0.1566E-02 -0.6290E-02  0.2458E-02  0.3869E-02  0.3807E-02
     8  0.5460E+01  0.0000E+00  0.1600E-03  0.1644E-02  0.4181E-10  0.1726E+00  0.1959E+00  0.3029E-01  0.9713E-02  0.5286E+00 -0.5785E-01  0.1329E+04  0.1329E+04  0.1329E+04  0.1936E-03  0.7100E-02  0.8207E-10  0.1481E+01  0.4639E-08  0.7072E-02 -0.1172E-02 -0.1692E-02 -0.5021E-02 -0.2556E-02  0.4975E-02  0.4216E-02
     9  0.6240E+01  0.0000E+00  0.1601E-03  0.1642E-02  0.4153E-10  0.1739E+00  0.1957E+00  0.3044E-01  0.1380E-01  0.5520E+00 -0.4020E-01  0.1320E+04  0.1320E+04  0.1320E+04  0.2130E-03  0.6940E-02  0.8386E-10  0.1612E+01  0.3275E-08  0.6907E-02 -0.1228E-02 -0.1564E-02 -0.8528E-02  0.3862E-04  0.5920E-02  0.4117E-02
    10  0.7020E+01  0.0000E+00  0.1581E-03  0.1640E-02  0.4045E-10  0.1745E+00  0.1954E+00  0.3038E-01  0.1761E-01  0.5653E+00 -0.6101E-02  0.1315E+04  0.1315E+04  0.1315E+04  0.1620E-03  0.6843E-02  0.8492E-10  0.1675E+01  0.2794E-08  0.6808E-02 -0.1199E-02 -0.1538E-02 -0.7549E-02 -0.1482E-02  0.5498E-02  0.4060E-02
