#BLTrackFile VirtualDetector/beamDet
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
0.993103 26.1103 99010 -13.0092 27.2808 237.16 812.365 -13 2 1 0 1
-2.58497 11.4897 99010 -27.7736 14.9344 233.2 812.519 -13 4 1 0 1
10.3042 9.17189 99010 0.693836 18.4176 199.389 812.311 -13 5 1 0 1
3.58334 -45.5132 99010 37.642 -25.5165 241.279 812.453 -13 6 1 0 1
-24.6203 16.2808 99010 -44.721 -7.80285 222.372 812.322 -13 7 1 0 1
14.3881 52.1847 99010 -49.5945 46.9078 213.543 812.416 -13 8 1 0 1
-8.38686 18.4922 99010 -26.2842 10.6401 227.896 812.73 -13 9 1 0 1
-6.28475 57.0635 99010 -62.1032 13.6372 215.199 812.641 -13 10 1 0 1
13.0688 48.6192 99010 -41.5514 35.2516 202.885 812.56 -13 11 1 0 1
-16.4243 30.3072 99010 -35.3191 -7.59484 202.317 812.522 -13 12 1 0 1
0.74874 14.3405 99010 -20.7499 15.2946 207.576 812.45 -13 14 1 0 1
-15.554 9.29459 99010 -19.3802 -8.34282 203.735 812.312 -13 15 1 0 1
-7.23362 37.7741 99010 -47.2038 25.0538 210.624 812.615 -13 16 1 0 1
-28.4888 14.9931 99010 -46.2872 -18.9185 222.782 812.926 -13 18 1 0 1
-33.073 30.5017 99010 -41.2525 12.4419 229.367 812.81 -13 19 1 0 1
-6.12922 25.5701 99010 -29.9251 2.89591 201.208 812.398 -13 20 1 0 1
9.23875 9.57014 99010 -10.5751 14.4618 200.51 812.339 -13 21 1 0 1
-29.9597 28.9844 99010 -56.2566 -9.92694 202.36 812.339 -13 22 1 0 1
-27.5437 52.255 99010 -69.1797 24.1191 214.937 812.468 -13 23 1 0 1
2.81934 4.0127 99010 -9.99619 -1.92412 216.121 812.58 -13 24 1 0 1
-22.5125 11.5759 99010 -38.2879 -5.73672 218.385 812.382 -13 25 1 0 1
-12.3599 28.597 99010 -43.8427 11.9181 219.168 812.502 -13 26 1 0 1
-12.2511 16.1307 99010 -31.9297 7.3278 220.307 812.501 -13 27 1 0 1
-2.3882 44.7413 99010 -38.5153 15.1208 205.153 812.526 -13 28 1 0 1
-12.3053 21.2258 99010 -40.9138 11.4481 226.19 812.783 -13 29 1 0 1
1.80911 22.0947 99010 -20.6225 11.0012 218.524 812.372 -13 30 1 0 1
