 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:  2
    pzmin/pzmax:   0./  100.
    transverse cuts:   0.  0.
    longitudinal cut:   0.
    RF frequency (MHz):   352.
    sigma cut:   4.
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.3672E-03  0.2064E-02  0.2809E-09  0.1228E+00  0.2072E+00  0.4952E-01  0.5946E-01  0.4909E+00  0.1745E-01  0.4999E+04  0.4999E+04  0.4999E+04  0.3074E-03  0.8684E-02  0.8523E-10  0.1402E+01  0.4335E-08  0.8550E-02 -0.1215E-02 -0.1743E-02 -0.9292E-02  0.1600E-02  0.2655E-02  0.3284E-02
     2  0.7800E+00  0.0000E+00  0.3560E-03  0.2074E-02  0.2634E-09  0.1233E+00  0.2065E+00  0.3573E-01  0.1488E+00  0.4896E+00 -0.1529E-01  0.4932E+04  0.4932E+04  0.4932E+04  0.3719E-03  0.8664E-02  0.8565E-10  0.1318E+01  0.6246E-08  0.8560E-02 -0.1570E-02 -0.1723E-02 -0.9904E-02 -0.1701E-03  0.8335E-02  0.4002E-02
     3  0.1560E+01  0.0000E+00  0.3530E-03  0.2066E-02  0.2614E-09  0.1242E+00  0.2056E+00  0.3831E-01 -0.6769E-01  0.4997E+00 -0.3644E-01  0.4864E+04  0.4864E+04  0.4864E+04  0.2417E-03  0.8542E-02  0.8689E-10  0.1343E+01  0.9537E-08  0.8436E-02 -0.1542E-02 -0.1687E-02 -0.4394E-02 -0.4166E-03 -0.6560E-03  0.3843E-02
     4  0.2340E+01  0.0000E+00  0.3473E-03  0.2061E-02  0.2521E-09  0.1325E+00  0.2044E+00  0.4114E-01  0.1191E-01  0.5109E+00 -0.3613E-01  0.4813E+04  0.4813E+04  0.4813E+04  0.3030E-03  0.8432E-02  0.8810E-10  0.1534E+01  0.9447E-08  0.8297E-02 -0.1252E-02 -0.1744E-02 -0.8437E-02 -0.1185E-02  0.6380E-02  0.3514E-02
     5  0.3120E+01  0.0000E+00  0.3407E-03  0.2068E-02  0.2428E-09  0.1380E+00  0.2028E+00  0.3941E-01  0.1060E-02  0.5176E+00 -0.2766E-01  0.4785E+04  0.4785E+04  0.4785E+04  0.3437E-03  0.8352E-02  0.8948E-10  0.1615E+01  0.1138E-07  0.8209E-02 -0.1372E-02 -0.1723E-02 -0.1039E-01  0.1305E-02  0.6932E-02  0.3724E-02
     6  0.3900E+01  0.0000E+00  0.3359E-03  0.2067E-02  0.2378E-09  0.1463E+00  0.2012E+00  0.4050E-01 -0.6837E-02  0.5201E+00 -0.8604E-02  0.4755E+04  0.4755E+04  0.4755E+04  0.3165E-03  0.8306E-02  0.9020E-10  0.1748E+01  0.1172E-07  0.8139E-02 -0.1359E-02 -0.1745E-02 -0.7658E-02 -0.5980E-04  0.6813E-02  0.3750E-02
     7  0.4680E+01  0.0000E+00  0.3336E-03  0.2063E-02  0.2347E-09  0.1533E+00  0.1997E+00  0.3933E-01  0.2199E-02  0.5150E+00  0.8062E-02  0.4743E+04  0.4743E+04  0.4743E+04  0.3421E-03  0.8327E-02  0.8995E-10  0.1939E+01  0.9707E-08  0.8125E-02 -0.1149E-02 -0.1702E-02 -0.8331E-02 -0.4122E-03  0.8795E-02  0.3204E-02
     8  0.5460E+01  0.0000E+00  0.3323E-03  0.2066E-02  0.2333E-09  0.1599E+00  0.1984E+00  0.3956E-01  0.5755E-03  0.5095E+00  0.1046E-01  0.4726E+04  0.4726E+04  0.4726E+04  0.3793E-03  0.8373E-02  0.8986E-10  0.2112E+01  0.8795E-08  0.8139E-02 -0.1194E-02 -0.1690E-02 -0.8802E-02 -0.9927E-03  0.9570E-02  0.3194E-02
     9  0.6240E+01  0.0000E+00  0.3301E-03  0.2065E-02  0.2308E-09  0.1695E+00  0.1975E+00  0.3913E-01  0.6014E-02  0.5063E+00  0.6441E-02  0.4709E+04  0.4709E+04  0.4709E+04  0.3658E-03  0.8406E-02  0.8965E-10  0.2271E+01  0.6472E-08  0.8135E-02 -0.1227E-02 -0.1719E-02 -0.8555E-02  0.8794E-03  0.9963E-02  0.3290E-02
    10  0.7020E+01  0.0000E+00  0.3289E-03  0.2061E-02  0.2290E-09  0.1778E+00  0.1972E+00  0.3963E-01  0.3482E-01  0.5064E+00 -0.2967E-02  0.4692E+04  0.4692E+04  0.4692E+04  0.3807E-03  0.8392E-02  0.8959E-10  0.2296E+01  0.4471E-08  0.8116E-02 -0.1123E-02 -0.1764E-02 -0.7556E-02  0.6688E-03  0.8870E-02  0.3212E-02
    11  0.7800E+01  0.0000E+00  0.3268E-03  0.2056E-02  0.2236E-09  0.1809E+00  0.1973E+00  0.3830E-01  0.2022E-01  0.5115E+00 -0.1791E-01  0.4662E+04  0.4662E+04  0.4662E+04  0.4200E-03  0.8327E-02  0.8981E-10  0.2219E+01  0.1590E-08  0.8071E-02 -0.1107E-02 -0.1711E-02 -0.9995E-02 -0.1658E-02  0.1136E-01  0.3121E-02
    12  0.8580E+01  0.0000E+00  0.3235E-03  0.2059E-02  0.2193E-09  0.1975E+00  0.1980E+00  0.4017E-01  0.3058E-01  0.5231E+00 -0.2963E-01  0.4649E+04  0.4649E+04  0.4649E+04  0.4478E-03  0.8236E-02  0.9065E-10  0.2087E+01 -0.2071E-09  0.8010E-02 -0.1195E-02 -0.1634E-02 -0.8803E-02  0.7160E-03  0.8506E-02  0.3147E-02
    13  0.9360E+01  0.0000E+00  0.3214E-03  0.2048E-02  0.2140E-09  0.1992E+00  0.1990E+00  0.3989E-01  0.2881E-01  0.5378E+00 -0.3660E-01  0.4631E+04  0.4631E+04  0.4631E+04  0.4185E-03  0.8083E-02  0.9132E-10  0.1830E+01 -0.9919E-09  0.7909E-02 -0.1244E-02 -0.1761E-02 -0.9412E-02  0.1394E-02  0.9375E-02  0.3731E-02
    14  0.1014E+02  0.0000E+00  0.3174E-03  0.2040E-02  0.2080E-09  0.2077E+00  0.2004E+00  0.4091E-01  0.6610E-01  0.5571E+00 -0.3109E-01  0.4616E+04  0.4616E+04  0.4616E+04  0.4665E-03  0.7934E-02  0.9231E-10  0.1657E+01 -0.1351E-08  0.7794E-02 -0.1230E-02 -0.1813E-02 -0.7138E-02 -0.8176E-05  0.7008E-02  0.4005E-02
    15  0.1092E+02  0.0000E+00  0.3141E-03  0.2037E-02  0.2017E-09  0.2138E+00  0.2019E+00  0.3934E-01  0.3514E-01  0.5711E+00 -0.6493E-02  0.4601E+04  0.4601E+04  0.4601E+04  0.4945E-03  0.7834E-02  0.9292E-10  0.1460E+01 -0.1653E-08  0.7727E-02 -0.1325E-02 -0.1617E-02 -0.8707E-02 -0.1548E-03  0.6951E-02  0.3784E-02
    16  0.1170E+02  0.0000E+00  0.3127E-03  0.2033E-02  0.1982E-09  0.2181E+00  0.2034E+00  0.4155E-01  0.1905E-01  0.5723E+00  0.2694E-01  0.4588E+04  0.4588E+04  0.4588E+04  0.4389E-03  0.7848E-02  0.9242E-10  0.1364E+01  0.3379E-09  0.7756E-02 -0.1399E-02 -0.1691E-02 -0.1158E-01 -0.9878E-03  0.8521E-02  0.4209E-02
    17  0.1248E+02  0.0000E+00  0.3096E-03  0.2029E-02  0.1949E-09  0.2270E+00  0.2047E+00  0.4186E-01  0.6410E-01  0.5645E+00  0.5770E-01  0.4574E+04  0.4574E+04  0.4574E+04  0.4915E-03  0.7932E-02  0.9130E-10  0.1322E+01  0.1367E-08  0.7848E-02 -0.1329E-02 -0.1839E-02 -0.8243E-02  0.9251E-04  0.5854E-02  0.4421E-02
    18  0.1326E+02  0.0000E+00  0.3054E-03  0.2033E-02  0.1902E-09  0.2294E+00  0.2056E+00  0.3902E-01  0.7565E-01  0.5447E+00  0.8037E-01  0.4549E+04  0.4549E+04  0.4549E+04  0.5374E-03  0.8092E-02  0.8951E-10  0.1117E+01  0.2889E-08  0.8034E-02 -0.1491E-02 -0.1634E-02 -0.5420E-02  0.5498E-03  0.1545E-02  0.4031E-02
    19  0.1404E+02  0.0000E+00  0.3056E-03  0.2028E-02  0.1885E-09  0.2292E+00  0.2062E+00  0.3892E-01 -0.3313E-01  0.5193E+00  0.8217E-01  0.4535E+04  0.4535E+04  0.4535E+04  0.4315E-03  0.8300E-02  0.8722E-10  0.1191E+01  0.5900E-08  0.8236E-02 -0.1544E-02 -0.1698E-02 -0.1040E-01 -0.5395E-03  0.5945E-02  0.4177E-02
    20  0.1482E+02  0.0000E+00  0.3042E-03  0.2017E-02  0.1869E-09  0.2328E+00  0.2064E+00  0.4344E-01  0.4699E-01  0.4999E+00  0.6234E-01  0.4518E+04  0.4518E+04  0.4518E+04  0.4875E-03  0.8434E-02  0.8544E-10  0.1253E+01  0.8543E-08  0.8366E-02 -0.1328E-02 -0.1846E-02 -0.8898E-02  0.1363E-02  0.2070E-02  0.3946E-02
    21  0.1560E+02  0.0000E+00  0.3023E-03  0.2011E-02  0.1839E-09  0.2307E+00  0.2060E+00  0.3796E-01  0.4501E-01  0.4866E+00  0.3457E-01  0.4504E+04  0.4504E+04  0.4504E+04  0.5501E-03  0.8527E-02  0.8448E-10  0.1415E+01  0.1054E-07  0.8443E-02 -0.1484E-02 -0.1647E-02 -0.9945E-02  0.7789E-03  0.5369E-02  0.3692E-02
