#BLTrackFile VirtualDetector/beamDet
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-8.92751 21.6087 0 -6.86268 43.77 236.081 533.166 -13 7 1 0 1
-1.04722 9.67891 0 -27.7581 11.7057 187.606 533.878 -13 11 1 0 1
-76.0077 18.2448 0 -120.325 -11.144 219.787 532.93 -13 12 1 0 1
-2.67731 7.66528 0 -13.1715 12.7258 253.753 532.642 -13 14 1 0 1
-4.2915 -10.2908 0 0.869506 0.923719 216.256 532.421 -13 15 1 0 1
1.92626 -11.4355 0 27.4016 5.31014 230.773 533.27 -13 17 1 0 1
-29.5464 70.2435 0 -57.1467 8.40087 198.118 533.104 -13 27 1 0 1
29.2553 81.0499 0 -34.1869 52.3675 187.647 533.683 -13 31 1 0 1
28.6494 8.29516 0 23.126 12.3399 189.434 533.207 -13 33 1 0 1
-18.836 41.2413 0 -36.601 23.5174 197.302 533.329 -13 35 1 0 1
22.8809 20.1908 0 50.5408 8.41188 220.229 533.146 -13 36 1 0 1
29.3092 1.13513 0 13.2428 27.4404 212.871 533.22 -13 37 1 0 1
-75.1533 65.959 0 -105.639 8.35849 204.222 533.023 -13 53 1 0 1
26.4562 10.4235 0 22.8019 32.1384 234.207 532.474 -13 57 1 0 1
31.1692 -6.57641 0 24.4744 6.01695 259.838 532.913 -13 59 1 0 1
7.43783 -10.2514 0 16.0094 31.2361 240.692 533.147 -13 85 1 0 1
15.5064 10.8716 0 -3.40436 44.9632 229.565 533.238 -13 86 1 0 1
-18.0675 10.7698 0 -32.2899 3.64807 208.797 532.587 -13 87 1 0 1
-1.13801 -20.1724 0 -4.87614 -17.637 241.898 533.198 -13 88 1 0 1
-2.79798 20.9584 0 2.20497 47.6 242.387 532.602 -13 90 1 0 1
-10.7652 22.0744 0 -19.3187 -17.113 226.299 533.342 -13 103 1 0 1
-13.657 4.51073 0 3.84384 23.7713 257.627 532.652 -13 104 1 0 1
-29.3092 26.0562 0 -51.0978 -14.1617 193.018 532.619 -13 106 1 0 1
-34.7805 -2.90387 0 -22.1633 5.61039 235.221 532.451 -13 107 1 0 1
42.486 52.3696 0 32.842 96.3777 238.508 533.277 -13 114 1 0 1
17.0265 69.5022 0 -15.1946 96.3901 211.632 533.307 -13 116 1 0 1
8.16583 5.88143 0 12.9924 10.3657 251.349 532.669 -13 117 1 0 1
20.4168 3.63574 0 44.6836 33.4123 246.85 533.173 -13 120 1 0 1
-0.229142 3.33726 0 -4.52558 15.6341 234.222 532.449 -13 121 1 0 1
-26.9103 -20.8172 0 -17.4702 -20.1521 214.653 533.641 -13 133 1 0 1
8.63673 -9.24565 0 50.3134 14.1779 252.424 532.681 -13 141 1 0 1
82.3262 -12.8622 0 49.9267 31.4835 204.819 532.447 -13 142 1 0 1
-21.4781 40.8079 0 -48.8046 13.2956 191.147 533.283 -13 144 1 0 1
-66.5252 -17.8189 0 3.24754 -37.2817 127.863 535.398 -13 145 1 0 1
50.1036 20.5528 0 -2.82678 55.5944 210.134 532.616 -13 147 1 0 1
-7.65175 -2.71951 0 -36.1911 -12.6117 243.087 533.141 -13 149 1 0 1
6.96926 30.5762 0 -21.3386 22.6045 213.381 533.278 -13 151 1 0 1
