# ZVals	eperpErr	elongErr	transErr
0.000000e+00	5.062000e+00	9.406000e+00	1.000000e+02
2.200000e+00	4.975000e+00	8.712000e+00	9.763158e+01
4.400000e+00	4.743000e+00	8.835000e+00	9.684211e+01
6.600000e+00	4.668000e+00	8.726000e+00	9.626316e+01
8.800000e+00	4.397000e+00	9.898000e+00	9.463158e+01
1.100000e+01	4.216000e+00	9.002000e+00	9.078947e+01
1.320000e+01	4.008000e+00	8.414000e+00	8.921053e+01
1.540000e+01	3.958000e+00	8.128000e+00	8.842105e+01
1.760000e+01	3.889000e+00	8.394000e+00	8.852632e+01
1.980000e+01	3.794000e+00	8.184000e+00	8.831579e+01
2.200000e+01	3.703000e+00	8.206000e+00	8.821053e+01
2.420000e+01	3.589000e+00	8.114000e+00	8.784211e+01
2.640000e+01	3.526000e+00	8.041000e+00	8.757895e+01
2.860000e+01	3.541000e+00	8.178000e+00	8.736842e+01
3.080000e+01	3.468000e+00	8.624000e+00	8.715789e+01
3.300000e+01	3.282000e+00	8.957000e+00	8.636842e+01
3.520000e+01	3.217000e+00	9.198000e+00	8.547368e+01
3.740000e+01	3.118000e+00	9.205000e+00	8.415789e+01
3.960000e+01	3.049000e+00	8.877000e+00	8.289474e+01
4.180000e+01	2.910000e+00	8.328000e+00	8.205263e+01
4.400000e+01	2.848000e+00	8.013000e+00	8.163158e+01
4.620000e+01	2.815000e+00	8.034000e+00	8.142105e+01
4.840000e+01	2.781000e+00	7.959000e+00	8.147368e+01
5.060000e+01	2.712000e+00	7.933000e+00	8.131579e+01
5.280000e+01	2.663000e+00	8.050000e+00	8.115789e+01
5.500000e+01	2.663000e+00	8.178000e+00	8.068421e+01
5.720000e+01	2.579000e+00	8.250000e+00	8.010526e+01
5.940000e+01	2.530000e+00	8.683000e+00	7.952632e+01
6.160000e+01	2.478000e+00	9.098000e+00	7.852632e+01
6.380000e+01	2.441000e+00	8.370000e+00	7.626316e+01
6.600000e+01	2.356000e+00	7.976000e+00	7.494737e+01
