 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:  2
    pzmin/pzmax:   0./  100.
    transverse cuts:   0.  0.
    longitudinal cut:   0.
    RF frequency (MHz):   352.
    sigma cut:   4.
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.5129E-02  0.9991E-02  0.2625E-06 -0.2337E-01  0.2082E+00  0.3786E+00  0.6568E-02  0.8610E+00  0.2623E+00  0.5360E+05  0.5360E+05  0.5360E+05 -0.3268E-03  0.1475E-01  0.2472E-09  0.5335E-01 -0.5487E-09  0.1473E-01 -0.6569E-02 -0.1108E-01 -0.6317E-02 -0.1769E-02 -0.8379E-02  0.4140E-01
     2  0.2200E+01  0.0000E+00  0.5163E-02  0.1029E-01  0.2774E-06 -0.2298E-01  0.2079E+00  0.3559E+00  0.1399E+00  0.6308E+00  0.1009E+00  0.5323E+05  0.5323E+05  0.5323E+05 -0.1429E-02  0.1696E-01  0.2209E-09  0.1713E-01  0.4038E-08  0.1696E-01 -0.7835E-02 -0.7961E-02 -0.4327E-01  0.3138E-02  0.6392E-01  0.2968E-01
     3  0.4400E+01  0.0000E+00  0.5001E-02  0.1087E-01  0.2908E-06 -0.1893E-01  0.2108E+00  0.3658E+00  0.1549E+00  0.7511E+00 -0.2997E+00  0.5291E+05  0.5291E+05  0.5291E+05 -0.1470E-02  0.1681E-01  0.2564E-09  0.9884E-01  0.7084E-08  0.1675E-01 -0.3946E-02 -0.1167E-01 -0.5209E-01  0.1087E-01  0.5842E-01  0.3593E-01
     4  0.6600E+01  0.0000E+00  0.4778E-02  0.1072E-01  0.2676E-06 -0.3222E-01  0.2142E+00  0.3904E+00  0.1817E+00  0.1147E+01 -0.4820E+00  0.5221E+05  0.5221E+05  0.5221E+05 -0.7627E-03  0.1476E-01  0.3062E-09  0.2360E+00  0.8207E-08  0.1448E-01 -0.7727E-02 -0.1001E-01 -0.1046E+00  0.2767E-01  0.6354E-01  0.4914E-01
     5  0.8800E+01  0.0000E+00  0.4536E-02  0.1038E-01  0.2388E-06 -0.3141E-01  0.2167E+00  0.3826E+00  0.1824E+00  0.1378E+01 -0.2804E+00  0.5111E+05  0.5111E+05  0.5111E+05 -0.1148E-02  0.1302E-01  0.3199E-09  0.3859E+00  0.6968E-08  0.1226E-01 -0.7695E-02 -0.8675E-02  0.8018E-03 -0.2723E-01  0.1041E+00  0.5597E-01
     6  0.1100E+02  0.0000E+00  0.4379E-02  0.1056E-01  0.2175E-06 -0.3225E-01  0.2180E+00  0.3859E+00  0.1696E+00  0.1187E+01  0.1093E+00  0.5008E+05  0.5008E+05  0.5008E+05 -0.1255E-02  0.1401E-01  0.2938E-09  0.4750E+00  0.4750E-08  0.1296E-01 -0.9469E-02 -0.1128E-01 -0.8334E-01  0.2605E-01  0.1019E+00  0.7477E-01
     7  0.1320E+02  0.0000E+00  0.4207E-02  0.1046E-01  0.1955E-06 -0.3413E-01  0.2184E+00  0.3913E+00  0.1896E+00  0.8601E+00  0.2411E+00  0.4922E+05  0.4922E+05  0.4922E+05 -0.1119E-02  0.1657E-01  0.2465E-09  0.5228E+00  0.2793E-08  0.1551E-01 -0.7009E-02 -0.9612E-02 -0.3958E-01 -0.1026E-01  0.7322E-01  0.3723E-01
     8  0.1540E+02  0.0000E+00  0.4130E-02  0.1014E-01  0.1795E-06 -0.3500E-01  0.2179E+00  0.3806E+00  0.1960E+00  0.6578E+00  0.5917E-01  0.4874E+05  0.4874E+05  0.4874E+05 -0.1170E-02  0.1792E-01  0.2116E-09  0.5044E+00  0.1633E-08  0.1699E-01 -0.8569E-02 -0.9272E-02 -0.7442E-01  0.7552E-02  0.7594E-01  0.3631E-01
     9  0.1760E+02  0.0000E+00  0.4022E-02  0.1026E-01  0.1739E-06 -0.3539E-01  0.2166E+00  0.3785E+00  0.1549E+00  0.7348E+00 -0.1543E+00  0.4867E+05  0.4867E+05  0.4867E+05 -0.1314E-02  0.1718E-01  0.2253E-09  0.4884E+00  0.8599E-09  0.1626E-01 -0.7537E-02 -0.1131E-01 -0.3618E-01  0.3456E-02  0.6552E-01  0.4268E-01
    10  0.1980E+02  0.0000E+00  0.3962E-02  0.1002E-01  0.1646E-06 -0.3844E-01  0.2144E+00  0.3871E+00  0.1711E+00  0.9116E+00 -0.1342E+00  0.4853E+05  0.4853E+05  0.4853E+05 -0.1142E-02  0.1523E-01  0.2495E-09  0.4626E+00  0.3802E-09  0.1428E-01 -0.6645E-02 -0.8522E-02 -0.8684E-01  0.1415E-01  0.7062E-01  0.3604E-01
