 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    352.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.5129E-02  0.9991E-02  0.2625E-06 -0.2335E-01  0.2082E+00  0.3786E+00  0.6569E-02  0.8610E+00  0.2623E+00  0.5360E+05  0.5360E+05  0.5360E+05 -0.3531E-03  0.1474E-01  0.2472E-09  0.5334E-01 -0.5487E-09  0.1473E-01 -0.6301E-02 -0.1038E-01 -0.6337E-02 -0.1776E-02 -0.8418E-02  0.3671E-01
     2  0.2300E+01  0.0000E+00  0.5146E-02  0.1031E-01  0.2765E-06 -0.2334E-01  0.2068E+00  0.3634E+00  0.1088E+00  0.6153E+00  0.9178E-01  0.5325E+05  0.5325E+05  0.5325E+05 -0.1341E-02  0.1711E-01  0.2195E-09  0.2703E-01  0.4082E-08  0.1711E-01 -0.8016E-02 -0.7267E-02 -0.4147E-01  0.1680E-02  0.6090E-01  0.2736E-01
     3  0.4600E+01  0.0000E+00  0.5009E-02  0.1098E-01  0.2961E-06 -0.1592E-01  0.2084E+00  0.3701E+00  0.1432E+00  0.7634E+00 -0.3206E+00  0.5300E+05  0.5300E+05  0.5300E+05 -0.1447E-02  0.1672E-01  0.2621E-09  0.1019E+00  0.7099E-08  0.1667E-01 -0.3796E-02 -0.1096E-01 -0.4388E-01  0.1001E-01  0.6233E-01  0.3266E-01
     4  0.6900E+01  0.0000E+00  0.4764E-02  0.1073E-01  0.2655E-06 -0.2921E-01  0.2108E+00  0.3923E+00  0.1736E+00  0.1188E+01 -0.4402E+00  0.5221E+05  0.5221E+05  0.5221E+05 -0.8128E-03  0.1422E-01  0.3129E-09  0.2620E+00  0.7766E-08  0.1386E-01 -0.6746E-02 -0.9674E-02 -0.1104E+00  0.3146E-01  0.7247E-01  0.4626E-01
     5  0.9200E+01  0.0000E+00  0.4520E-02  0.1051E-01  0.2369E-06 -0.2693E-01  0.2126E+00  0.3845E+00  0.1572E+00  0.1330E+01 -0.1489E+00  0.5119E+05  0.5119E+05  0.5119E+05 -0.9366E-03  0.1296E-01  0.3183E-09  0.4184E+00  0.6189E-08  0.1207E-01 -0.6954E-02 -0.7927E-02 -0.4577E-02 -0.2449E-01  0.1097E+00  0.4747E-01
     6  0.1150E+02  0.0000E+00  0.4379E-02  0.1059E-01  0.2153E-06 -0.2536E-01  0.2139E+00  0.3928E+00  0.1510E+00  0.1071E+01  0.1787E+00  0.5019E+05  0.5019E+05  0.5019E+05 -0.1094E-02  0.1464E-01  0.2816E-09  0.4729E+00  0.3684E-08  0.1362E-01 -0.8700E-02 -0.1040E-01 -0.8302E-01  0.2371E-01  0.9388E-01  0.5794E-01
     7  0.1380E+02  0.0000E+00  0.4207E-02  0.1039E-01  0.1919E-06 -0.2682E-01  0.2150E+00  0.3930E+00  0.1826E+00  0.7756E+00  0.1681E+00  0.4943E+05  0.4943E+05  0.4943E+05 -0.9363E-03  0.1679E-01  0.2347E-09  0.4872E+00  0.1715E-08  0.1588E-01 -0.6340E-02 -0.9408E-02 -0.4046E-01 -0.5194E-02  0.7374E-01  0.3306E-01
     8  0.1610E+02  0.0000E+00  0.4141E-02  0.1013E-01  0.1791E-06 -0.2988E-01  0.2157E+00  0.3927E+00  0.1654E+00  0.7035E+00 -0.6162E-01  0.4909E+05  0.4909E+05  0.4909E+05 -0.9570E-03  0.1709E-01  0.2197E-09  0.4516E+00  0.8938E-09  0.1630E-01 -0.8174E-02 -0.8432E-02 -0.8081E-01  0.7009E-02  0.7928E-01  0.3501E-01
     9  0.1840E+02  0.0000E+00  0.4015E-02  0.1017E-01  0.1703E-06 -0.2682E-01  0.2150E+00  0.3959E+00  0.1565E+00  0.8443E+00 -0.1657E+00  0.4893E+05  0.4893E+05  0.4893E+05 -0.1013E-02  0.1574E-01  0.2415E-09  0.4113E+00  0.3785E-09  0.1505E-01 -0.7353E-02 -0.1047E-01 -0.2668E-01 -0.8214E-03  0.6465E-01  0.4418E-01
    10  0.2070E+02  0.0000E+00  0.3931E-02  0.9863E-02  0.1568E-06 -0.3021E-01  0.2127E+00  0.3892E+00  0.1835E+00  0.9491E+00 -0.2542E-01  0.4875E+05  0.4875E+05  0.4875E+05 -0.9495E-03  0.1434E-01  0.2541E-09  0.3785E+00  0.4292E-09  0.1369E-01 -0.6884E-02 -0.8260E-02 -0.8609E-01  0.2309E-01  0.6447E-01  0.3835E-01
    11  0.2300E+02  0.0000E+00  0.3818E-02  0.9691E-02  0.1448E-06 -0.2688E-01  0.2099E+00  0.3583E+00  0.1409E+00  0.8524E+00  0.1717E+00  0.4855E+05  0.4855E+05  0.4855E+05 -0.8827E-03  0.1491E-01  0.2410E-09  0.3546E+00  0.8190E-09  0.1439E-01 -0.6196E-02 -0.9937E-02 -0.4188E-01 -0.7833E-02  0.6634E-01  0.4004E-01
    12  0.2530E+02  0.0000E+00  0.3748E-02  0.9579E-02  0.1354E-06 -0.2533E-01  0.2084E+00  0.3698E+00  0.1024E+00  0.6641E+00  0.1014E+00  0.4831E+05  0.4831E+05  0.4831E+05 -0.8845E-03  0.1637E-01  0.2126E-09  0.3207E+00  0.8977E-09  0.1598E-01 -0.6687E-02 -0.8851E-02 -0.7303E-01  0.9961E-02  0.5184E-01  0.3008E-01
    13  0.2760E+02  0.0000E+00  0.3647E-02  0.9602E-02  0.1294E-06 -0.2263E-01  0.2086E+00  0.3796E+00  0.1486E+00  0.7057E+00 -0.1662E+00  0.4816E+05  0.4816E+05  0.4816E+05 -0.8564E-03  0.1599E-01  0.2198E-09  0.2996E+00  0.1654E-08  0.1566E-01 -0.4908E-02 -0.9355E-02 -0.4559E-01 -0.7012E-02  0.5848E-01  0.2893E-01
    14  0.2990E+02  0.0000E+00  0.3579E-02  0.9604E-02  0.1258E-06 -0.2314E-01  0.2095E+00  0.3773E+00  0.1573E+00  0.9419E+00 -0.2326E+00  0.4803E+05  0.4803E+05  0.4803E+05 -0.6341E-03  0.1414E-01  0.2539E-09  0.2911E+00  0.2537E-08  0.1377E-01 -0.7383E-02 -0.9209E-02 -0.7106E-01  0.3104E-01  0.6945E-01  0.4468E-01
    15  0.3220E+02  0.0000E+00  0.3475E-02  0.9807E-02  0.1224E-06 -0.2408E-01  0.2104E+00  0.3858E+00  0.1474E+00  0.1054E+01 -0.4281E-01  0.4773E+05  0.4773E+05  0.4773E+05 -0.9227E-03  0.1336E-01  0.2707E-09  0.3366E+00  0.3014E-08  0.1287E-01 -0.6267E-02 -0.9835E-02 -0.5559E-01 -0.1008E-01  0.7502E-01  0.4911E-01
    16  0.3450E+02  0.0000E+00  0.3386E-02  0.9941E-02  0.1169E-06 -0.1807E-01  0.2113E+00  0.3871E+00  0.1682E+00  0.9161E+00  0.1140E+00  0.4730E+05  0.4730E+05  0.4730E+05 -0.3746E-03  0.1450E-01  0.2533E-09  0.3563E+00  0.2716E-08  0.1401E-01 -0.6698E-02 -0.8475E-02 -0.6211E-01  0.1224E-01  0.6853E-01  0.3697E-01
    17  0.3680E+02  0.0000E+00  0.3305E-02  0.9925E-02  0.1103E-06 -0.2071E-01  0.2122E+00  0.3828E+00  0.1749E+00  0.7728E+00  0.5380E-01  0.4693E+05  0.4693E+05  0.4693E+05 -0.7837E-03  0.1566E-01  0.2317E-09  0.3601E+00  0.2467E-08  0.1521E-01 -0.8008E-02 -0.1012E-01 -0.5789E-01 -0.1847E-02  0.5861E-01  0.4352E-01
    18  0.3910E+02  0.0000E+00  0.3219E-02  0.9731E-02  0.1030E-06 -0.1405E-01  0.2127E+00  0.3784E+00  0.1861E+00  0.7798E+00 -0.8147E-01  0.4664E+05  0.4664E+05  0.4664E+05 -0.4390E-03  0.1553E-01  0.2299E-09  0.3743E+00  0.2344E-08  0.1505E-01 -0.6151E-02 -0.8896E-02 -0.6643E-01  0.1608E-01  0.4641E-01  0.3187E-01
    19  0.4140E+02  0.0000E+00  0.3142E-02  0.9572E-02  0.9752E-07 -0.1973E-01  0.2123E+00  0.3668E+00  0.1510E+00  0.8780E+00 -0.8859E-01  0.4645E+05  0.4645E+05  0.4645E+05 -0.4396E-03  0.1462E-01  0.2422E-09  0.3976E+00  0.2364E-08  0.1405E-01 -0.7374E-02 -0.9449E-02 -0.5599E-01 -0.7538E-02  0.5587E-01  0.4306E-01
    20  0.4370E+02  0.0000E+00  0.3068E-02  0.9419E-02  0.9164E-07 -0.9914E-02  0.2110E+00  0.3704E+00  0.1124E+00  0.8783E+00  0.4818E-01  0.4622E+05  0.4622E+05  0.4622E+05 -0.3943E-03  0.1446E-01  0.2409E-09  0.4183E+00  0.1995E-08  0.1384E-01 -0.7435E-02 -0.8998E-02 -0.5901E-01  0.1069E-01  0.5494E-01  0.4133E-01
    21  0.4600E+02  0.0000E+00  0.3007E-02  0.9274E-02  0.8577E-07 -0.1081E-01  0.2095E+00  0.3783E+00  0.1251E+00  0.7606E+00  0.1043E+00  0.4595E+05  0.4595E+05  0.4595E+05 -0.4547E-03  0.1533E-01  0.2232E-09  0.4219E+00  0.1274E-08  0.1475E-01 -0.5470E-02 -0.9495E-02 -0.5855E-01 -0.4711E-02  0.5363E-01  0.3287E-01
    22  0.4830E+02  0.0000E+00  0.2948E-02  0.9189E-02  0.8091E-07 -0.3037E-02  0.2087E+00  0.3712E+00  0.1413E+00  0.6973E+00 -0.1521E-01  0.4577E+05  0.4577E+05  0.4577E+05 -0.5008E-04  0.1569E-01  0.2132E-09  0.3937E+00  0.1082E-08  0.1521E-01 -0.6784E-02 -0.8979E-02 -0.6398E-01  0.1165E-01  0.5580E-01  0.3289E-01
    23  0.5060E+02  0.0000E+00  0.2881E-02  0.9085E-02  0.7683E-07 -0.5960E-02  0.2086E+00  0.3701E+00  0.1269E+00  0.7840E+00 -0.1206E+00  0.4565E+05  0.4565E+05  0.4565E+05 -0.4404E-03  0.1480E-01  0.2249E-09  0.3737E+00  0.1194E-08  0.1436E-01 -0.6192E-02 -0.9433E-02 -0.5443E-01  0.8173E-03  0.5563E-01  0.3659E-01
    24  0.5290E+02  0.0000E+00  0.2833E-02  0.9144E-02  0.7495E-07 -0.6803E-03  0.2088E+00  0.3745E+00  0.1371E+00  0.8926E+00 -0.6453E-01  0.4553E+05  0.4553E+05  0.4553E+05 -0.4776E-04  0.1388E-01  0.2407E-09  0.3647E+00  0.1463E-08  0.1344E-01 -0.5914E-02 -0.9240E-02 -0.5854E-01  0.1193E-01  0.5727E-01  0.3909E-01
    25  0.5520E+02  0.0000E+00  0.2786E-02  0.9293E-02  0.7308E-07 -0.4271E-02  0.2093E+00  0.3747E+00  0.1381E+00  0.8802E+00  0.4405E-01  0.4535E+05  0.4535E+05  0.4535E+05 -0.2192E-03  0.1405E-01  0.2406E-09  0.3591E+00  0.1671E-08  0.1365E-01 -0.7297E-02 -0.9235E-02 -0.6237E-01  0.8276E-02  0.5834E-01  0.4349E-01
    26  0.5750E+02  0.0000E+00  0.2725E-02  0.9387E-02  0.7033E-07  0.3807E-02  0.2100E+00  0.3752E+00  0.1470E+00  0.8000E+00  0.4173E-01  0.4514E+05  0.4514E+05  0.4514E+05 -0.1479E-03  0.1478E-01  0.2301E-09  0.3529E+00  0.1785E-08  0.1443E-01 -0.6090E-02 -0.9483E-02 -0.6460E-01  0.1071E-02  0.5083E-01  0.3644E-01
    27  0.5980E+02  0.0000E+00  0.2673E-02  0.9359E-02  0.6752E-07  0.6499E-03  0.2108E+00  0.3714E+00  0.1290E+00  0.7851E+00 -0.4312E-01  0.4493E+05  0.4493E+05  0.4493E+05  0.6865E-04  0.1491E-01  0.2271E-09  0.3452E+00  0.1872E-08  0.1458E-01 -0.6830E-02 -0.9061E-02 -0.5894E-01  0.1361E-03  0.4954E-01  0.3648E-01
    28  0.6210E+02  0.0000E+00  0.2627E-02  0.9234E-02  0.6456E-07  0.6842E-02  0.2111E+00  0.3802E+00  0.1133E+00  0.8398E+00 -0.7252E-01  0.4471E+05  0.4471E+05  0.4471E+05 -0.8925E-04  0.1439E-01  0.2332E-09  0.3551E+00  0.2216E-08  0.1404E-01 -0.7546E-02 -0.9110E-02 -0.6192E-01  0.5910E-02  0.5153E-01  0.4195E-01
    29  0.6440E+02  0.0000E+00  0.2580E-02  0.9099E-02  0.6178E-07  0.4358E-02  0.2106E+00  0.3821E+00  0.1303E+00  0.8612E+00  0.5377E-02  0.4448E+05  0.4448E+05  0.4448E+05 -0.6438E-04  0.1411E-01  0.2348E-09  0.3796E+00  0.2249E-08  0.1371E-01 -0.6031E-02 -0.9808E-02 -0.5269E-01  0.9790E-02  0.4899E-01  0.4128E-01
    30  0.6670E+02  0.0000E+00  0.2545E-02  0.9054E-02  0.5938E-07  0.8021E-02  0.2097E+00  0.3756E+00  0.1370E+00  0.7975E+00  0.7135E-01  0.4428E+05  0.4428E+05  0.4428E+05  0.1675E-03  0.1463E-01  0.2262E-09  0.4049E+00  0.2239E-08  0.1420E-01 -0.7207E-02 -0.8816E-02 -0.6555E-01  0.4518E-02  0.5722E-01  0.3804E-01
    31  0.6900E+02  0.0000E+00  0.2492E-02  0.8975E-02  0.5650E-07  0.7420E-02  0.2088E+00  0.3692E+00  0.1229E+00  0.7297E+00  0.2344E-01  0.4408E+05  0.4408E+05  0.4408E+05 -0.1610E-03  0.1514E-01  0.2159E-09  0.4195E+00  0.1986E-08  0.1470E-01 -0.6128E-02 -0.9284E-02 -0.5858E-01 -0.3644E-02  0.5303E-01  0.3387E-01
