 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:  2
    pzmin/pzmax:   0./  100.
    transverse cuts:   0.  0.
    longitudinal cut:   0.
    RF frequency (MHz):   352.
    sigma cut:   4.
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.5062E-02  0.9406E-02  0.2405E-06  0.4064E-01  0.2061E+00  0.3986E+00  0.4173E-01  0.8077E+00  0.2171E+00  0.1900E+04  0.1900E+04  0.1900E+04  0.2035E-02  0.1453E-01  0.2344E-09  0.7335E-01 -0.1369E-08  0.1450E-01 -0.6304E-02 -0.9226E-02 -0.2123E-01 -0.3503E-02  0.5479E-02  0.3206E-01
     2  0.2200E+01  0.0000E+00  0.4983E-02  0.8733E-02  0.2169E-06  0.4536E-01  0.2057E+00  0.3364E+00  0.1943E+00  0.5919E+00  0.9086E-01  0.1855E+04  0.1855E+04  0.1855E+04  0.8477E-03  0.1600E-01  0.1962E-09  0.4336E-01  0.2901E-08  0.1599E-01 -0.6232E-02 -0.7401E-02 -0.4208E-01  0.2137E-01  0.5561E-01  0.2527E-01
     3  0.4400E+01  0.0000E+00  0.4744E-02  0.8774E-02  0.2062E-06  0.5421E-01  0.2094E+00  0.3567E+00  0.1197E+00  0.7579E+00 -0.3436E+00  0.1838E+04  0.1838E+04  0.1838E+04  0.1193E-02  0.1517E-01  0.2275E-09  0.1226E+00  0.6178E-08  0.1511E-01 -0.4875E-02 -0.1335E-01 -0.3371E-01  0.1654E-01  0.4536E-01  0.5280E-01
     4  0.6600E+01  0.0000E+00  0.4681E-02  0.8537E-02  0.2002E-06  0.3394E-01  0.2137E+00  0.4127E+00  0.1481E+00  0.1247E+01 -0.5325E+00  0.1824E+04  0.1824E+04  0.1824E+04  0.1390E-02  0.1284E-01  0.2868E-09  0.2106E+00  0.8665E-08  0.1262E-01 -0.7579E-02 -0.8885E-02 -0.1266E+00  0.6736E-01  0.5475E-01  0.5338E-01
     5  0.8800E+01  0.0000E+00  0.4454E-02  0.9893E-02  0.2057E-06  0.4696E-01  0.2167E+00  0.4131E+00  0.2335E+00  0.1420E+01 -0.2780E+00  0.1798E+04  0.1798E+04  0.1798E+04  0.1295E-02  0.1216E-01  0.3182E-09  0.2882E+00  0.8028E-08  0.1179E-01 -0.6563E-02 -0.8902E-02 -0.1512E-01 -0.9603E-01  0.9804E-01  0.5772E-01
     6  0.1100E+02  0.0000E+00  0.4262E-02  0.8964E-02  0.1660E-06  0.6816E-01  0.2191E+00  0.3783E+00  0.2697E+00  0.1079E+01  0.1649E+00  0.1722E+04  0.1722E+04  0.1722E+04  0.2135E-02  0.1356E-01  0.2579E-09  0.4575E+00  0.4814E-08  0.1266E-01 -0.1018E-01 -0.1005E-01 -0.1157E+00  0.6695E-01  0.9346E-01  0.7503E-01
     7  0.1320E+02  0.0000E+00  0.4071E-02  0.8491E-02  0.1462E-06  0.5816E-01  0.2199E+00  0.3524E+00  0.1545E+00  0.7636E+00  0.2410E+00  0.1695E+04  0.1695E+04  0.1695E+04  0.1355E-02  0.1574E-01  0.2092E-09  0.4934E+00  0.3228E-08  0.1490E-01 -0.6744E-02 -0.1116E-01  0.2757E-01 -0.1487E-02  0.4811E-01  0.4517E-01
     8  0.1540E+02  0.0000E+00  0.4064E-02  0.8332E-02  0.1363E-06  0.6301E-01  0.2192E+00  0.3757E+00  0.1702E+00  0.6439E+00  0.2684E-01  0.1684E+04  0.1684E+04  0.1684E+04  0.2045E-02  0.1653E-01  0.1895E-09  0.5129E+00  0.2049E-08  0.1560E-01 -0.1057E-01 -0.7957E-02 -0.1234E+00 -0.2616E-01  0.7279E-01  0.4466E-01
     9  0.1760E+02  0.0000E+00  0.3966E-02  0.8932E-02  0.1457E-06  0.5633E-01  0.2169E+00  0.3649E+00  0.1037E+00  0.7338E+00 -0.1644E+00  0.1694E+04  0.1694E+04  0.1694E+04  0.7817E-03  0.1619E-01  0.2111E-09  0.5259E+00  0.2375E-08  0.1522E-01 -0.4913E-02 -0.1033E-01 -0.2670E-01  0.1350E-01  0.5713E-01  0.3432E-01
    10  0.1980E+02  0.0000E+00  0.3864E-02  0.8553E-02  0.1355E-06  0.4188E-01  0.2134E+00  0.3848E+00  0.1266E+00  0.8712E+00 -0.8872E-01  0.1690E+04  0.1690E+04  0.1690E+04  0.1826E-02  0.1451E-01  0.2264E-09  0.5286E+00  0.1086E-08  0.1338E-01 -0.7932E-02 -0.1067E-01 -0.5577E-01  0.4650E-01  0.4060E-01  0.5217E-01
    11  0.2200E+02  0.0000E+00  0.3783E-02  0.8428E-02  0.1269E-06  0.2982E-01  0.2098E+00  0.3510E+00  0.1799E+00  0.8824E+00  0.1244E+00  0.1686E+04  0.1686E+04  0.1686E+04  0.2091E-03  0.1412E-01  0.2286E-09  0.5048E+00  0.2698E-09  0.1310E-01 -0.7759E-02 -0.8890E-02 -0.4544E-01 -0.1302E-01  0.8328E-01  0.4569E-01
    12  0.2420E+02  0.0000E+00  0.3733E-02  0.8507E-02  0.1204E-06  0.4620E-01  0.2083E+00  0.3378E+00  0.8759E-01  0.6984E+00  0.1584E+00  0.1682E+04  0.1682E+04  0.1682E+04  0.8193E-03  0.1543E-01  0.2054E-09  0.3957E+00  0.4864E-09  0.1478E-01 -0.2664E-02 -0.9491E-02 -0.8618E-01  0.2473E-02  0.6385E-01  0.2773E-01
    13  0.2640E+02  0.0000E+00  0.3642E-02  0.8471E-02  0.1134E-06  0.3703E-01  0.2093E+00  0.3738E+00  0.8280E-01  0.6535E+00 -0.8355E-01  0.1676E+04  0.1676E+04  0.1676E+04  0.1314E-02  0.1568E-01  0.1976E-09  0.3640E+00  0.3028E-09  0.1517E-01 -0.7331E-02 -0.1074E-01 -0.5452E-01  0.1766E-01  0.4520E-01  0.4228E-01
    14  0.2860E+02  0.0000E+00  0.3524E-02  0.8310E-02  0.1044E-06  0.3248E-01  0.2118E+00  0.3803E+00  0.1820E+00  0.8536E+00 -0.2532E+00  0.1671E+04  0.1671E+04  0.1671E+04  0.4101E-03  0.1393E-01  0.2220E-09  0.2808E+00  0.1018E-08  0.1362E-01 -0.7736E-02 -0.9180E-02 -0.1621E-01  0.2277E-01  0.5872E-01  0.4661E-01
    15  0.3080E+02  0.0000E+00  0.3447E-02  0.8484E-02  0.9927E-07  0.2966E-01  0.2141E+00  0.3834E+00  0.1912E+00  0.1086E+01 -0.1303E+00  0.1667E+04  0.1667E+04  0.1667E+04  0.4862E-03  0.1240E-01  0.2513E-09  0.2948E+00  0.1601E-08  0.1202E-01 -0.5831E-02 -0.1066E-01 -0.1302E+00 -0.5039E-01  0.8699E-01  0.6305E-01
    16  0.3300E+02  0.0000E+00  0.3347E-02  0.8906E-02  0.9825E-07  0.3536E-01  0.2158E+00  0.3808E+00  0.1463E+00  0.1009E+01  0.8144E-01  0.1660E+04  0.1660E+04  0.1660E+04  0.1041E-02  0.1318E-01  0.2483E-09  0.3153E+00  0.2977E-08  0.1278E-01 -0.8145E-02 -0.8393E-02 -0.6284E-01  0.5245E-01  0.5552E-01  0.5099E-01
    17  0.3520E+02  0.0000E+00  0.3238E-02  0.8884E-02  0.9558E-07  0.2288E-01  0.2167E+00  0.3864E+00  0.1437E+00  0.8237E+00  0.1555E+00  0.1648E+04  0.1648E+04  0.1648E+04  0.1742E-03  0.1472E-01  0.2241E-09  0.3489E+00  0.3230E-08  0.1429E-01 -0.8732E-02 -0.1171E-01 -0.7064E-02 -0.2031E-01  0.4765E-01  0.6232E-01
