#BLTrackFile VirtualDetector/beamDet
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-23.7879 106.884 68870 -35.0462 47.1938 276.811 214.55 -13 2 1 0 3.89519
-70.8908 125.867 68870 30.1918 36.7737 595.692 209.216 -13 11 1 0 3.46038
19.2366 10.7556 68870 14.2641 -15.6785 261.394 214.425 -13 14 1 0 1.65292e-05
-178.792 -0.406515 68870 -42.5042 2.54949 228.948 261.297 -13 16 1 0 5.55709
-70.8474 -8.01344 68870 -25.5878 -6.05585 218.687 270.472 -13 17 1 0 3.08083
-122.449 47.0655 68870 -41.6786 3.67552 216.49 400.651 -13 22 1 0 0.97873
8.56311 -13.0478 68870 30.4225 53.9725 533.104 209.019 -13 43 1 0 4.34222e-05
-147.396 -46.9388 68870 -47.7284 -21.3841 223.913 304.063 -13 44 1 0 6.8029
-18.7837 -19.8106 68870 -22.0811 -10.5434 237.139 335.48 -13 48 1 0 6.20948
-64.689 74.8195 68870 -31.1577 13.8188 230.37 247.707 -13 51 1 0 7.83605
216.078 -176.199 68870 35.9485 -28.0224 180.83 230.184 -13 53 1 0 5.15724e-05
-1.61048 114.154 68870 -18.4372 24.8113 236.284 247.744 -13 57 1 0 5.5667
80.7045 148.259 68870 6.4897 41.426 194.008 256.227 -13 59 1 0 8.43137
66.7682 86.4698 68870 42.8774 8.29349 381.725 215.297 -13 66 1 0 0.617262
61.1584 -128.548 68870 2.57351 -42.0418 427.678 218.985 -13 70 1 0 6.10568e-05
185.475 32.1554 68870 30.4134 22.8543 220.558 273.582 -13 71 1 0 1.47212
31.9632 28.8724 68870 4.66856 11.6425 243.568 307.107 -13 82 1 0 3.6536e-07
-36.4574 43.9907 68870 -8.87626 5.80394 220.477 377.742 -13 92 1 0 1.46342e-06
8.14913 54.87 68870 -9.87534 27.2483 238.839 309.863 -13 99 1 0 5.77539
157.532 1.85578 68870 40.5758 6.61673 210.513 437.715 -13 100 1 0 5.59408
76.9524 -83.7259 68870 62.4032 -14.3241 354.873 213.609 -13 123 1 0 5.4579
-13.5568 14.7567 68870 -29.4286 60.7791 372.494 212.442 -13 130 1 0 6.22493
-7.83091 -185.451 68870 1.59211 -15.5337 138.57 219.479 -13 133 1 0 4.78776
64.8466 -25.7292 68870 2.07566 0.159433 309.613 214.939 -13 158 1 0 3.16736
-45.0775 -67.8456 68870 -15.429 -1.60918 256.914 292.589 -13 162 1 0 1.09733
49.1587 161.023 68870 8.53692 60.7732 240.417 281.652 -13 164 1 0 9.75465
