# ZVals	eperpErrAvg	eperpNoErr	eperpErrB	elongErrAvg	elongNoErr	elongErrB	transErrAvg	transNoErr	transErrB
0.000000e+00	2.274000e+00	2.274000e+00	0.000000e+00	8.566000e+00	8.566000e+00	0.000000e+00	1.000000e+02	1.000000e+02	0.000000e+00
1.800000e+00	2.417500e+00	2.418000e+00	1.060660e-03	8.944000e+00	9.073000e+00	1.025305e-01	9.975000e+01	1.000000e+02	1.767767e-01
3.600000e+00	2.345000e+00	2.348000e+00	7.778175e-03	9.614500e+00	9.562000e+00	2.227386e-02	9.950000e+01	9.950000e+01	0.000000e+00
5.400000e+00	2.580500e+00	2.571000e+00	3.181981e-03	1.080000e+01	1.064000e+01	6.363961e-02	9.850000e+01	9.850000e+01	0.000000e+00
7.200000e+00	2.507000e+00	2.498000e+00	7.071068e-03	1.315000e+01	1.248000e+01	1.697056e-01	9.775000e+01	9.750000e+01	1.767767e-01
9.000000e+00	2.581000e+00	2.535000e+00	1.202082e-02	9.267000e+00	1.099000e+01	1.131371e-02	9.150000e+01	9.400000e+01	0.000000e+00
1.080000e+01	2.566000e+00	2.469000e+00	3.889087e-02	1.075500e+01	9.141000e+00	2.474874e-02	9.300000e+01	9.150000e+01	0.000000e+00
1.260000e+01	2.540500e+00	2.603000e+00	4.348707e-02	9.870500e+00	9.107000e+00	1.834942e-01	9.150000e+01	9.150000e+01	3.535534e-01
1.440000e+01	2.585500e+00	2.660000e+00	1.732412e-02	1.038000e+01	9.608000e+00	1.414214e-02	9.125000e+01	9.100000e+01	1.767767e-01
1.620000e+01	2.650000e+00	2.767000e+00	1.484924e-02	1.151500e+01	9.456000e+00	8.732769e-01	9.200000e+01	9.050000e+01	1.060660e+00
1.800000e+01	2.639500e+00	2.711000e+00	2.015254e-02	1.085000e+01	9.290000e+00	4.242641e-02	9.225000e+01	9.050000e+01	1.767767e-01
1.980000e+01	2.503000e+00	2.708000e+00	7.424621e-02	1.016800e+01	9.361000e+00	3.266833e-01	9.150000e+01	9.000000e+01	7.071068e-01
2.160000e+01	2.567500e+00	2.767000e+00	1.149049e-01	1.026400e+01	1.164000e+01	5.557859e-01	9.175000e+01	9.250000e+01	8.838835e-01
2.340000e+01	2.441000e+00	2.708000e+00	4.171930e-02	1.009700e+01	1.156000e+01	2.142534e-01	9.075000e+01	9.200000e+01	5.303301e-01
2.520000e+01	2.580000e+00	2.624000e+00	9.404520e-02	1.006100e+01	1.221000e+01	1.477853e-01	9.100000e+01	9.150000e+01	7.071068e-01
2.700000e+01	2.495500e+00	2.459000e+00	8.167083e-02	1.071000e+01	1.175000e+01	7.778175e-02	9.075000e+01	8.850000e+01	5.303301e-01
2.880000e+01	2.414000e+00	2.365000e+00	1.909188e-02	1.192000e+01	1.295000e+01	7.778175e-01	8.950000e+01	8.800000e+01	1.060660e+00
3.060000e+01	2.386500e+00	2.312000e+00	2.934493e-02	1.235500e+01	1.508000e+01	2.227386e-01	8.775000e+01	8.800000e+01	1.767767e-01
3.240000e+01	2.441500e+00	2.340000e+00	2.722361e-02	1.009600e+01	1.213000e+01	8.061017e-02	8.425000e+01	8.400000e+01	5.303301e-01
3.420000e+01	2.386000e+00	2.277000e+00	6.576093e-02	9.927500e+00	1.201000e+01	1.290470e-01	8.400000e+01	8.400000e+01	3.535534e-01
3.600000e+01	2.306500e+00	2.239000e+00	1.354109e-01	1.072750e+01	1.113000e+01	9.846462e-01	8.425000e+01	8.300000e+01	5.303301e-01
3.780000e+01	2.284000e+00	2.353000e+00	1.152584e-01	1.126500e+01	1.142000e+01	7.884241e-01	8.475000e+01	8.400000e+01	1.767767e-01
3.960000e+01	2.372000e+00	2.258000e+00	1.216224e-01	1.147000e+01	1.083000e+01	5.939697e-01	8.525000e+01	8.300000e+01	1.767767e-01
4.140000e+01	2.426000e+00	2.412000e+00	9.687363e-02	1.096000e+01	1.092000e+01	2.899138e-01	8.500000e+01	8.350000e+01	3.535534e-01
4.320000e+01	2.349500e+00	2.317000e+00	1.311683e-01	1.088000e+01	1.026000e+01	4.525483e-01	8.400000e+01	8.300000e+01	3.535534e-01
4.500000e+01	2.328000e+00	2.258000e+00	1.329361e-01	1.079000e+01	1.009000e+01	3.323402e-01	8.350000e+01	8.200000e+01	3.535534e-01
4.680000e+01	2.293000e+00	2.262000e+00	1.251579e-01	9.937000e+00	1.055000e+01	3.344615e-01	8.250000e+01	8.200000e+01	0.000000e+00
