 #NTuple/Z0                                                                      
 # output from Ecalc9f version   2.09
 # settings: 
 #   particle type:            2
 #   pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
 #   transverse cuts:    0.0000000000000000        0.0000000000000000     
 #   longitudinal cut:    0.0000000000000000     
 #   RF frequency (MHz):    352.00000000000000     
 #   sigma cut:    4.0000000000000000     
 #   subtract out amplitude correlation
 #   wrnew9 =  F

 # regn   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.5129E-02  0.9991E-02  0.2625E-06 -0.2335E-01  0.2082E+00  0.3786E+00  0.6569E-02  0.8610E+00  0.2623E+00  0.5360E+05  0.5360E+05  0.5360E+05 -0.3261E-03  0.1474E-01  0.2472E-09  0.5334E-01 -0.5487E-09  0.1473E-01 -0.6568E-02 -0.1108E-01 -0.6337E-02 -0.1776E-02 -0.8373E-02  0.4140E-01
     2  0.2200E+01  0.0000E+00  0.5163E-02  0.1029E-01  0.2774E-06 -0.2295E-01  0.2079E+00  0.3559E+00  0.1399E+00  0.6308E+00  0.1009E+00  0.5323E+05  0.5323E+05  0.5323E+05 -0.1428E-02  0.1696E-01  0.2209E-09  0.1716E-01  0.4038E-08  0.1696E-01 -0.7835E-02 -0.7961E-02 -0.4326E-01  0.3126E-02  0.6392E-01  0.2967E-01
     3  0.4400E+01  0.0000E+00  0.5001E-02  0.1087E-01  0.2908E-06 -0.1890E-01  0.2108E+00  0.3658E+00  0.1549E+00  0.7511E+00 -0.2997E+00  0.5291E+05  0.5291E+05  0.5291E+05 -0.1468E-02  0.1681E-01  0.2564E-09  0.9889E-01  0.7082E-08  0.1675E-01 -0.3948E-02 -0.1167E-01 -0.5207E-01  0.1086E-01  0.5843E-01  0.3593E-01
     4  0.6600E+01  0.0000E+00  0.4778E-02  0.1072E-01  0.2676E-06 -0.3220E-01  0.2142E+00  0.3904E+00  0.1817E+00  0.1147E+01 -0.4817E+00  0.5220E+05  0.5220E+05  0.5220E+05 -0.7621E-03  0.1476E-01  0.3061E-09  0.2361E+00  0.8198E-08  0.1448E-01 -0.7728E-02 -0.1001E-01 -0.1046E+00  0.2770E-01  0.6354E-01  0.4915E-01
     5  0.8800E+01  0.0000E+00  0.4536E-02  0.1038E-01  0.2388E-06 -0.3141E-01  0.2167E+00  0.3827E+00  0.1825E+00  0.1378E+01 -0.2804E+00  0.5111E+05  0.5111E+05  0.5111E+05 -0.1149E-02  0.1302E-01  0.3199E-09  0.3858E+00  0.6969E-08  0.1226E-01 -0.7695E-02 -0.8675E-02  0.7935E-03 -0.2722E-01  0.1041E+00  0.5597E-01
     6  0.1100E+02  0.0000E+00  0.4380E-02  0.1056E-01  0.2175E-06 -0.3227E-01  0.2180E+00  0.3859E+00  0.1697E+00  0.1187E+01  0.1093E+00  0.5008E+05  0.5008E+05  0.5008E+05 -0.1255E-02  0.1401E-01  0.2938E-09  0.4749E+00  0.4752E-08  0.1295E-01 -0.9467E-02 -0.1128E-01 -0.8333E-01  0.2604E-01  0.1019E+00  0.7476E-01
     7  0.1320E+02  0.0000E+00  0.4207E-02  0.1046E-01  0.1956E-06 -0.3413E-01  0.2184E+00  0.3913E+00  0.1897E+00  0.8601E+00  0.2409E+00  0.4922E+05  0.4922E+05  0.4922E+05 -0.1118E-02  0.1657E-01  0.2465E-09  0.5230E+00  0.2799E-08  0.1551E-01 -0.7010E-02 -0.9612E-02 -0.3959E-01 -0.1027E-01  0.7324E-01  0.3724E-01
     8  0.1540E+02  0.0000E+00  0.4131E-02  0.1015E-01  0.1796E-06 -0.3512E-01  0.2179E+00  0.3806E+00  0.1960E+00  0.6583E+00  0.5909E-01  0.4874E+05  0.4874E+05  0.4874E+05 -0.1174E-02  0.1792E-01  0.2118E-09  0.5047E+00  0.1634E-08  0.1698E-01 -0.8566E-02 -0.9271E-02 -0.7445E-01  0.7599E-02  0.7598E-01  0.3630E-01
     9  0.1760E+02  0.0000E+00  0.4022E-02  0.1026E-01  0.1740E-06 -0.3554E-01  0.2166E+00  0.3786E+00  0.1547E+00  0.7350E+00 -0.1542E+00  0.4867E+05  0.4867E+05  0.4867E+05 -0.1319E-02  0.1718E-01  0.2253E-09  0.4884E+00  0.8612E-09  0.1626E-01 -0.7538E-02 -0.1131E-01 -0.3621E-01  0.3456E-02  0.6554E-01  0.4270E-01
    10  0.1980E+02  0.0000E+00  0.3962E-02  0.1002E-01  0.1646E-06 -0.3857E-01  0.2144E+00  0.3872E+00  0.1711E+00  0.9116E+00 -0.1339E+00  0.4853E+05  0.4853E+05  0.4853E+05 -0.1146E-02  0.1523E-01  0.2495E-09  0.4631E+00  0.3604E-09  0.1428E-01 -0.6648E-02 -0.8522E-02 -0.8659E-01  0.1410E-01  0.7067E-01  0.3606E-01
