# #NTuple/Z0                                                                      
# output from Ecalc9f version   2.09
#  settings: 
#    particle type:  2
#    pzmin/pzmax:   0./  100.
#    transverse cuts:   0.  0.
#    longitudinal cut:   0.
#    RF frequency (MHz):   352.
#    sigma cut:   4.
#    subtract out amplitude correlation
#    wrnew9 =  F

# regn   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.5062E-02  0.9406E-02  0.2405E-06  0.4064E-01  0.2061E+00  0.3986E+00  0.4173E-01  0.8077E+00  0.2171E+00  0.1900E+04  0.1900E+04  0.1900E+04  0.2035E-02  0.1453E-01  0.2344E-09  0.7335E-01 -0.1369E-08  0.1450E-01 -0.6304E-02 -0.9226E-02 -0.2123E-01 -0.3503E-02  0.5479E-02  0.3206E-01
     2  0.2200E+01  0.0000E+00  0.4981E-02  0.9686E-02  0.2330E-06  0.4880E-01  0.2064E+00  0.3399E+00  0.1759E+00  0.6256E+00  0.6288E-01  0.1873E+04  0.1873E+04  0.1873E+04  0.2296E-02  0.1639E-01  0.2116E-09 -0.1082E-01  0.2991E-08  0.1639E-01  0.2806E-02  0.7701E-02  0.5392E-01  0.5115E-01  0.5937E-01  0.1862E-01
     3  0.4400E+01  0.0000E+00  0.4750E-02  0.9144E-02  0.2086E-06  0.6141E-01  0.2104E+00  0.3624E+00  0.1007E+00  0.7354E+00 -0.3341E+00  0.1840E+04  0.1840E+04  0.1840E+04  0.2150E-02  0.1577E-01  0.2273E-09  0.1691E+00  0.6142E-08  0.1566E-01 -0.8179E-03 -0.2893E-02 -0.3084E-01 -0.6889E-01  0.5802E-01  0.6730E-02
     4  0.6600E+01  0.0000E+00  0.4553E-02  0.8827E-02  0.1948E-06  0.6797E-01  0.2147E+00  0.4164E+00  0.1189E+00  0.1167E+01 -0.4199E+00  0.1831E+04  0.1831E+04  0.1831E+04  0.2361E-02  0.1318E-01  0.2742E-09  0.3177E+00  0.6725E-08  0.1274E-01 -0.3021E-02 -0.1083E-02 -0.4788E-01  0.8429E-01  0.5599E-01  0.8852E-02
     5  0.8800E+01  0.0000E+00  0.4415E-02  0.9430E-02  0.1919E-06  0.7948E-01  0.2171E+00  0.4176E+00  0.2133E+00  0.1338E+01 -0.6503E-01  0.1816E+04  0.1816E+04  0.1816E+04  0.2575E-02  0.1209E-01  0.2976E-09  0.3744E+00  0.6167E-08  0.1146E-01  0.4319E-02  0.3139E-02  0.8906E-01 -0.3146E-01  0.1006E+00  0.1964E-01
     6  0.1100E+02  0.0000E+00  0.4143E-02  0.9696E-02  0.1716E-06  0.9138E-01  0.2180E+00  0.3852E+00  0.2666E+00  0.1042E+01  0.2652E+00  0.1794E+04  0.1794E+04  0.1794E+04  0.2651E-02  0.1458E-01  0.2645E-09  0.5202E+00  0.5187E-08  0.1363E-01 -0.7606E-02 -0.4192E-02 -0.8347E-01  0.1486E-01  0.8192E-01  0.2783E-01
     7  0.1320E+02  0.0000E+00  0.4009E-02  0.9530E-02  0.1554E-06  0.1005E+00  0.2180E+00  0.3531E+00  0.1468E+00  0.6763E+00  0.2722E+00  0.1773E+04  0.1773E+04  0.1773E+04  0.2802E-02  0.1779E-01  0.2088E-09  0.5861E+00  0.2609E-08  0.1680E-01  0.5821E-02  0.2625E-02  0.5000E-01  0.1444E-01  0.6125E-01  0.1278E-01
     8  0.1540E+02  0.0000E+00  0.3980E-02  0.9846E-02  0.1579E-06  0.9433E-01  0.2169E+00  0.3760E+00  0.1225E+00  0.5877E+00 -0.4251E-01  0.1771E+04  0.1771E+04  0.1771E+04  0.2506E-02  0.1867E-01  0.1976E-09  0.5893E+00  0.1466E-08  0.1763E-01 -0.4844E-02 -0.7372E-03 -0.3896E-01 -0.3052E-01  0.5452E-01  0.8589E-02
     9  0.1760E+02  0.0000E+00  0.3872E-02  0.1009E-01  0.1598E-06  0.9410E-01  0.2146E+00  0.3833E+00  0.1323E+00  0.7274E+00 -0.2267E+00  0.1775E+04  0.1775E+04  0.1775E+04  0.2520E-02  0.1754E-01  0.2236E-09  0.6223E+00  0.4765E-09  0.1631E-01 -0.1231E-02 -0.5341E-03  0.1180E-01  0.2268E-01  0.6516E-01  0.5731E-02
    10  0.1980E+02  0.0000E+00  0.3747E-02  0.1001E-01  0.1482E-06  0.8703E-01  0.2112E+00  0.3752E+00  0.1936E+00  0.9199E+00 -0.8268E-01  0.1776E+04  0.1776E+04  0.1776E+04  0.2303E-02  0.1509E-01  0.2534E-09  0.5335E+00 -0.9699E-09  0.1399E-01  0.4740E-02  0.9541E-03 -0.1050E-01  0.1811E-02  0.6464E-01  0.1148E-01
    11  0.2200E+02  0.0000E+00  0.3587E-02  0.9741E-02  0.1322E-06  0.7598E-01  0.2082E+00  0.3376E+00  0.1300E+00  0.8587E+00  0.2225E+00  0.1765E+04  0.1765E+04  0.1765E+04  0.2008E-02  0.1523E-01  0.2446E-09  0.4693E+00 -0.1924E-08  0.1443E-01 -0.7736E-02 -0.1780E-02 -0.1068E-02  0.1628E-02  0.6401E-01  0.1965E-01
    12  0.2420E+02  0.0000E+00  0.3490E-02  0.1007E-01  0.1242E-06  0.8142E-01  0.2073E+00  0.3457E+00  0.7596E-01  0.6126E+00  0.1494E+00  0.1764E+04  0.1764E+04  0.1764E+04  0.2199E-02  0.1741E-01  0.2104E-09  0.3206E+00 -0.1399E-08  0.1709E-01  0.3370E-02  0.1584E-02  0.1488E-01  0.1233E-01  0.4069E-01  0.5563E-02
    13  0.2640E+02  0.0000E+00  0.3408E-02  0.1019E-01  0.1160E-06  0.7882E-01  0.2090E+00  0.3704E+00  0.1544E+00  0.6571E+00 -0.2356E+00  0.1760E+04  0.1760E+04  0.1760E+04  0.2076E-02  0.1712E-01  0.2175E-09  0.2206E+00 -0.3859E-09  0.1696E-01  0.1372E-02 -0.1734E-02 -0.4027E-01 -0.2391E-01  0.3263E-01  0.3362E-02
