#BLTrackFile VirtualDetector/beamDet
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
6.08425 55.7798 99010 -50.736 35.6895 199.665 812.776 -13 28 1 0 1
-13.6885 9.71289 99010 -32.5999 -9.65059 195.835 813.014 -13 213 1 0 1
-53.759 -11.8048 99010 -16.3861 -33.034 202.25 812.804 -13 235 1 0 1
2.5715 93.9453 99010 -84.8171 27.3242 193.126 812.859 -13 338 1 0 1
-14.5294 11.4474 99010 -21.4217 -4.36618 221.601 812.572 -13 349 1 0 1
10.2213 3.48335 99010 -8.39214 -13.3551 229.776 812.6 -13 460 1 0 1
-18.1576 25.8976 99010 -55.5042 0.0816146 201.155 812.977 -13 599 1 0 1
31.2322 -13.2944 99010 23.3628 34.3444 221.657 812.881 -13 657 1 0 1
-15.3447 15.6617 99010 -30.1157 13.8281 225.838 812.719 -13 676 1 0 1
-28.5062 5.93328 99010 -31.7526 -28.342 198.675 812.567 -13 677 1 0 1
-13.6818 -9.60762 99010 24.7558 -38.7327 204.592 812.781 -13 681 1 0 1
22.5549 23.5317 99010 10.5195 42.8922 222.654 812.771 -13 719 1 0 1
-24.1147 9.97364 99010 -20.9562 0.386643 210.555 813.11 -13 766 1 0 1
-24.8566 9.66905 99010 -13.1956 -5.5777 208.914 812.509 -13 807 1 0 1
39.771 56.8866 99010 -35.7126 61.4018 200.594 812.561 -13 824 1 0 1
32.4776 17.2546 99010 10.6982 43.6169 220.927 812.837 -13 875 1 0 1
8.77803 71.9271 99010 -56.3202 66.0438 222.178 812.951 -13 892 1 0 1
-24.8701 -18.0653 99010 -3.35832 -29.0433 217.435 812.538 -13 909 1 0 1
1.63292 16.428 99010 -17.2015 21.5992 232.372 812.866 -13 962 1 0 1
4.2914 28.542 99010 -31.9 -2.19629 182.61 813.098 -13 970 1 0 1
-9.97146 14.6735 99010 -40.0537 -11.816 209.251 812.643 -13 983 1 0 1
6.56998 33.7286 99010 -23.8682 37.5829 220.828 812.939 -13 987 1 0 1
1.64885 -7.17316 99010 7.29741 3.86673 253.488 812.612 -13 1033 1 0 1
-55.7078 37.3317 99010 -61.8437 -29.2046 206.422 812.87 -13 1082 1 0 1
-12.069 -1.22677 99010 -13.5767 -6.00432 204.682 812.671 -13 1084 1 0 1
-9.45467 -8.32522 99010 -8.22891 -9.60782 219.115 812.957 -13 1086 1 0 1
-29.2167 38.5133 99010 -57.4653 6.91373 199.671 812.838 -13 1280 1 0 1
-23.661 13.5826 99010 -31.4617 -11.4412 200.141 813.659 -13 1330 1 0 1
-10.3076 6.50493 99010 -41.0294 -20.604 200.617 812.843 -13 1567 1 0 1
-16.4358 77.2427 99010 -76.3371 21.4883 199.941 812.844 -13 1587 1 0 1
-4.8332 44.2563 99010 -43.6862 6.42766 194.888 812.832 -13 1655 1 0 1
7.25772 6.57597 99010 10.0991 3.1661 205.525 813.149 -13 1660 1 0 1
-6.32176 16.8002 99010 -27.7246 -21.1372 179.908 812.741 -13 1661 1 0 1
-59.1596 21.72 99010 -58.3236 -33.5387 195.802 812.895 -13 1666 1 0 1
-66.5167 33.6762 99010 -64.4094 -50.2036 204.932 812.988 -13 1717 1 0 1
-8.84358 -79.4257 99010 54.6307 -87.5668 223.007 812.554 -13 1744 1 0 1
-6.38773 -9.12468 99010 -33.9512 -34.4223 224.889 812.428 -13 1819 1 0 1
-10.2182 -1.08617 99010 -11.0284 -8.48268 196.377 813.154 -13 1855 1 0 1
-31.0836 22.1495 99010 -64.167 -8.80032 218.31 812.717 -13 1874 1 0 1
-28.9614 3.98318 99010 -21.8142 -44.669 178.696 812.859 -13 1920 1 0 1
38.4975 42.2374 99010 -28.5282 54.5784 216.993 812.414 -13 2018 1 0 1
-30.5584 -0.547285 99010 -35.6289 -36.2311 216.938 812.397 -13 2113 1 0 1
-9.9019 35.0432 99010 -30.8391 24.4209 206.236 812.911 -13 2168 1 0 1
-24.5803 33.7443 99010 -39.7934 -7.28096 190.486 812.874 -13 2171 1 0 1
-9.37901 -11.1964 99010 -5.7859 -6.24276 198.413 813.076 -13 2197 1 0 1
-13.7838 29.977 99010 -45.085 -1.53949 196.141 812.268 -13 2207 1 0 1
-70.9494 22.8456 99010 -24.0282 -71.1822 186.526 812.916 -13 2249 1 0 1
-17.0544 3.92489 99010 -4.38743 -13.0907 230.818 812.761 -13 2250 1 0 1
8.07096 -15.9631 99010 37.8761 -18.4575 234.641 812.702 -13 2256 1 0 1
1.82264 8.90118 99010 -13.1873 -0.1798 187.846 812.902 -13 2277 1 0 1
-18.3283 -14.7804 99010 5.36705 -35.6912 185.913 812.897 -13 2390 1 0 1
-24.4124 54.9478 99010 -62.8783 -34.6947 181.336 812.863 -13 2392 1 0 1
-37.1595 -3.10625 99010 -41.5351 -38.7205 219.666 813.001 -13 2423 1 0 1
0.482852 39.5088 99010 -3.26357 32.2548 221.797 812.488 -13 2467 1 0 1
-6.44539 17.7093 99010 -34.5936 -7.17055 211.91 812.697 -13 2533 1 0 1
-7.38878 48.6118 99010 -59.6786 36.6156 206.512 812.617 -13 2554 1 0 1
-11.4741 54.1311 99010 -56.2228 5.74644 191.828 812.477 -13 2577 1 0 1
3.93626 -26.4412 99010 16.8293 -14.7326 197.33 812.579 -13 2618 1 0 1
