#BLTrackFile VirtualDetector/beamDet
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-17.2477 1.06465 76260 -37.3956 -23.3473 228.572 1042.82 -13 956 1 0 1
-12.7098 -33.4278 76260 4.37165 -45.5603 212.224 1042.87 -13 976 1 0 1
-12.6249 13.5887 76260 -27.7794 6.82526 193.659 1043.03 -13 1154 1 0 1
-1.62481 14.0955 76260 -20.5248 22.4188 241.286 1043.14 -13 1726 1 0 1
-50.3482 5.4378 76260 -51.5365 -16.801 227.094 1042.62 -13 2723 1 0 1
13.9027 11.4994 76260 11.6214 27.1126 216.072 1042.42 -13 3253 1 0 1
-0.765517 2.50952 76260 -27.4855 13.7569 202.087 1042.86 -13 3390 1 0 1
2.69889 5.3222 76260 -6.89088 -22.0025 216.571 1043.06 -13 3545 1 0 1
5.25833 -5.03506 76260 -5.97272 -13.7089 200.794 1042.54 -13 3740 1 0 1
-30.1401 37.8077 76260 -57.8489 9.16901 216.024 1042.69 -13 4238 1 0 1
-48.1188 -19.8355 76260 -50.3952 -66.8988 201.498 1042.77 -13 4261 1 0 1
13.5362 4.14639 76260 -18.2846 14.3224 213.494 1042.89 -13 4615 1 0 1
-11.8231 -3.24593 76260 -9.22764 -14.0715 216.966 1042.85 -13 5355 1 0 1
-19.545 39.1292 76260 -41.8502 26.501 213.59 1042.88 -13 6057 1 0 1
-16.9478 26.331 76260 -42.7694 46.9545 219.04 1040.16 -13 6168 1 0 1
4.94469 -2.23196 76260 -4.99672 -6.95171 193.723 1042.93 -13 6366 1 0 1
-6.41154 8.27281 76260 -25.6919 11.668 205.304 1042.93 -13 6758 1 0 1
-13.8366 10.3549 76260 -34.3187 7.562 239.435 1042.66 -13 7054 1 0 1
14.9637 29.1372 76260 -15.3466 31.0877 198.481 1043.22 -13 7097 1 0 1
51.1694 24.7161 76260 16.9281 67.4245 203.834 1042.65 -13 7211 1 0 1
-1.35733 -18.9437 76260 1.42127 -29.4035 204.333 1043.05 -13 7614 1 0 1
-40.1921 -20.6578 76260 -38.8402 -62.7595 203.773 1042.65 -13 8391 1 0 1
0.439454 31.4167 76260 -36.2216 18.2892 212.489 1042.81 -13 8514 1 0 1
-20.1678 52.0172 76260 -71.8735 37.678 193.405 1042.66 -13 9117 1 0 1
-19.6399 -17.2089 76260 -9.08202 -34.572 222.438 1043.17 -13 9565 1 0 1
-16.849 16.6086 76260 -38.4911 14.1085 221.103 1042.98 -13 9734 1 0 1
-9.95311 13.9586 76260 -22.5698 -5.44972 200.697 1043.1 -13 9773 1 0 1
16.916 -8.6235 76260 13.8945 19.2231 203.919 1042.89 -13 9919 1 0 1
-3.11447 24.1914 76260 2.43548 16.9254 209.339 1042.85 -13 9945 1 0 1
