#BLTrackFile VirtualDetector/beamDet
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
9.40276 20.8286 73810 -10.542 26.969 210.488 467.39 -13 2 1 0 1
20.4374 10.5742 73810 -6.07824 33.6178 206.423 467.243 -13 3 1 0 1
-25.6217 42.6213 73810 -56.4521 37.3547 203.699 467.458 -13 4 1 0 1
-25.492 5.08737 73810 -48.2789 -6.03031 203.038 467.341 -13 5 1 0 1
-24.3324 38.2957 73810 -34.8995 8.57724 198.339 467.147 -13 6 1 0 1
-17.6729 25.4583 73810 -25.2409 5.2809 204.949 467.084 -13 7 1 0 1
-12.3402 25.6453 73810 -16.6209 14.3084 212.385 467.32 -13 8 1 0 1
31.1393 6.94462 73810 2.37518 19.7314 212.896 467.051 -13 9 1 0 1
-2.84895 12.1802 73810 -36.983 15.3228 248.692 467.204 -13 11 1 0 1
-5.51218 -0.480027 73810 6.57043 -3.39351 223.919 466.987 -13 12 1 0 1
-9.54762 5.45884 73810 1.00905 19.1386 241.518 467.057 -13 14 1 0 1
-19.2504 25.7178 73810 -42.6195 5.06789 248.479 467.406 -13 15 1 0 1
-2.98863 20.6307 73810 3.91009 26.8865 260.068 467.546 -13 16 1 0 1
19.1729 30.9616 73810 -19.3472 40.7601 252.331 467.301 -13 17 1 0 1
-16.8186 -4.57375 73810 2.84733 -6.33336 225.741 467.076 -13 18 1 0 1
-6.6342 21.2112 73810 -25.3191 11.1879 211.106 467.118 -13 19 1 0 1
-31.8518 17.9286 73810 -26.0963 41.7928 243.199 467.181 -13 20 1 0 1
32.7899 37.0252 73810 5.86409 42.1608 204.718 467.309 -13 21 1 0 1
7.43108 1.28529 73810 -3.40096 1.89778 211.086 467.257 -13 22 1 0 1
-1.61585 36.4283 73810 -29.3354 46.0201 208.894 467.53 -13 23 1 0 1
11.4208 7.97583 73810 3.544 -7.6204 217.065 467.28 -13 24 1 0 1
32.9407 -12.4536 73810 40.3972 19.0051 225.809 467.267 -13 25 1 0 1
5.63016 22.8724 73810 -5.78088 19.3363 200.964 467.322 -13 26 1 0 1
6.05926 -5.89506 73810 6.47264 5.88015 223 467.087 -13 27 1 0 1
-28.4612 9.81485 73810 -37.239 -2.37936 251.588 467.233 -13 28 1 0 1
-34.8848 4.29237 73810 -29.2993 6.73346 225.409 467.929 -13 29 1 0 1
-8.21269 25.8193 73810 -15.849 28.6344 216.537 467.013 -13 30 1 0 1
-6.05749 -1.87101 73810 -10.2164 29.6634 244.63 467.116 -13 31 1 0 1
11.5912 22.7805 73810 -1.72946 54.2743 243.047 467.664 -13 32 1 0 1
-7.13132 17.8405 73810 -29.04 19.9551 226.286 466.981 -13 33 1 0 1
7.62994 43.9622 73810 -6.77224 60.3933 219.256 467.089 -13 36 1 0 1
-34.639 16.5005 73810 19.6019 -57.1743 281.687 467.008 -13 37 1 0 1
9.9592 13.363 73810 12.8965 32.801 220.9 467.171 -13 38 1 0 1
-9.94403 32.3649 73810 -35.9073 19.6548 216.886 467.21 -13 40 1 0 1
-24.6547 6.2471 73810 -34.4444 19.6121 240.788 467.179 -13 41 1 0 1
-3.63453 6.79129 73810 -17.3027 1.8817 222.524 467.095 -13 42 1 0 1
6.95111 18.5773 73810 0.53644 36.8704 236.699 467.228 -13 44 1 0 1
3.21493 22.2918 73810 -25.7592 19.4701 235.986 467.111 -13 45 1 0 1
13.0669 23.9717 73810 2.87088 40.6279 243.014 467.65 -13 46 1 0 1
-15.4091 -1.91447 73810 -18.908 3.34202 237.991 467.606 -13 48 1 0 1
-17.8025 -1.57638 73810 -21.1617 -19.723 221.199 467.159 -13 53 1 0 1
-6.13566 7.14746 73810 -14.3275 6.35841 215.959 467.133 -13 54 1 0 1
25.0734 -5.92675 73810 40.8177 38.2555 249.486 467.311 -13 55 1 0 1
-19.5919 8.56248 73810 -27.2488 -6.43111 202.995 467.107 -13 56 1 0 1
-7.10521 -8.10241 73810 -20.4456 -30.7132 253.526 467.499 -13 57 1 0 1
-9.71909 20.1084 73810 -30.8025 4.18124 202.076 467.286 -13 59 1 0 1
15.9407 -0.418735 73810 -8.73361 7.89671 207.169 467.261 -13 60 1 0 1
-2.03602 10.5236 73810 -28.0382 33.9351 215.287 467.217 -13 61 1 0 1
-10.697 26.2879 73810 -22.751 20.2921 224.193 467.109 -13 62 1 0 1
14.9214 -0.126862 73810 -7.13524 -12.0945 261.684 467.474 -13 63 1 0 1
-5.54801 7.52878 73810 -5.64058 20.6413 240.507 467.335 -13 64 1 0 1
24.7063 49.5263 73810 -17.5979 43.5495 197.614 467.896 -13 66 1 0 1
-46.5975 20.8853 73810 -73.2639 9.13676 221.15 467.901 -13 67 1 0 1
17.9153 8.09438 73810 1.62013 11.987 245.325 467.234 -13 68 1 0 1
-21.8096 0.889633 73810 -47.8196 -1.36141 223.793 467.169 -13 72 1 0 1
5.20954 17.1555 73810 -13.6175 -1.02319 213.512 467.287 -13 74 1 0 1
-17.8787 7.94197 73810 5.7971 19.0785 233.549 467.065 -13 75 1 0 1
-25.656 8.1985 73810 -32.0319 -3.76985 240.821 467.199 -13 76 1 0 1
-12.9569 -3.79265 73810 -32.1031 -2.35984 216.372 467.177 -13 77 1 0 1
-29.0404 16.6754 73810 -42.2624 -6.04495 200.672 467.107 -13 78 1 0 1
-39.5457 3.78002 73810 -49.5926 -30.4578 217.252 467.125 -13 79 1 0 1
7.48084 25.7831 73810 -28.2012 44.2892 216.001 467.074 -13 80 1 0 1
43.5702 43.3588 73810 -5.46548 53.4783 213.51 467.239 -13 81 1 0 1
11.967 28.3214 73810 -11.4254 33.7458 201.465 467.251 -13 82 1 0 1
-1.06909 24.2849 73810 -21.9087 25.3528 203.96 467.144 -13 83 1 0 1
-22.6358 33.6531 73810 -45.046 6.5211 212.123 467.196 -13 85 1 0 1
8.79037 -7.63743 73810 -2.31763 17.5717 248.554 467.272 -13 86 1 0 1
-22.3107 7.01531 73810 -17.2783 -19.6916 208.355 467.216 -13 87 1 0 1
9.59118 -4.14776 73810 10.1393 1.8863 211.372 467.228 -13 88 1 0 1
19.169 35.46 73810 -14.751 38.5912 221.527 467.168 -13 89 1 0 1
19.3651 22.3336 73810 22.2866 53.6116 244.848 467.591 -13 90 1 0 1
-0.837135 -6.88927 73810 -13.0905 4.30876 206.38 467.04 -13 91 1 0 1
-4.54518 29.8464 73810 -19.7684 30.4838 217.595 467.179 -13 92 1 0 1
-21.323 -47.2418 73810 8.0299 -28.5967 220.788 467.129 -13 93 1 0 1
-6.16361 5.28307 73810 -27.7394 -6.14732 213.863 467.129 -13 94 1 0 1
13.6181 40.8656 73810 -18.8364 10.2053 218.27 467.121 -13 95 1 0 1
-17.0412 17.6729 73810 -28.3972 27.778 207.51 467.226 -13 96 1 0 1
17.4391 37.284 73810 -9.58752 30.7239 212.303 467.183 -13 97 1 0 1
-12.8168 14.015 73810 -16.1688 2.25343 207.415 467.16 -13 98 1 0 1
-33.9363 13.3683 73810 -90.1204 43.0402 252.894 467.515 -13 99 1 0 1
1.88215 33.6025 73810 -28.6919 40.848 212.065 467.26 -13 100 1 0 1
8.92184 -19.2891 73810 0.725554 -15.6119 218.809 467.262 -13 101 1 0 1
2.26513 11.8317 73810 -11.9938 19.0093 253.048 467.316 -13 104 1 0 1
61.5772 10.3607 73810 60.5499 65.0363 238.77 467.851 -13 105 1 0 1
11.7326 9.12974 73810 -12.4341 27.5443 207.346 467.67 -13 106 1 0 1
2.52206 12.7642 73810 -12.1353 -3.32064 194.018 467.608 -13 108 1 0 1
25.3581 -1.42843 73810 23.6179 15.7793 251.457 467.601 -13 109 1 0 1
26.049 7.30344 73810 -55.366 0.396065 273.951 467.67 -13 110 1 0 1
-11.2204 -6.52979 73810 -15.9745 4.31633 250.968 467.524 -13 112 1 0 1
11.5731 -3.7355 73810 17.5894 31.4093 247.875 467.418 -13 115 1 0 1
4.3715 5.95721 73810 3.41371 14.8459 238.98 467.614 -13 116 1 0 1
1.10096 40.7926 73810 -23.5506 24.6229 218.222 467.235 -13 117 1 0 1
-4.97469 30.862 73810 -33.8738 23.729 214.023 467.921 -13 119 1 0 1
-4.29622 7.66199 73810 -27.9532 -31.1483 212.071 467.724 -13 121 1 0 1
-47.9988 20.9168 73810 -36.061 -8.47629 192.956 467.581 -13 122 1 0 1
