 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:  2
    pzmin/pzmax:   0./  100.
    transverse cuts:   0.  0.
    longitudinal cut:   0.
    RF frequency (MHz):   352.
    sigma cut:   4.
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.3681E-02  0.9805E-02  0.1097E-06  0.1089E+00  0.2040E+00  0.4815E+00  0.2388E+00  0.7110E+00  0.3480E+00  0.2000E+03  0.2000E+03  0.2000E+03  0.5163E-02  0.1730E-01  0.2360E-09 -0.4873E+00 -0.5574E-08  0.1621E-01 -0.1147E-01 -0.1481E-01  0.1420E+00  0.2305E-02 -0.9075E-01  0.5478E-01
     2  0.2200E+01  0.0000E+00  0.3895E-02  0.9706E-02  0.1203E-06  0.9577E-01  0.2018E+00  0.2641E+00  0.1064E+00  0.5692E+00 -0.2332E+00  0.2000E+03  0.2000E+03  0.2000E+03  0.2871E-02  0.1967E-01  0.2035E-09 -0.8567E+00  0.1868E-08  0.1734E-01 -0.6527E-02  0.1321E-02  0.1870E-01  0.7709E-01 -0.3152E-01  0.4573E-02
     3  0.4400E+01  0.0000E+00  0.5246E-02  0.1573E-01  0.4349E-06  0.1781E+00  0.2035E+00  0.3625E+00 -0.4852E+00  0.1597E+01 -0.9055E-01  0.1970E+03  0.1970E+03  0.1970E+03 -0.1855E-02  0.1929E-01  0.4410E-09 -0.5370E+00 -0.3803E-08  0.1297E-01 -0.1156E-01 -0.2581E-01  0.4020E-01  0.2422E-01 -0.1339E+00  0.9548E-01
     4  0.6600E+01  0.0000E+00  0.3726E-02  0.9071E-02  0.1178E-06  0.9438E-01  0.2159E+00  0.4500E+00  0.1572E+00  0.1367E+01 -0.2753E+00  0.1790E+03  0.1790E+03  0.1790E+03  0.3385E-02  0.1156E-01  0.3486E-09 -0.1175E+00  0.1559E-07  0.1146E-01 -0.3405E-02 -0.4552E-02 -0.8848E-01  0.9300E-01  0.4681E-01  0.2116E-01
     5  0.8800E+01  0.0000E+00  0.3537E-02  0.1076E-01  0.1428E-06  0.2749E-01  0.2154E+00  0.4730E+00  0.2212E+00  0.1304E+01 -0.7197E-01  0.1770E+03  0.1770E+03  0.1770E+03 -0.7985E-03  0.1283E-01  0.3623E-09  0.2712E+00  0.1463E-07  0.1234E-01 -0.7761E-02 -0.6265E-02 -0.8746E-01  0.1553E-01  0.1948E+00  0.5367E-01
     6  0.1100E+02  0.0000E+00  0.3281E-02  0.1205E-01  0.1420E-06  0.3212E-01  0.2151E+00  0.4508E+00  0.3267E+00  0.1118E+01  0.6220E-01  0.1740E+03  0.1740E+03  0.1740E+03  0.1269E-02  0.1677E-01  0.3339E-09  0.8025E+00  0.1252E-07  0.1408E-01 -0.1326E-01 -0.1993E-01 -0.8156E-01 -0.1732E-01  0.1524E+00  0.1321E+00
     7  0.1320E+02  0.0000E+00  0.3133E-02  0.1221E-01  0.1427E-06  0.3445E-01  0.2128E+00  0.3788E+00  0.3387E+00  0.8544E+00 -0.3159E-01  0.1710E+03  0.1710E+03  0.1710E+03  0.7804E-03  0.1905E-01  0.2852E-09  0.9248E+00  0.8781E-08  0.1606E-01 -0.4385E-04  0.7741E-03  0.5461E-01  0.4771E-02  0.1033E+00  0.6733E-02
     8  0.1540E+02  0.0000E+00  0.3277E-02  0.1052E-01  0.1165E-06  0.1036E+00  0.2128E+00  0.3499E+00  0.2317E+00  0.7526E+00 -0.1044E+00  0.1670E+03  0.1670E+03  0.1670E+03  0.1536E-02  0.1933E-01  0.2350E-09  0.9979E+00  0.2437E-08  0.1596E-01 -0.1588E-01 -0.1592E-01 -0.1286E+00 -0.3717E-01  0.1268E+00  0.8871E-01
     9  0.1760E+02  0.0000E+00  0.3106E-02  0.9536E-02  0.9746E-07  0.1011E+00  0.2136E+00  0.4092E+00  0.9584E-01  0.9038E+00 -0.1968E+00  0.1660E+03  0.1660E+03  0.1660E+03  0.4715E-03  0.1757E-01  0.2449E-09  0.1003E+01 -0.2918E-08  0.1409E-01 -0.1274E-02 -0.1002E-01 -0.2269E-01  0.7666E-01  0.7100E-01  0.2445E-01
    10  0.1980E+02  0.0000E+00  0.3208E-02  0.9075E-02  0.8870E-07  0.9993E-01  0.2150E+00  0.4301E+00  0.1644E+00  0.9404E+00  0.4227E-02  0.1660E+03  0.1660E+03  0.1660E+03  0.2999E-02  0.1487E-01  0.2533E-09  0.5902E+00 -0.6987E-08  0.1329E-01 -0.5310E-02 -0.5140E-02 -0.1547E+00 -0.1232E+00  0.1255E+00  0.2488E-01
    11  0.2200E+02  0.0000E+00  0.3050E-02  0.9289E-02  0.7791E-07  0.7410E-01  0.2166E+00  0.4027E+00  0.2789E+00  0.8335E+00  0.2349E+00  0.1650E+03  0.1650E+03  0.1650E+03 -0.5109E-03  0.1502E-01  0.2409E-09  0.2722E+00 -0.7332E-08  0.1474E-01 -0.1610E-01 -0.1394E-01  0.5020E-01  0.1537E+00 -0.3992E-01  0.1152E+00
