#BLTrackFile VirtualDetector/beamDet
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
22.0234 11.8632 73810 4.13731 26.3037 219.557 467.45 -13 2 1 0 1
-2.87387 20.1155 73810 -24.6871 11.3925 226.428 467.472 -13 3 1 0 1
3.30461 -21.832 73810 11.6701 -23.3851 221.967 467.526 -13 4 1 0 1
8.04667 -0.727886 73810 -5.87003 14.6702 217.046 467.602 -13 5 1 0 1
-1.66053 23.5082 73810 -23.9241 10.0802 191.939 467.598 -13 6 1 0 1
4.46034 -3.298 73810 -36.6797 24.7845 250.734 467.415 -13 7 1 0 1
47.6072 -15.5126 73810 50.5725 18.5918 228.173 467.749 -13 8 1 0 1
-17.9348 41.9862 73810 -38.4301 26.6993 221.522 467.428 -13 9 1 0 1
-22.2758 5.3323 73810 -28.2029 -5.63026 196.649 467.376 -13 10 1 0 1
20.4414 9.62099 73810 25.7269 40.2633 224.504 467.383 -13 11 1 0 1
-15.2301 10.4355 73810 -33.59 -11.1684 204.327 467.422 -13 12 1 0 1
-28.3283 -16.1146 73810 -27.1061 13.3584 268.025 467.268 -13 14 1 0 1
-3.90976 53.1433 73810 -45.0297 40.8767 198.763 467.458 -13 15 1 0 1
-25.3179 -13.0748 73810 -35.4944 -13.4618 221.777 467.23 -13 16 1 0 1
-21.4303 28.4022 73810 -40.5712 9.91588 221.257 467.326 -13 17 1 0 1
-1.75826 16.4179 73810 42.3579 16.5067 218.787 467.411 -13 18 1 0 1
24.2671 26.8902 73810 11.6861 57.9606 229.526 467.272 -13 19 1 0 1
-9.49697 15.4012 73810 -4.7144 26.4534 223.361 467.677 -13 20 1 0 1
-4.71584 34.5886 73810 -4.47709 37.3007 206.695 467.688 -13 21 1 0 1
2.23062 15.0481 73810 -3.76764 32.3732 234.91 467.303 -13 23 1 0 1
-36.0354 -7.02735 73810 -69.1131 -25.167 234.821 467.524 -13 24 1 0 1
-11.9019 10.418 73810 -9.5438 7.45747 222.942 467.346 -13 25 1 0 1
23.2367 27.8907 73810 7.8873 27.4872 233.09 467.62 -13 26 1 0 1
-18.7004 9.13824 73810 -21.6345 -5.98768 194.014 467.253 -13 27 1 0 1
-20.653 30.8139 73810 -36.1926 -1.56295 192.63 467.694 -13 28 1 0 1
-20.1077 25.0137 73810 -57.2206 21.8044 205.84 467.386 -13 29 1 0 1
-5.53578 16.9284 73810 -10.6629 27.665 195.65 467.285 -13 30 1 0 1
-9.24369 40.5268 73810 -41.3026 24.9821 198.854 467.156 -13 31 1 0 1
-23.3345 46.9391 73810 -26.0543 28.7058 208.167 467.172 -13 32 1 0 1
-4.48811 13.2616 73810 -8.1834 21.06 206.88 467.477 -13 33 1 0 1
8.46732 2.10563 73810 4.7811 12.8711 207.187 467.358 -13 34 1 0 1
1.04614 47.9675 73810 -32.6423 40.3673 208.891 467.151 -13 35 1 0 1
-40.7239 23.7567 73810 -56.75 16.2747 236.551 467.943 -13 36 1 0 1
2.76642 9.25832 73810 -11.26 -2.60728 184.769 467.628 -13 38 1 0 1
-17.3877 -9.9908 73810 -1.06713 9.77384 248.609 467.311 -13 39 1 0 1
-30.7997 23.4867 73810 -49.4292 -0.705693 211.344 467.181 -13 40 1 0 1
26.0479 5.57473 73810 16.1663 6.79599 218.756 467.073 -13 41 1 0 1
25.411 23.1949 73810 47.8702 76.0414 239.346 467.386 -13 42 1 0 1
33.2716 35.01 73810 -14.5447 39.7417 231.106 467.239 -13 45 1 0 1
19.2943 30.4143 73810 11.864 65.6673 234.42 467.264 -13 46 1 0 1
-3.9807 -9.7905 73810 -13.3721 17.5545 238.991 467.18 -13 47 1 0 1
-14.9939 15.0037 73810 -28.646 6.45916 236.157 467.202 -13 48 1 0 1
-8.09866 17.1406 73810 -47.7828 44.7048 233.25 467.519 -13 49 1 0 1
47.8456 41.8262 73810 8.43948 55.7911 206.533 467.753 -13 50 1 0 1
-55.1406 97.8996 73810 -80.2427 31.0401 186.807 467.542 -13 51 1 0 1
-26.1643 26.9733 73810 -46.4736 24.5621 207.256 467.52 -13 52 1 0 1
-1.99667 12.8594 73810 -15.1346 5.17002 237.08 467.456 -13 53 1 0 1
13.0005 10.5457 73810 15.3423 4.63557 222.014 467.278 -13 56 1 0 1
-16.6295 -8.55053 73810 -9.29843 -14.7987 233.458 467.452 -13 57 1 0 1
2.41658 11.8654 73810 -17.2096 11.4103 232.227 467.302 -13 59 1 0 1
-14.4051 17.7279 73810 -34.2238 22.9403 224.234 467.263 -13 60 1 0 1
-2.32899 27.6135 73810 -15.3047 15.748 236.326 467.275 -13 61 1 0 1
11.7408 33.1477 73810 0.369172 47.8021 230.03 467.359 -13 62 1 0 1
-6.31479 17.3011 73810 -15.6783 11.453 222.235 467.235 -13 63 1 0 1
-8.25885 3.22748 73810 -35.5028 7.75108 227.13 467.313 -13 64 1 0 1
-3.06834 0.356872 73810 6.85669 0.389249 207.784 467.34 -13 65 1 0 1
-2.52787 -1.30216 73810 -14.018 25.6339 228.987 467.259 -13 67 1 0 1
14.053 18.8133 73810 15.9292 40.9637 218.758 467.22 -13 68 1 0 1
-25.5207 21.1997 73810 -56.0286 3.4026 234.51 467.362 -13 69 1 0 1
-11.7907 -6.17227 73810 -18.9322 3.5398 223.876 467.123 -13 70 1 0 1
-7.47301 5.61171 73810 -6.80399 -6.47006 204.734 467.043 -13 71 1 0 1
24.1507 19.6896 73810 -0.362215 43.1971 235.648 467.387 -13 72 1 0 1
-10.0787 30.8449 73810 -24.6221 4.51763 195.015 467.292 -13 74 1 0 1
-16.4651 -6.81897 73810 -54.0447 -20.539 234.134 467.599 -13 75 1 0 1
-29.3699 13.5323 73810 -50.0005 -5.48504 210.443 467.735 -13 76 1 0 1
