#BLTrackFile VirtualDetector/beamDet
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
4.32256 -7.4895 73810 26.9704 2.12132 218.059 467.444 -13 2 1 0 1
-7.3982 26.5801 73810 -26.4112 27.3117 217.395 467.464 -13 3 1 0 1
0.848121 31.4182 73810 14.1605 16.407 218.239 467.485 -13 4 1 0 1
4.24162 -4.14519 73810 -14.3392 9.47379 218.473 467.44 -13 5 1 0 1
-0.710638 25.9974 73810 -2.50255 101.823 247.985 467.793 -13 6 1 0 1
3.12168 18.7678 73810 -32.001 8.77613 216.344 467.997 -13 7 1 0 1
0.0739874 11.3038 73810 -12.6094 5.03385 220.244 467.635 -13 8 1 0 1
-15.8464 21.7775 73810 -19.2736 18.1109 233.031 467.482 -13 9 1 0 1
15.1424 18.2612 73810 4.13001 22.4953 207.283 467.377 -13 10 1 0 1
-29.0755 -2.66944 73810 -80.0343 -10.4776 248.975 467.396 -13 11 1 0 1
-12.9522 20.4972 73810 -16.2574 18.8921 206.811 467.312 -13 12 1 0 1
15.6336 -6.0164 73810 23.3288 46.8593 230.844 467.198 -13 14 1 0 1
20.1035 44.2883 73810 -27.9072 58.9276 204.565 467.425 -13 15 1 0 1
-8.53409 0.183959 73810 -8.13232 18.4441 220.389 467.3 -13 16 1 0 1
-10.5018 -2.55227 73810 -15.552 11.8754 227.633 467.321 -13 17 1 0 1
-32.5555 8.68761 73810 -40.6704 -14.9357 231.471 467.4 -13 18 1 0 1
7.36502 26.7142 73810 -2.46395 23.3806 231.816 467.372 -13 19 1 0 1
0.0720055 24.0163 73810 -17.0397 34.6187 222.105 467.568 -13 20 1 0 1
6.89148 45.2322 73810 -23.9889 26.2981 189.379 467.566 -13 21 1 0 1
14.6506 40.8146 73810 -12.4901 61.9088 226.171 467.711 -13 23 1 0 1
-10.0243 17.5324 73810 4.26313 26.2623 227.257 467.494 -13 24 1 0 1
-6.4406 2.41434 73810 6.68537 2.92539 226.947 467.283 -13 25 1 0 1
15.0065 21.2094 73810 -1.75727 16.9795 228.94 467.504 -13 26 1 0 1
-11.6582 10.686 73810 -13.9449 3.62418 203.423 467.3 -13 27 1 0 1
-5.88597 30.4426 73810 -32.9067 12.2539 187.246 467.436 -13 28 1 0 1
15.2611 30.2508 73810 -10.5214 35.4464 200.529 467.435 -13 29 1 0 1
-8.27969 26.6715 73810 -33.2533 11.8769 189.971 467.27 -13 30 1 0 1
22.8913 33.8229 73810 -23.2704 40.7371 203.617 467.167 -13 31 1 0 1
19.6627 -20.6963 73810 -37.5967 -10.2125 248.358 467.178 -13 32 1 0 1
-11.8375 34.8271 73810 -17.6971 20.8561 200.912 467.392 -13 33 1 0 1
-23.803 37.6564 73810 -26.9791 30.0811 208.507 467.295 -13 34 1 0 1
13.6047 15.5539 73810 -0.853574 60.6485 236.802 467.238 -13 35 1 0 1
1.88913 17.2796 73810 20.3763 36.6954 238.283 467.634 -13 36 1 0 1
-19.2311 34.6621 73810 -29.7206 10.9583 188.875 467.549 -13 38 1 0 1
14.0752 12.6995 73810 -13.2291 21.2832 237.58 467.601 -13 39 1 0 1
3.81241 -6.17661 73810 -26.2812 -2.27482 250.137 467.454 -13 40 1 0 1
-7.17606 -5.53449 73810 -7.53122 5.57395 218.973 467.199 -13 41 1 0 1
10.3956 18.2296 73810 -7.9753 35.905 237.856 467.39 -13 42 1 0 1
-9.08338 7.55784 73810 -5.89802 -7.13105 225.507 467.25 -13 45 1 0 1
1.69592 27.6902 73810 -16.9308 26.1468 220.546 467.219 -13 46 1 0 1
7.17333 -25.4022 73810 -4.33567 -26.7305 240.589 467.246 -13 47 1 0 1
7.15004 10.1807 73810 10.2593 27.3283 239.048 467.355 -13 48 1 0 1
12.6083 34.8452 73810 -31.1065 79.0006 224.385 467.583 -13 49 1 0 1
42.4337 12.1933 73810 25.6258 15.8358 194.194 467.495 -13 50 1 0 1
