#BLTrackFile VirtualDetector/beamDet
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
4.66634 18.4234 0 -23.237 29.869 219.449 812.452 -13 2 1 0 1
-12.5247 17.4029 0 -31.4242 -10.1843 210.523 812.444 -13 3 1 0 1
-3.21453 -8.3645 0 -7.59741 -10.3323 236.077 812.479 -13 4 1 0 1
-32.9704 -13.5906 0 -8.72409 -38.9972 199.323 812.418 -13 6 1 0 1
-18.0492 31.7473 0 -26.2295 38.854 232.724 813.094 -13 7 1 0 1
-15.9227 35.4062 0 -51.3023 7.72305 217.805 812.535 -13 8 1 0 1
9.69465 2.18353 0 -11.5934 -2.36758 222.012 812.552 -13 9 1 0 1
9.76145 43.0984 0 -37.9338 21.3907 203.161 812.436 -13 10 1 0 1
21.1989 51.388 0 -37.5087 42.6681 207.093 812.66 -13 11 1 0 1
-6.46366 6.65703 0 -21.0904 -10.2156 214.673 812.761 -13 12 1 0 1
-28.4471 8.34681 0 -24.0029 -9.35201 207.224 812.539 -13 14 1 0 1
-6.54523 5.11105 0 -15.909 -7.40702 218.343 812.593 -13 15 1 0 1
-20.5744 37.4748 0 -65.2151 0.242877 205.984 812.974 -13 16 1 0 1
-28.4982 14.2947 0 -42.1374 -13.5386 225.331 812.645 -13 18 1 0 1
-12.7358 6.15302 0 -14.1194 -13.8149 213.636 812.489 -13 19 1 0 1
-23.973 18.9738 0 -29.7519 -21.8828 197.538 812.398 -13 20 1 0 1
5.36122 4.03252 0 -15.4592 7.28814 194.795 812.68 -13 21 1 0 1
-5.0635 35.7975 0 -38.7179 2.05352 200.415 812.556 -13 22 1 0 1
-43.8206 32.7492 0 -62.9886 -9.28719 219.892 812.566 -13 23 1 0 1
-9.87032 3.67732 0 -14.1115 3.5581 217.724 812.689 -13 24 1 0 1
-5.38201 15.9908 0 -33.7668 13.6924 218.308 812.544 -13 25 1 0 1
-17.4697 21.7699 0 -32.0246 -10.3077 208.507 812.563 -13 26 1 0 1
-19.8829 -2.99551 0 -16.7865 -9.95237 224.441 812.813 -13 27 1 0 1
-19.1515 17.2322 0 -19.4399 -9.92336 207.789 812.632 -13 28 1 0 1
-22.0044 21.6898 0 -25.1101 -16.2486 189.081 813.136 -13 29 1 0 1
-25.9612 6.58684 0 -41.7714 -20.6382 222.622 812.614 -13 30 1 0 1
3.239 36.0474 0 -31.7898 9.17446 199.266 812.95 -13 31 1 0 1
-33.6251 25.5731 0 -59 -0.2684 215.587 812.557 -13 32 1 0 1
